,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.231775556047451,0,0,0,0,0,0,0,0,0,0,-0.270530294211076,0,0,0,0,0,0,0,0,0,0,0,-0.319257888825391,0,0,0.786024898850761,0,-0.180395914961222,0,0,-0.0511152660072634,0.268722555756055,0,-0.0225151406444694,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.145279321504764,0,0.121544918122491,0.0318300927561557,0,0,0,0.0401780457401881,0,0,0.028708746222546,0.148349727517492,0,0,0,0,0,0,0.0402360836197779,0,0,0,0,0.0644852724482364,0,0,0,0,0,0,0,0,0,0.372370744137195,-0.0771696250588405,0.0273747223245918,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.229841287812554,0,0,0,0,0,0,0,0.0115067402249084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105007629129895,0,0,0,0,0.0386757383281252,0,0.0328545429961145,0,0,0,0,0,0,0.345351329301114,0,0,0,-0.00650116907152028,0.0961736710322374,0,0,0,0,0,0.0382488526874561,0,0,0
X601288.CH.EQUITY,0,-8.67361737988404e-19,0,0,0,0.245329332264735,0,0,0,0,0,0,0.089917857455341,0,0,0,0,0,0.125323295752139,0,0,0,0,0,-0.0129877944679276,0,0.108639444445489,-0.0156884462438392,0,0,0,0,0,0,0,-0.0739549835109832,0,0,0,0.270816881724411,0,0,0,0.180509748963084,0,0,0,0.0859345446422888,0,0,0,-0.026853846155851
X5.HK.EQUITY,-0.101902760079394,-0.252028651875711,0,0.113452029492242,0,0,0,0,0,0,0,0,0,0,0,0,0.326537733044043,0,0,0.126631429806558,0,0,0.198676890475018,0.405650546520081,0,0,0,0,0,-0.053917143254642,0,0,0,0,0,0,0,0,0,0,0,0.181671217301309,0.0363025098978609,0,0,0,-0.0387482002294343,0,0,0,0,0
X601988.CH.EQUITY,0.237177494743579,0,0,0.57277475888723,0,0,0,0,0,0,0.118343982978968,0,0.143868282998173,0,0,0.0811304567764559,-0.066808683733714,0,0,0.00892359674598976,0,0.017736442926253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376165613427556
X600036.CH.EQUITY,0,0.67906302893917,0,0,0,0,0,0,-0.118273114368227,0,0,0,0,0,0,0,0,0,0.0314902376660473,0.0738139373731709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220466560002363,0,0,0,0.0608211800206158,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.00216317325795423,0,0,0,0,0,0,0,0,0,0,0,0,0.401249864351769,0,-0.136328681218057,0.128271177997829,0.0941467409938294,0,0,0,0,0.100502594386957,0.215607224425827,0,-0.141735260857078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0505327902783544
X601628.CH.EQUITY,0,0.172462330293743,0,0.0183083846952795,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.268860523418996,0,0,0,0,0.00101791204794116,0,0,0,0,0,0.145417339467666,0,0,0,0,-0.0402604999813624,0,0,0,0,0,0,0.113096258797671,0,0,0.08876575310425,0,0,0,0,0,0,0,0,0.108292187201406,0,0,0
X601328.CH.EQUITY,0,0.0973178444674294,0.101767785679894,0.387484404265083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347373245265692,0.0115934334264493,0,0,0.00699511811697163,0,0.0712639818291325,0,0,0.129599278344456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107346956745326,-0.184916964489429
