,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.312316857906314,0,0.349240625573615,0,0,0,0,0,0,0.0766684833491214,0,0,0.0224912091704086,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0636322218525557,0,0,0,0,0,0,0,0.105419806483908,0,0,0,0,0,0.0149860396952976,0,0,0,0,0,0,0,0,0,0,0,0.0608019959061295,0,0,-0.114501326465877,0
X601939.CH.EQUITY,0.40279241947991,0,0,0.200372436661573,0,0,-0.113932429992301,0,0,0.00901934903443332,0,0,0.206702709936907,0,-0.0538822925670823,0,0,0,0,0,0,0,0,-0.00188729941252973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213725661011645,0,0,-0.0268677540835211,0,0
X601318.CH.EQUITY,0.0856221222104746,0,0,0,0.143602156497193,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.0300042356629489,0,0,0,0,0,0,0,0,0,0.182749925678026,0,0,0,0,0.244405416607641,0,0,0,0,0,0,0.0885160936854134,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.292152213525167,0.158960272311102,0,0,0.125003813093881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163528501077684,0,0,0,0,0,0,0,0,0,0,0.0382890138776394,0,-1.73472347597681e-18,0.0243187521946564,0,0,0,0.109920888095194,0,0.000699167353011839,0.0761601334104497,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0739735923759399,0,0.437828196710464,0,0,0,0,0,0.268360958355212,0,0,0,0,0,0.0997911179957687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146853166407555,0,0,0,0,0,0,0,0,0,0,0,0.0177515591821273
X600036.CH.EQUITY,0,0,0.0150977725453818,0,0,0,-2.71050543121376e-20,0,0,0,0,0.351606686846488,0,0.0240579785051101,0,0,0,0,0,0,0,0,0.00661943189975113,0.112363380022723,0,0,0,0,0,0.0324532114570526,0,0,0,0.0498373387403914,0,0,0,0,0,0,0.0531860529671654,0.0682242563387438,0,0,0,0,0,0,0.285736362127535,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.110701683051475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242738756834508,3.46944695195361e-18,0,0,0.153989992251374,0,0,0.147899834269204,0,0,0,0,0,0,0,0,0,0,0,0.149873332907825,0,0.0294519194725394,0,0,0,0
X5.HK.EQUITY,0,-0.184575422969895,0,-0.0865554583127563,0,0,0,0,0,-1.73472347597681e-18,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,1.16658995567238,-1.73472347597681e-18,-0.757538684848276,0,0.492396857021612,0,0,0,0,0,0,0,0,0,0,0,0,0.433967819480309,0,0,0,0,0,0,0,0,0,0,0,-0.0829528841126674,0
X601628.CH.EQUITY,0.160792041623485,0,0,0,0,0,0,0,0,0,0,0.0621816340673501,0,0,0,0,0.191370116183962,0.00265138984988792,0,0,0,0.0863212179769124,0,0,0,0,0,0.14707479059075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169386802264647,0.00105644690058465,0,0,0,0,0,0,0.0600555730545164,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968836845833624,0.20919180947448,0,0,0,0.0215592038349014,0.504765551897821,0,0,0,0,0,0.161002330365748,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
X601328.CH.EQUITY,0.238015183314248,0,0,0.0530215022350258,0,0,0,0,0,0,0,0,0.0740884274235304,0,0,0,0,0,0,0.0790745908065774,0,0,0,0,0,0,0,0,0,0.000666156614930771,0.131397573728883,0,0,0,0,0,0.114968991579036,0,0.175732146310038,0,0,0,0.181735063256504,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0283450506984032,0.061377243193377,0,0,0,0.28489195244495,0,0,0,0,0.076540312720473,0,0,0,0,0.0182191401931288,0.0901225546563912,0,0,0.0563831659642336,0,0,0,0,0,0,0,0,0,0,0.163622811336414,0,0,0,0,0.02830095732923,0,0.00188135842968918,0,0,0,0,0,0,0,0.0553066822113329,0,0.118491145988868,0.033671887900561,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.270751424422856,0,0,0,0,0,0,0,0,0.200446850103885,0,0,0,0,0,0.231666151645301,0,0,0,0,0,0,0.00687019324562376,0,0,0,0,0,0,0,0,0,0.134777324005462,0,0.1224249459726,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.317090296729577,0,0,0.00165601302693046,0.314258972965837,0,0,0,0,0,0,0,0,0,0,0,0.0491979454745899,0,0,0,0,0.0339568272892493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
