,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0210459842108996,0,0,0.17867055378182,0,0,0,0,0,0,0,0,-0.0106165985644221,0,0,0,0,0,0,0,0.0418645954187246,0,0,0.113395782273744,0,0,0,0,0,0,0,-0.165154590686802,0,0.0639773950752918,0,0,0.224532042064398,0,0.0388989078453626,0,0,0.0877137158190336,0,-0.120832606797276,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.108190298946582,0,0.100629587532965,0,0,0.34320936002264,0,-0.032054588437709,0,0,0,0,0,0,0,0,0,0,0,-0.00352252998047635,0,0,0,0,0,0,0,-0.0694138704872481,0.334228291731683,0,0.164867881510202,0.00527317318114044,0,0,0,0,-0.0769847603390254,0,0,0,0
X601939.CH.EQUITY,0.241322119020159,0,0,0,0.0172251371505342,0,0,0,0,0,0,0,0,0.17987429794223,0,0,0,0,0,0.184818574879395,0.0698653779457251,0,0,0,0,0,0,0,0,0,0,0,0,0.0676696238247234,0,0,0,0,0.0645618552539208,0,0,0.124408424903202,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.350269323954805,0.00154319800477676,0.0946983347292557,0,0,0,0,0,0.1311290416014,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.130061259980343,-0.051148169822251,0,0,0,0.11716343333371,0,0,0.232250360138653,0,0,0,0,0,0.127838477974478,0,0,0,0
X5.HK.EQUITY,0,-0.200698343469296,0,0.412234218297995,0,0,0,-0.101861980466079,0,0,0,0,0,0,0,0.00555918394925498,0,0.0619203571725574,0,0.117399190742059,0,0.48453910477606,0,-0.23695605516725,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0330561340217135,0,0,0,0.0369570351430007,0,0,0,0.131725080718482,0,0,0,0,-0.221610349887424,0,0,-0.16295476693157,0
X601988.CH.EQUITY,6.93889390390723e-18,0,0.0418827090219649,0.280964622445842,0,0,0,0,0.0285950335656937,0.163180218767818,0.308837286169588,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.064601610864996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718698735818303,0.0249254271378208,0,0.205079271231548
X600036.CH.EQUITY,-0.0382688077745399,0.20245046763636,0,0,0,0,0,0,0,0,0,0.0969261671657856,0,0.28051768075614,0,0,0,0,0.143664230140146,0,-1.73472347597681e-18,0.0861877421577673,0,0,0,0,-0.0441484585482044,0,0,0,0,0,0.131077137183713,0,0,0,0.0660378344395692,0,0,0.0419843875250836,0.178746546224511,0,0,0,0,0,0.0643983345573346,0,0,0.0974607093629492,0,0
X1299.HK.EQUITY,0,0.0996500854197291,0,0,0,0,0,0,0,0,0,0,0,-0.014078598732118,0.089516067695053,0,0,0.126035620984435,0.234365610275701,0,0.18265952026279,0.158513682186572,-0.0212225820350832,0.100134516074685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24019734635748,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544027757444127
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0.0413241352951175,0,0,0,0,0,0,0,0,0,0,0,0.129406795366334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052426165245244,0,0,0,0,0,0.300781772614196,0,0,0,0,0,0,0,0,0,0.153786804974357,0,0
X601166.CH.EQUITY,0,0,0.0837402750354672,0,0,0.117899243766833,0,0,0,0,0,0,0,0,0,0,0.210024331034539,0,0,0,0,0,0,0,0,0,0.0735564602624968,0,0,0,0,0,0.382994351431246,0.212458901853176,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0332492768182968,0,0,-0.10672814668294
