,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.109359264598991,0,0,0,0,0,0,0,0,0,0,0,0.606559088806179,0.462373784877825,-0.0834615828677812,0,0.0976610148723421,0,0,-0.00144068030429919,0,-0.113850572899085,0,0,-0.246663683726976,0,0,0,-0.43491937595135,0,0,0,0,0,0.0590573680739451,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0320721509978218,0,0.00696351285785099,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.337467734514108,0,0.0698522088677811,0,0,0,0,0,0,0,0,0.0847766900065039,0,0,0,0,0,0,0,0,0.320591609336581,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0817388026334635,0,0,0.282785540111108,0,0,0,0,0.0736760193286475,0,0,0,0.020203009118945,0.222593454726717,0,0,0,0,0,0,0,0,0.0361586779345905,0,0,0,0,0.0335469442580068,0,0,0,0,0,0,0,0,0,-0.063410434478142,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.344311810452393,0,0,0.0974093349082757
X601288.CH.EQUITY,0,0,0.255890242899044,0,0.35337787802831,0.110993708975598,0,0.0369022575594893,8.67361737988404e-19,0,0.00838417622694407,-0.0190077728395033,0,0.163848498378884,0,0,-0.0188405946026989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696682495017485,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.177035501114514,0,0,0,0,0,0.538220697755927,0,0,0.0718691485876911,0,0.0749090188693534,0,0,0,0,0,0,0,0.269194160584378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.349188413445519,0,0,0.0957679601003109,0,0,0,0,0,0,0,0,0.107202403396591
X600036.CH.EQUITY,0,0,0.230940888848748,0.10125365521216,0,0,0,0.102959584139318,0.0985922608775421,0,-0.04452980421962,0,0,0,0,0,0,0,0,0.00368587777432231,0,0,0,0,0.0328583345917922,0,0,0,0,0,0,-0.0178077844644414,0,0.255389191669454,0,0,0,0.0279523231798716,0,0,0,-0.0857604028458034,0,0,0,0,0,0.120425744707869,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.254217442135005,0,0,0,0,-0.0639020390054847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.197335148872556,0.0982760644652419,0,0.113566732921731,0,0,0.0614767733504031,0,0,0,0,0.0128754978245053,0,0,0,0,0.00691779868114403
X1299.HK.EQUITY,0,0,0,0,0,0,0.0778302223846362,0,0,0,0,0,0,0,0,0,0.0334207344890624,0,0,0,0,0.185360244571673,-0.058992234343505,0,0,0,0,0,0,0.161084326064857,0,0,0,0,0,0,0.0219199078608402,0.0386139477892196,0,0,0,0.173028076824699,0.117239083448,0,0,0,0,0.444536384973184,0,0,0.0890958086163595,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619928809122413,0,0,-1.73472347597681e-18,0,-0.163644073150768,0,0,-0.324548135219642,0.776426035269204,0,0,0,0,0.680856933387216,0,0,0,0,0,0,-0.156071876859339,0,0,0,0,0,0.218210569219317,0.17717731689793,0,0,0,0,0,0.106216418178664,0,0
X601658.CH.Equity,0,0,0,0,0.00989753469022693,0,0,0,0,0,0,0,0,0,0,0,0,0.212194592164488,0.0385774257140474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250016244045563,0,0,0,0,-0.0132491787601209,0,0,0,0,0
