,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0547131510633033,0,0,0,0,0,0.0209361955103922,0,0,0,0.196827758738172,0,0,0,0.44994945497629,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140489856644574,0.469601109583043,0,0,0,0,0,0,0,0,0,0.0785034941589539,0,0.030928560421825
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256410117548877,0.0170719635402644,0.0860989219939333,0,0.0467052677173501,0,0,0,0,0.116175778221511,0,0,0,0,0,0,0,0,0,0.253836378462894,0,0,0,0.19923160415886,0,0.0208045999775447,0.0680855726591617,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.398171275646679,0,0,0,0,0,0,0,0,0.0457158321836097,0,0,0,0,0,0,-0.0771895200551338,0,0,0.289694852490625,0,0,0.129817499810304,0,0,0,-0.454003338906037,0.0536423509929601,0,0,0,0,0,0,-0.166623977078766,0,0,0,0,0.0205574211974621,0.470443950420065,0,-0.0223591578575223,0,0,0.125360580044605,0,0,0,0,0,0.132829800453512
X601288.CH.EQUITY,0,0,0,0,0,0,-0.29247085272095,0,0.22584532030123,0,0.64090408443508,0,0.0424625647961791,0,0,-0.0433887396361128,0,0,0,0,-0.060883553081201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492031380946558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0592225277725048,0,0,0,0.172359423645846,0.368905965576168,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0168115209059117,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,-0.20801382854644,0,0,0,0,0,0,0,0,0.120804108242532,0,0,0.29864594758551,0,0,0,0,0,-0.0881786761073896,0,0,0.0487527219367691,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.306674014718291,0,0,0,0.11441128634451,0,0.10865218733596,0,0,0,0.149810930712378,0,0,0.056483774911571,0,0,-0.0681653288866246,0,0,0,0.0903083994506605,0,0,0,0,0,-0.24327554067071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972969906816145,0,0
X1299.HK.EQUITY,0,0,0,0,0.169320920996744,0,0,0,0,0,0,0,0,0,0,0.0356068158930245,0,0.173229795972202,0,0,0,0,0,0,0,0.0646031440626754,0,0,0,0.121726799834677,6.93889390390723e-18,0,0.101247312284757,0,0,0,0.438770246885105,0,0,0,0,0,0,-0.183690132615455,0,0,0,0,0,0,0,-0.0299362961920044
X600036.CH.EQUITY,0,0.0489788864633277,0,0,0,0,0,0,0,0.502178466467261,0,0,0,0,0,0.0195487715942003,0.089401887937477,0,0,0,0.260580067500067,0,0,0,0,0,0,0,0.167655295927181,0,0,0,-0.243538592660026,0,0,0,0,-0.18425836105642,-0.0106350669179963,-0.0327937963692915,0,0,0,0.19108897897605,0,-0.0207438579839908,0,0,0,0.0561826932816929,0,0
X601628.CH.EQUITY,0,0.0925850019189414,0,0.0507451979836566,0,0,0,0,0,0,0,0,0,0,0,-0.0211993424746786,0.14103984175741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.112383696176638,0.286910820807151,0,0,0,0,0,0.231098340076363,0.0833408811031474,0.13648631993574,0,0,0,0,0,0,0,-0.047716030057842
X601328.CH.EQUITY,0,0,0.0246296468319123,0,0,0,0,0.703161331112751,0,0,0,0,0,0,0,0,0,0,0,0,0.100106080333531,0,0,0,0,0,0.0135907994323518,0,0,0,0,0,0,0,0,0,0,0,-0.0281371093739033,0,0,0.0227665783243298,0,0,0,-0.154861385760438,0,0,0,0.0282510337468799,5.42101086242752e-20,0
