,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,-2.16840434497101e-19,0,0.350546949463596,0.171150318974216,0.0293350299759879,0,0,0,0,0,0,0,0,0,0,0,0.178080933488827,0,0,-0.0104188312719091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12899143999273,0,0.0321925381039727,0,0,0.0122294141378746,0,0.207205121907765,0,-0.0759493823200005,0.0689915377552906,0
X601318.CH.EQUITY,0,0,0,0.0669070281770964,0,0,0,0,0.128060295804219,0,0,0.0835974776209024,0.109737439950843,0,0,0,0,0,0.110383858645378,0,0.233036229402613,0,0.0521917730914225,0,0,0,0,0,0.0370829278496359,0,0.102723833572264,0,0,0,0,0.0197671098988746,0,0,0,0,0,0,0,0,0.0722709534544473,0,0,0,0,0,0,0,0.107804001418364
X601939.CH.EQUITY,0.0368651045562186,0,0,0,0.345027760820197,0,0,0,0,0,0,0.222083199507009,0,0.00521311460783485,0,0,0,0.133973034882532,0,0.0788428732030474,0,0,-0.0886449390943847,0.211831692386829,0.243418482145337,-0.0552185462842612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.039010508259048
X600036.CH.EQUITY,0,0.159501334494404,0,0,0,0.0480746286924705,0.0986331730866288,0.101067070685565,0,0,0,0,0.161205856133311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35581799281614,0.0450814143634801,0.0618090131847423,0,0,0,0,0,0,0,0,0,0.0416809306422354,0,0.0684723830681549,0,0,0,0,0,0,0,0,0,0,0,0.0511978845555217
X601288.CH.EQUITY,0.0792865041341362,0,0.0881422823826546,0,0,0.14319278010931,0,0.392296527911181,0,0,0,0.0656479575991133,0,-0.0261922851001011,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117115754707501,0,0,0,0,0,0,-0.0094450637572216,0,0,0,0,0.0620482380646095,0,0,0.124444215734221,0,0,0,0,0,0,-0.068835491616449,-0.0803555376153307
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.113273867394839,0,0,0,0,0,0,0.127700005492891,0,0,0,0,0,0.0896247376565989,0,0,-0.0435591895686038,-0.116580115143758,0,0,0,-0.0256189883034828,0.293559942740374,0,0,0.537842084833008,0,0,0,0,-0.0714907791512626,-0.0334896701718407,0.175242008823658,0,0,0,0,0,0,0,0,0,0,0.0960261906350414
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0359069149758135,0,0.277658005245216,0,0,0,0,0,0.10697560443395,0,0,0,0,0,0,0,0,0,0.00997836865963762,0,0,0,0,0,0,0,0,0,0.0563906696754138,0.00385668582504382,0,0.118782561974434,0,0.184434002691155,0.16773924737385,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0200925660249261,0.0945678371185715,0.2165826160683,0.107241240203713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305250798856554,0,0,0,0,0.0215330340922808,0,0.22990390452417,0.09335562319456,0,0,0,0.162048702121214,-0.129628553019678,0,0,0,0,0,0,0,0.0748330299176551,0,0,0,0,0.0147253447226279,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.114522538772694,0,0.0808631427556512,0,0,-0.040248217044085,0,0,0,0,0,0,0,0,0,0.0909265740169428,0.127462779147874,0,0,0,0.197029527468663,0,0,0.0151542169819448,0,0,0,0,0,0,0.0277469336184398,0,0,0.322822005184999,-0.05011085236514,0,0,0,0.134272586734908,0,0,0,0.0885889068551575,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.162981533476221,0,0,0,0.11963814868195,-0.120791831941734,0,0,0,0,0,0,0.242769608031819,0,0,0,0,-0.0908051187317282,0,0,0.223121647202614,0,0,0.205495000283576,0,0,0,0,0,0.151079832201023,0,0,0,0,0,0,0,0.1152860534442,0,0,0,0,0,0.0450968973765318,-0.100937096010391,0,0,0,0.147899421907034,0,0
