,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.413325214276308,0.0763931049832064,0,0,0,0,0,0,0,0,0,0,0.0519835939084583,0,0,0.0763710789219188,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0521516871430197,0,0,0,0,0,0,0,0,0,0.0786661418091925,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0766553121279124,0.246944481854512,0,0,0,0,0,0,0,0,0.327847643364969,0,0.0906285861742868,0.0574180456608737,0,0,0,0,0.0921474161629186,0,0,0,-0.0128884608374193,0,0,0,0,0,0.0267390461274847,0,0.00909264805168823,0,0.0425975026468861,0,0,0,0,0,0,0,0,0.0119313020779856,0,0,0
X601939.CH.EQUITY,0,0,0,0.661932294381962,0,0.0545587242171488,0,0,0,0.261800933568994,0,0,0,0,0,0,0,0,0,0,0.0587699777879506,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0158098268541964,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363672692369282
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.259420741620852,0.0344090745920788,0,0.757316234086911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132001475703077,0,0,0,0.112542206341074,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.154173812453221,0,0.306777951865865,0,0,0,0,0.0445071762813748,0,0,0,0,0,0,0.0211656556451669,0,0,0,0,0,0.0149506000971793,0,-0.144300539057081,0,0,0,0,0,0,0,0,0.112304862257694,0,0,0.291269098776022,0,0,0,0,0,0,-0.0588682919097743,0,0.0602273889741106,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.309392992100954,0,0,0,0.253885039851455,0,0,0,0,0,0,0,0.0163681413324142,0,0,0,0,0,0,0,0.0499280308700761,0.0328262296962267,0,0,0,-0.152906039826089,0,0,0.0425424439281004,0,0,0,0,0,0,0,0,0.123880235090902,0,0,0,0,0,0,-0.0183326661882516,0,-0.163674426082504,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.441156442537665,0,0,0,0,0,0,0,0.187279538368148,0,-0.115035069639396,0,0,0,0,0.204542539929629,0,0,0,0,0,0.176381103999049,0,0,-0.0112271755087264,0,0,0,0,-0.0124930411476055,-0.198443515984454,0,0.152867723882142,0,0,0.125948905487773,0,0,0,0,0,0,0.0102501765563789
X1299.HK.EQUITY,0,0,0,0,0.213275838008201,0,0,0,0,0,0,0,0,0,0,0,0.194354030790318,0,0,0,0,0,0,0,0,0.0672693877045767,0,0.0940815252265376,-0.0749666328882519,0.000603975847034088,0.0999843861172762,0,0,0,0,0,0.414598899287306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0475424567714329
X601628.CH.EQUITY,0,0.167077726290169,0,0.00497196654344598,-0.107369978980478,0,0,0,0,0,0,0.00753123338587306,0,0,0,0,0,0.184722077766531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206896772419874,0,0.344238573567654,0,0.0375256848662545,0.157967858388887,0,0.0810543964092795,0,0.098326671542295,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.179046727724926,0,0,0,0.374856546705181,0,0,0,0,-0.003552909550143,0.459802131807807,0,0,0,6.93889390390723e-18,0,0,0,0.0481051376889638,0.186586538454398,0,0,0,0,0,0,0,0,0,0,-0.0389752656172158,-0.0920209207834668,0,0,0,0,0,0,0,-0.0433069047546797,0,0,0,-0.0970381699398433,0,0,0,0,0,0
