,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.603311127484974,0,0.0186912403911704,0,0,0,0,0,0,0,0.10157410247835,0,0,0,0,0,0,0.115388925909344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206762683265249,0,0,0,0,0.0777330678935336,0.00429041541909699,0.0472195692242519,0,0,-0.00975403171103484,-0.0396996604405444,0,0.0355821525772611,0,-0.0124123117129919,0
X601318.CH.EQUITY,0,0,0,0.198415244889759,0,0,0,0,0.0744164030957138,0,0,0,0,0,0,0,0,0,0,0.190765252292796,0,0,0,0,0,0.0264271093787331,0,0,0.0993256480831144,0,0,0,0,0.0646155579560795,0,0,0,0,0,0,0.183401793868378,0.0196519623502606,0,4.33680868994202e-19,0,0,0,0.0898196213165226,0,0,0,0
X601939.CH.EQUITY,0.119306991612314,0,0,0.389657880714942,0,0.182351568487958,0,0,0,0,0,0,0,0,0,0,0,0.016010432257908,0,0,0.0112065330751252,0,0,0,0,0,0,0,0.109398723462046,0,0,0,0,0.104782574596206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434543733119884
X601288.CH.EQUITY,0.0133742585216924,0,0.288857782503422,0,0,0,0,0,0,0.211325204457145,0,0,0,0,0,0,0,0,0,0.0500433737946925,0,0,0,0,0.0131334895839526,0.224681912423499,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-6.93889390390723e-18,0,0,0,0.0720414931799973,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.21011732520917,0,0,0,0,0,0,0.0636932662540795,0.231847756868916,0,0.174686136868705,0,-0.0920862238700595,0,0,0,0,0,0.365961154992887,0,0,0,0,0.116260446523148,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.459202841964743,-0.0969462730446733,0,0.0216020637345585,0,-0.217602722245739,0
X601988.CH.EQUITY,0,0,0.110748162187985,0,0.0360937704707277,0,0,0,6.93889390390723e-18,0,0,0,0.0649988861918961,0.0579177481928923,0,0,0,0,0,0.00590109278966134,0,0,0.620376903714593,0.0150930928802746,0,0,0,0,0,0.107748118883593,0,0,0,0,0,0,0,0,0,0,0.046170943962754,0,0,0,0,0,0,0,0,0.085303084200452,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.043150327456588,0,0,0,0.26110009365238,0,0,0,0.172399214807035,0,0,0,0.0743761890389583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00994813104857945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789035571774402,0,0,0.0054688783429602,0.068509115700784,0,0,0,0,0,0,0,0,0,0,0,0,0.0148507092333183,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.212571278900893,0,0,0,0,0,0.0309698243904473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574808091681524,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.398404380888309,0,0,0.230527686881264,0,0.00121403661218806,0.0277536992582405,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.111989284808741,0,0,0,0,0.150363919980986,0,0,0,0,0,0.189850914134741,0,0,0,0,0,0,0,0.267048527487242,0,0,0,0,0,0,0.0409488169108876,0,0,0.000208462168372766,0,0,0,0,4.33680868994202e-19,0,0,0.0397191500786151,0.206490302233883,0.0223321376387782,0,0,0,0,0,0,0.0119104215759639,0,0,0
