,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0503703539811689,0,0.0761097955295425,0.128659980654414,0,0.360576689246417,0,0,0,0,0.00138386981623273,0.100936051672323,0,0,0,0,0,0,0,0,0,0.0846125821133599,0,0.0130581575522714,0,0,0.152467795890212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.147594769430369,0,0,0,0,0,0,0,0.274407783349186,0,0,6.93889390390723e-18,0,0,0.0614105061933746,0.204640166207581,0,0,0.155404593328906,0,0,0,0,-1.38777878078145e-17,0,0,0.0421909734889762,0,0,0.0467462919354821,-0.114065825119033,0,0,0,0,0,0.0996854962928552,0.119285010397579,0,0,0,0,0,3.46944695195361e-18,0,0,0.0136775294618538,0,0,0.00687983151486815,0,0,-0.0415086443384295
X601939.CH.EQUITY,0.30983168613429,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.262353916461565,0,0,0,0,0.0114173642721323,0,0,0,0,0,0,0,0,-0.0324443320646943,0,0,0,0,0,0,0,0,0,0.220899559838934,0,0.0921706766127092,0,0,0,0,0.099556458871354,0,0,0.046348544950375,0,0,0,0,0,0
X601288.CH.EQUITY,0.347189701605183,0,0.0266037061401244,0,0,0.489716101556535,0,0,0,0,0.00735006270130253,0,0,0,0.0358082504144052,0,0,0,-0.0256235490379776,0,0.00925377940655809,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101071654792614,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.218262913916914,0,0,0,0,0,0.292321773469446,0,0,0,0,0,0,0,0.00587831677671557,0.661199532266966,-6.93889390390723e-18,0,0,0.0700657908866828,0,0,0,0,0,0,0.0966196660644479,0,0,0,0,0,0,0,0,-0.21979819201599,0,0,0,0,0,0,0,0,0,-0.0108307941535222
X601988.CH.EQUITY,0,0.0769023021126454,0,0,0,0,0,0,0.151670535910099,0,0,0,0.180986609051565,0,0,0,0,0,0,0.119219795243653,0.133182911230201,0,-6.93889390390723e-18,0.269143088069777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.219062230399916,0,0,0.258950121740405,1.38777878078145e-17,0,0.0304879240627079,0,0.180961239726792,0,0,0,0,0,0,0,0,0,0,0.00369118670966692,0,0,0.0934232452664145,0,0,0.103964689828474,0,0,0,0,0,0,0,0.0495161736160653,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0638176769300019,0,0,0,0.437539859766004,0,0,0,0,0,0.167147151723162,0.132257605141736,0,0,0,0,0,0,0.288667612603687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.385834855929983,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117588430239335,0.0964185746492386,0,0,0,0.13536720145776,-0.0201191706524586,0,0,0.0482776166378419,0,0.232065278575381,0,0,0,0,0.118234627364247,-0.0128925804174806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.440323102556432,0,0,0,0,0,0,0.22894905343997,0,0,0,0,0,0,0,0,0,0,0,0,-0.00452714866064391,0,0,0,0.140171059141656,0,-0.0949223511820417,0,0.33247754890757,0,0,0,0,-0.0271399540434617,0,0.861798356653417,0,0,0,0,0,0.29830261259276,0,-0.235337747328127,0,0,0
X601166.CH.EQUITY,0,0,0.0402532567465901,0,0,0,0.343031590839695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460525332359059,0.010660571844136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150785020372203,0,0,0.0221682025681076,-0.0299001613445495,0,0,0.0846282055091341
X601328.CH.EQUITY,0,0,0,0,0,0.154203550573543,0,0,0,0,0,0,0.139481472242745,0,0.00932293042239133,0,0,0,0,0,0,0,0.054584096820596,0.374973123300271,0,0.057772483282454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00542350242921142,0,0,0,0,0,0.210184842594617,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0945849472431864,0.342150589937962,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117458195807564,0.116607077703993,0,0.0817340970912755,0,0,0.265758851582886,0,0,0,0,0
