,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.102724213787461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404546023036228,0.375501223138341,0.00763520464141818,0,0,0,-0.083239884049653,0,0,0.274777483693943,0,0,0,-0.289705345152435,0,0,0,0,0,0,0.0289119576795345,0,0,0,0,0,-0.289003364033567,0,0,0.0689390618177276,0
X601318.CH.EQUITY,0,0,0,0,0,0.185644009953535,0,0,0,0,0,0,0,0,0,0,0,0.0532199487152397,0.0939353621098084,0,0,0,0,0,0,0,0,0.0199549474211488,0,0.0687502677908277,0.00416758173208047,0,0,0,0,0,0,0.232605276501998,0,0,0,0,0,0,0,0,0.0759764401390574,0,0,0.217929728170683,0,0,0.105664709252582
X601939.CH.EQUITY,0,0.00323557765047312,0,0.813508726428055,0,0,0,0,0,0,0,0,0,0,0,0.0312667764503109,0.123247923835464,3.46944695195361e-18,0.0255760178843116,0,0,0,0,0,0,0,0.0262652053083755,0,0,0,0,0.0300284987767662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143447182560935,0,0,0,0.0117285150288126
X601288.CH.EQUITY,0.0680252837057085,0,0.976383831289853,0,-0.0338512175050346,0,0,0,0,0,0,0,0,0,0,0.0596302869134627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132597662866523,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.0593004703527893,0,-0.118192454363387,-0.045541909952042,0
X601628.CH.EQUITY,0,0.0103725720563909,0,0,0,0,0,0,0,0.062658844891651,0,0.424393303391694,0,0,0,0,0,0,0,0,0,0.105052394688953,0,0,0,0,0,0,0,0,0,0,0,0,0.39431148100938,-0.0926436410488339,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.110042618937538,0,0,0,0,0.0878706509261289,0.0162997177383125,0.127317027052171
X600036.CH.EQUITY,0,0,0.408792768371138,0,0,0,0,0,0.0248230589317195,-0.00639779235403669,0,0,0,0,0,0,0.106788623665462,0,0,0.00488779333019886,0.012687406228952,0,0,0,0,0,0.191709763980057,0,0,0,0,0.123094184835063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.0574336455172085,0.142113537121918,0,0,0,0,-0.0498317918034241,-0.0774280926446902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110624131126749,0,0,0,0,0,0,0,0,-0.0503015190491021,1.06911312619771,0.0165925513098592,0.00381151190907375,0
X1299.HK.EQUITY,0,0,0,0,0.211449545671636,0,0,0,0,0.185115767771263,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207108320863526,0.0501964765376208,0,0.433512340056251,0.272865533038706,0,0.108583779263477,0.156708220964276,0,0,0,0,0,0,0,0,0,0,0,0,-0.130147154030457,8.67361737988404e-19,0,0,0,0,0,0.0933122199580056,-0.0103808985593378,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0542257717289699,0,0,0,0,0.00808851514277073,0,0,0.389687692997003,0.355275388140961,0,0,0,0,0,0,0,-0.0318764101728691,0,0,0,0.0124677358797448,0,0,0,0,0,0,-0.142643946396262,0,0,0.20157028323227,0,0.200560117784502,0,-0.0662869688117879
X388.HK.EQUITY,0,0,0,0,0.294908760632616,0,0,0,0,0,0,0,0,0,0,0,0,-0.152737986770134,0,0,0,0,0,0,0.421048972760141,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.0368657316576235,0,0,0,0,0,0,-0.115539714230231,-0.130762017905055,0.0594905495703021,0.241285341447681,0,0,0,0,-0.135076630737863,0,0.0445083864389253
X601658.CH.Equity,0,0,0,0.234515328823372,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.00541991901752263,0.275265339698443,0,0,0,0,0,0,0,0,0,0,0,0.0362352619190231,0,0,0,0,0,0,0,0,0,0.1644359739965,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,-0.0067015381051573,-0.0149043617621773,0.085492235986089,0,0,0.241135968645546,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035641795782019,0,0,0,0,0,0,0.0613301098207717,0.21408204600527,0,0,0,0,0,0,0.0743070604405039,0.123630348488563,0,0,0.063326903092202,0.28270206602076,0,0,0,0,0.0537744662571815,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.714428689395876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414765540861516,0,0,0,-0.0133749936412526,0,0,0,0,0,0.046772411896931,0,0,0,0.0280752539532996,0,0,0.0554024001481567,0,0,-0.0026599745291001,0,-0.0728609672253146,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0701352001210075,0.479269355310055,0,0,0,0.0534380860036362,0,0,0,0,0,0.0561530887222379,0,0,0,0,0.0737623874865807,0,0,0,0,0,0,0,0.00939526196478791,0,0,0.0887096606920884,0,0,0.0158273752767455,0,0.0405873889282099,0.0290075401629018,0,0,0,0,0,0,-0.0384596436732191,0,0,0,0.137067339360642,0,0,0
X601328.CH.EQUITY,0,0,0,0.0463230867589779,0,0.11290098832692,0.0204757880212454,0,0,0,0,0,0,0,0,0,0.0289266507554863,0,0,0,0,0.373607285594292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242394741641453,0,0,0,0,0,0,0,0,0
