,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.0993091332892396,0,0,0,0,0,-0.0651068000861239,0,0,0,0,0,0,0,0,0,0,-0.0902097181156756,0,0,0.680131454003144,-0.21800606695114,0,-0.055945408988672,0,0,0.409855000925678,0,0,0,-0.0786187708467642,0,0,0,0,0,0,0,0,0,0.0904854929829976,0,0,0,0,0,0,0,0.0677095253135243,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0214859981195872,-0.0222639644749476,0,0,0,0,0,0.156956117207222,0,0,0,0.418223924763218,0,0,0,0,0,0,0.031626461292699,0,0,0,0.0323076950108066,0,0,0,0.203997001193684,0,0.0508556878974548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166506702043822
X601939.CH.EQUITY,0,0.0609834402866524,0,0.773633285226399,0,0,0,0,0,0.0292792038579895,0.0793571728457828,0,-0.0239135703983266,0,0,0.076417186735479,0,0,0,0,0,0.00301969418076665,0,0,0,0,0,0.0517674199985755,0,0,0,0,0,0,0.0501954711926508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.926219914665117,0,0,0.0812823530869097,0,-0.068328223163236,0,0.0223764834907551,0,0,0,0,0,0,0.0317417784949223,0,0,0,0,0,0,0,0,0,0,0.0161135611386368,0,0,0,0,0,0,0,0,0,0,-0.0544995621740044,0,0.019666322345928,-0.111436783609721,0,0,0,0.0448013415273453,0,0,0,0,-0.104200034454263,0,-0.00343496340787117
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0967649662001091,0.254228922823361,0,0.292654051980779,0,0,0,0,0,0,0.249557841536187,0,0,0,0,0,0,0,0,-0.0667747682634584,0,0,0,0,0,0,0.33960879403855,0,0,0,0,0,0,0,0,0,0,0.109760327965388,0,0,0,0,0,0.0468957482306928,0.0504001622716792
X600036.CH.EQUITY,0,0,0,0.353492589585849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174818145184463,0,0,0,0,0,0,0,0.188642396376124,0,0.028227302498389,0,0,0,0,0,0,0,0,0.0624988897235439,0,0,0,0,0,0,0,0.0692670744860427,0,0,0,0,0.0131838136092226,0,0,-0.00927104563155041
X601988.CH.EQUITY,0,0,0,0.0691376315602774,0,0,0,0,-0.0269638392084015,-0.0729312077152745,0,0,0,0,0,0,0,0,0,0,0.00121368713140766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01314109850162,-0.062438086142992,0,0.989428952004809,0,0,0,0
X1299.HK.EQUITY,0,0.0373148352721383,0,0,0.104310247523558,0,0,0,0,0.0972127185942906,0,0,0,0,0,0,0,0,0,0,0,0,0.320112456357482,0,0,0,0,0,0.0263172685801308,0,0,0,0,0,0,0,0.0826053288163745,0.0558161525113279,0,0,0,0,0.149831539264102,0,0,0,0,0.122919096275154,0,0,0,0,0.0283119791141952
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0534151309857639,0,0,0,0,0,0,0,0,0.0694872442785293,0.562253161606845,0,-0.0340050280913176,0,0,0,0,0,0,0,0,0,0.0365142111427582,0,0,0.197346403776976,0.265814884120184,0.330595158712293,0,0,0,0.242380184589087,0,0.00907734492971243,0
X388.HK.EQUITY,0,0,0,0,0.174763006158964,0,0,0,0,0,0,0,0,0,0,0,0.0476839571423023,0,0,0,0.257313523278631,0,0.280403658221973,0,0.154514787764493,0,0,-0.0603946908839025,0,0,0,0,0,0,0,0,0.0856404908455124,0,0,0,0,-0.0712609573602004,0,-0.164524898980948,0,0,0,0,0,0,-0.0242185709178517,0,0.339027236489853
