,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.426461828834146,0,0,0,0,0,0,0,0,0,0,0,0.0695715026930504,0,0.13846042512658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681697319441572,0,0,0,0,0,0,0,0,0,0.0777910683276288,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.183865227308956,0.187900623675076,0,0,0.00792303372721981,0,0,0,0,0.223410762126533,0,0,0.0656675237021985,0,0,0,0,0,0.147919017386456,0,0,0,0,0,0,0,1.73472347597681e-18,0.165346412715252,0,0,0,0,0.0536440153905048,0,0,0,0,0,0,0,0.0412920568594256,0.0633659997003791,0,0,0
X601939.CH.EQUITY,4.33680868994202e-19,0,0,0.725094602330327,0.0318649312698817,0.0537865266291218,0,0,0,0.234246216266459,0,0,0,0,0,0,0,0,0,0,0.0502149718562752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233076995694118,0,0.0230772213445776,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.341158272930621,0.0852354561973466,0,0.84732110924468,0,0,0,0,0,0,0,-0.0667365679441372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388974299764895,0,0,0,0.122649165701591,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,1.38777878078145e-17
X5.HK.EQUITY,0,0.0653703487714095,0,0,0,0.146615572382339,0,0.31335579884371,0,0,0,0,0,0,0.0102630159549573,0,0,0,0,0,0,0,0,0,0,0.0110355517950394,0,-0.181634973834823,0,0,0,0,0,0,0,0,0.116736982578497,0,0,0.287748231073322,0,0,0,0,0,-0.0867474240409706,0,0,0.0543171756489737,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.388299834407113,0,0,0,0.0708379461727467,0,0,0,0,0,0,0.0597399110320731,0,0.0177997444695794,-0.0853915222321327,0,-0.0750208017344902,0,0,0,0.276210131416553,0,0,0,0,0,0,-0.241370348762241,0,0,0,0,0,0,0,0,0.096935075824742,0,0,0,0,0,0,0,-0.0389366885709077,0,-0.126256635793465,0
X600036.CH.EQUITY,0,0.111670140836121,0,0,0,0,0,0,0,0.396300208232177,0,0,0,0,0.0412015629661084,0,0.160809320582293,0,0,-0.109479643625542,0,0,0,0,-4.33680868994202e-19,0,0,0,4.33680868994202e-19,0,0.20976422934674,0,0,0,0.0419249753129559,0,0,-0.0292759877816603,0,-0.112657619652513,0.0720651841133677,0,0,0.201619176015428,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.210609580410344,0,0,0,0,0,0,0,0,0,0,0,0,0.185907972757509,0,0,0,0,0,0,0,0.06953869334752,0,0.0931378178699773,-0.0630470746051752,0,0.102945157639567,0,0,0,0,0,0.427363591982168,0.00831927456279562,0,0,0,0,0,0,0,0,0,0,0.00171890692826529,0,0,-0.0446758489415647
X601628.CH.EQUITY,0,0.0823387803199331,0,0.00154767705291165,-0.0848601861982904,0,0,0,0,0,0,0.0517386086205363,0,0,0,0,0.205050568601006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406599664832037,0,0,0,0,0,0,0.216115054039548,0,0.0883194950504372,0.0647099991334929,-0.0110812437622602,0,0,0,0,0,-0.0180572434855727
X601328.CH.EQUITY,0,0,0.0858744539723178,0,0,0,0.397745773991205,0,0,0,0,0,0.434577575149687,0,0,0,0,0,0,0,0.151516176534448,0,0.237581339353114,0,0,0,0,0,0,0,0,0,-0.113925265363738,0,0,0,-0.0666468062283333,0,-0.125883145816547,0,0,0,0,0,0,0,-0.139560637279421,0,0,0,0,0
