,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0103597751872404,0,0.490875774408961,0.124448528388425,0.0316592090094159,0,0,0,0,0,0,0,0,0,0,0.0657921649793332,0,0,0,0,0,0,0,0,0,0.0611507031776591,0,0,0,0,0,0,0,0,0.123608352815586,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0996587154860797,0,0.14355704608914,0.139200491158856,-0.200897657116435,0.0221568921362527,0.0687027538756404
X601318.CH.EQUITY,0,0,0.02296255734102,0.166047560018148,0,0,0,0,0.126496837288474,0,0,0.0424403229808624,0,0,0,0,0.00893556625362315,0.171537606783904,0,0,0.172656822532054,0.131108066128503,0,0,0,0,0,0,0.0669233297187837,0,0.0770227462432743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117851704022966
X601939.CH.EQUITY,0,0,0,0,0.180077920435934,0,0,0,0,-0.0666275801878752,0,0.138494560966655,0,0,0.0554528586056819,0,0,0,0,0.0194654380452819,0,-0.0191725842765194,0,0,0.518921829237517,-0.0339299195280023,0.160724460145615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0492152513017026,0
X600036.CH.EQUITY,1.73472347597681e-18,0.158863002927517,0,0,0,0,0.0329174596918219,0.139626696273118,0,0,0,0,0.163341506710836,0,0.0128623687819948,0,0,0,0,0,0,0,0,0.238916924133837,0,0,0,0.0449899139125805,0,0.0594063727935989,0,0,0,0,0,0,0,0,0,0,0.0458588865778049,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0712620906600265,0,0.131187017416331,0,0,0.142331023663011,0,0.4080082064844,0,3.46944695195361e-18,0,0.0389470822866839,0,0,-0.0076372620126351,0,0.0593919160184463,0,0,0,0,0,0,0,0,0,0,0,0.0673687340793473,0,0,0,0,0,-0.0289464219984345,0,0,0,0,0,0,0.0369434441490967,0,0,0,0.0871680833945932,0,0,0,0,0.114050275553782,0,-0.110220403769029
X601628.CH.EQUITY,0.100317610653587,0,0,-0.0351466473297628,0.0559399444611452,0,0,0,0,0.131723545443152,0,0,0,0,-0.0952189941377415,0,0,0,0.0598794223946541,-0.0457245291448082,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.634259374767367,0,0,0,0,0,0,0,0,0,0,0.129364302068709,0,0,0,0.147855934730418
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.154999848692513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114224853933475,0,0,-0.176886295033969,0,0,0,0.0355084089359016,0,0,0,0,0,0.0896464685865121,0,0.210501735255325,0.110452299507131,0.0334570374466199,0.139025575236538,0.0557703855071853,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00998657352246176,0.0885868041252127,0.0926969658219634,0.153528361088867,0,0,0,0,0,0,0,0,0,0,0,0,0.277984283488938,0,0,0,0,0,0.194724603052688,0.0360818625267965,0.322216932831393,0,-0.0204213845037882,0,0,0.174651924565766,-0.11340055759264,0,0,0,0,0,0,0,0.0936613489466061,0,0,0,0,0,0.0342590875630277,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0353348712474388,0,0.222302220924646,0,0.0946064896738729,-0.0613112244612198,0,0,0,0,0,0,0,0,0,0.143253301585154,0,0.120826129842076,0,0,0.267045390891713,0,0,0,0.0597414435518541,-0.0650317284316374,0,0,0,0,0,0,0,0.323114425324325,-0.107664750260002,0,0,0,0.111510127698819,0,0,0,0,0.0742586558966531,0,0,0,0
X388.HK.EQUITY,0,0,-0.0172225962610548,-0.148152867287907,0,-0.158078346870185,0.161391286832833,0,0,0,0,0,0,0.462601814740844,0,0,0,0,0,-0.0872400243234799,0,0.219803320677804,0,0,0,0.150358331731806,0,0,0,0,0,0.118707166811042,-0.0148828165155587,0,0,0,0,0,0,0.00759875644233995,0,0,0,0,0.00148292313324118,0,-0.0592770219640902,0,-0.0377517826231935,0,0.158149717103332,0,0
X601166.CH.EQUITY,-6.93889390390723e-18,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0729363331257241,0.136299608369286,0,0.0854052559031944,0,0.0241772936674236,0,0,0,0,0,0,0.17029449255589,0,0,0,0,0.417744051927681,0,0,0,0,0,0,0,0,0.0952128189712756,0,0,0,0,0,0,0,0,0,-0.00898938898830186,0,0,0,0,-0.0274424000430831
