,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.208988564464162,0,0.202992309177766,0,0,-0.0695146619555708,0,0,0,0,0,0,0,0,0.113922345235457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021489685523045,0.0638929943558379,0,0,0,0.0400126810896214,0,0,0,0,0,0,0,0,0.277643798905726,0,0,-0.068672337067569,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0640083265636681,0,0.149675263595528,0.0369485140964235,0,0.0251605794955309,0,0,0.206204584405769,0,0,0,0,0,0.302890548453507,0,0,0,-0.0336877614893093,0,0,0,0,0,0,0.0377679679522936,0,0,0,0.17434241531419,0,0.052736908582182,0,0,0,0,0,0.0257022630301626,0,0,0,0,0,0,0,0,0,0.142608837923333
X601939.CH.EQUITY,0,0,0,0,0.139623611469937,0,0.349682937034489,0,0,0,0,0,-0.164514060043865,0,0,0,0,0,0,0,0.0136586392818014,0,0.590980650124615,0,0,0,0,-0.0171409201568607,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252655138583499,0,0,0,0,0,0,0,0,0,0,-0.122101634664263,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.120855826262516,0,0,0,0,0,0,0.267686200821589,0,0,0,0,0,0,0,0.050963611086935,0,0,-0.200556633410956,0.00830659599762009,0,0.0597188808388466,0,0,0.390745447338746,0.270297489629172,0,0,0,0,0,0,0,0,0,0,0.11665005499275,0,0,0,0,-0.0298143111644925,0,0.0329757849022889
X601288.CH.EQUITY,0.0836438364613189,0,0,0,0,0,0,-0.0116255763954329,0,0.0110619729571139,0,0,0,0.0416372528916989,0,0.453528746881593,0,0,0,0,0,0,0.321382639165473,0,0,0,0,0,0,0.00066596279270714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261191411796348,0,0,-0.0157090897642179,0,0,0,-0.0604679180054018
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0273772729288075,0.225637660514513,0,0,0.225363510007931,0.299042605038088,0,0,0,0,0,0,0,0,0,0.119666065769225,0,0,0,0,0.173158496654582,0,0,-0.0245334304717642,0,0,0,0,0,0,0.0793739220093328,0,0,0,0,0,0,0,0,0,0,0,0,-0.151792142004228,0,0,0,0,0,0,0,0.0383946231464293,0
X1299.HK.EQUITY,0,0,0,0,-0.135181811938562,0,0,0,0,0.384868840492488,0,0,0,0,0,0,0,0.122295414318947,0,0,-0.0577514482501538,0,0,0.14930521219811,0,0.0429159526875761,0.341805893162751,0,0.0562995062757844,0,0,0,0,0,0,0,0,0,0,0.025841823289905,0,0.0602828438402172,0,0,0,0,0,0,0,0,0,0,-0.018699374902141
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0623246070636201,0,0,0,0,0,0,-0.153046241414856,0,0,0.0273882799399227,0,0.0161512169602222,0,0,0,0,0.12445326014876,0.448621489005362,0,0,0,0.134130631806603,0,0,0,0,0,0,0,-0.175569107755078,0,0.257743948145911,0,0.23251698520087,0,0,0,0,0.174178891001117,0,0,0,0
X388.HK.EQUITY,0,0.0622321829954581,0,0,0,0,0,0,0,0,0,0,0,0.0476605451334555,0,0.148591276222113,0,0,0,0,0,0,0,0.00910140372604175,0,0,0,-6.93889390390723e-18,0,0,0,0.380527802741642,0,0.0991305354879073,0,0,0.0941846081460447,0,0.156670075742999,0,0,0.0140086201245074,-0.213539494527435,0,0,0.341101567230545,0,0,0,0,0.0549625835849419,0,0
