,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.681908540098914,0,0,0,0,0,0,0,0.0459490961269172,0,0.105005315787741,0,0,0,0,0,0,0.00707327319486496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026985445763545,0,0.0711230948260856,0,0,0,0,0,0,0,0,0,0,-0.00429136882666918,0.0168433922204249
X601939.CH.EQUITY,0.160776014389906,0,0,0.35293596252003,0,0.231136311866396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056957495075949,0,0,0,0,0,0,0.099313822292124,0,0,0,0,0,0.0464200736623446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492899148499849
X601318.CH.EQUITY,0,0.0175147572538635,0,0.0917758842216957,0,0,0,0,0,0,0,0,0,0,0,0.00884796346132371,0,0,0.192522149395803,0.00916996383960907,0,0,0,0,0.0104296405611583,0.0468507252718999,0,0,0,0,0,0,0,0.214086139649407,0.0165907399704181,0.0441250005774413,0,0,0,0.235099139237926,0,0,0,0,0,0.0861970698025421,0,0,0,0,0,0
X601288.CH.EQUITY,0.289353731430802,0,0,0,-0.0270939602080053,0,0,0,0,0.115186589459789,0,0,0,0,0,0,0,0,0.0633035560583269,0,0,0.0566774989184686,0,0,0.0304951402077057,0.259775047950836,0,0,0.0354609929210548,0.0700206911587369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733528855288927,0,0,0,0,0,0
X5.HK.EQUITY,0,0,1.73472347597681e-18,0,0,0.159058769083489,0.0654974834798823,0,0,0,0.453761173166278,0,0,0,0,0,0.255116218297333,0.0143242125979456,0,-0.352757296308407,0,0,0,0,0.351431072462008,0,0,0,0,0.183291037700054,0,-0.00308501309764422,0,0,0,0,0,-0.251246586706473,0,0,0,0,0,0,-0.185711048248069,0,0,-0.0576600487190166,0,0,-0.313592343090101,0
X601988.CH.EQUITY,0,0.106194511353599,0,0,0.0990467098155144,0,0,0,0.106905653549607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506972708282196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436041328812915,0,0,0,0,0,0,0,0,0.10351770656219,0.087436671792158,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.00735858871642117,0,-0.0172599288167822,0,0.0547419440116166,-0.0152245630978307,0,0,0,0.235768020235847,0,0,0,0.23256970530791,0,0,0,0.0288079833062889,0,0,0,0.0578337579242131,0,0,0,0,0,0,0,0,0.0664419895684875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963268107230766
X600036.CH.EQUITY,0,0,0.00964237628267038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788177062673077,0,0.00558458684052284,0,0.0709540482925763,0,0,0,0,0,0,0,0,0,0,0,0,0.015094313811834,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.124953540114389,0.0917921065060481,0,0,0,0,0,0,0,0,0,0,0,0.0241766945070744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355022026699168,0,0,0.0424486967093608,0,0,0,0.0862593143158945,0,0,0.115913816594319,0,0,0.0327798972725354,0,0,0
X601328.CH.EQUITY,1.73472347597681e-18,0.00245761957483669,0,0,0,0,0,0.18904273814422,0,0,0,0,0,0.113141395937426,0,0,0,0,0,0,0,0.322222890552846,0,0,0,0,0,0.0403264197233752,0,0,0,0.00478349575571877,-0.00123414191388226,0.0164168258032133,0,0,0,0,0.072474964834613,0.236262724093402,0,0.0566857577073279,0,0,0,0,0,0,0,0,-0.0186679386496709,0
