,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.245132187811379,0,0.253459267281324,0,0,0,0,0,0,0,0.0467530168776668,0.247383670574082,0,0,0,0,0.0614470537420911,0,0,-0.139737472294136,0,0,0,0,0,-0.0994010916058946,0,0,0,0,0,0,0,0.0180075481738585,0,0,0,0,0.0596370556345122,0,0,0,0,0,0,0,0.0885506553439207,0,0,0,0,0
X601318.CH.EQUITY,0,0,-0.0572614186420843,0,0,0.0645134046231656,0,0,0.220664382609205,0,0,0,0.132814800645743,0,0,0,0.215607029503597,0,0,0,0,0,-0.0158839849743072,0,0,0,-0.11548348665408,0,0,0,-0.148491693361093,0,0,0,0,0.222511978797307,0,0,0,0.13630878163253,0.288422631683739,0,-0.245142459636447,0.250081373926999,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.611346512318919,0,0,0,0.0244351538919341,0,0,0,0,0,0.137226007722259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349948612766094,0.00594196986664127,0,0,0,0,0.0434683512374215,0,0,0.258569116486997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.341189683866124,0,0,0,0,0.392421581615126,0,0,0,0,0.0296295351136674,0,0,0,0,0,0.0499691137806613,0.125776702272696,0,0,0,-0.0694139267634967,0,0,0,0,-0.012530954215384,0,0,0,0,0,0,0,0,-0.0645415766341468,0,0,0,0,0,0,0.166840373746434,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.191626321056173,0.0529344614804417,0.167095728409749,0,0.0860079948758083,0,-0.0542142672137131,0,0,0,0,0.176922770112054,0,0,0,0,0,0.480727839215071,0,0,0,0,0,0,0,0,0,0,0,0.337447734746058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197328934649542,-0.0143414902704358,0,0,-0.100591519266627,0
X601988.CH.EQUITY,0.105846290881623,0.147292549833228,0.299454584502838,0,0,0,0,0,0.103973454705746,0,0,0,0,-0.054943053400431,0,0,0,0,0.120499644424357,0,-0.0416600052731313,0,0,0,0,0,0,0,0,0,0,0,0,0.164859289771494,0.118127139372209,0,0,0,0,0,0,0,0,0.0354601438887735,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.1597832235308,0,0,0.0290421741315076,0,0.135598397673854,0,0.356033478844901,0,0.0420155068270859,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0737079023515565,0,0,0.11388891289979,0,0,-0.0205514841836203,0.0741290458894098,0,0.0271292360156665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0940803319797023,0,0.179382068838874,0,0.0331196226606392,0,0,0,0,0.0581954621201552,0,0.369731478799275,0.0252092789861768,0,0.0575116942882009,0,-6.93889390390723e-18,0.0167955769146296,0,0.162640084586686,0,0.0645802728852673,0,0,0,0.0036429802724474,0,0,0,0.0211257787699113,0,0,0,0,0.00485322297770507,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.255248242491496,0.148985638072077,0,0,0,0,0,0.134715479526451,0,0,0,0,0,0,0,0,0,0,-0.24766294485186,0,0.0479902525093465,0,0,0.0537028371985221,0,0.0102649368143227,0,0.0350141661576176,0,0,0,0.154759238810782,0.104736820969319,0,-0.0747654995297103,0,0,0,0,0,0,0,0,0,0,0,0.0947803633056432,0,0,0,0,0,0.128848660677311
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.116743581883571,-0.520342687923409,0,0,0,0,0,-0.049706366925292,0,0,0,0,0,0.795553356734812,0,0,0,0.0183729222411999,0,0,0,0,0,0,0,0,0,0,0,-0.568381125666903,0,0,0.189179140497083,0,0,0.0890969882280062,0.256371411504756,-0.119228770449361,0,-0.016871982850632,0,0,0.0151949964098918
