,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.284039797634245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298723437024999,0,0,0.0971561671986333,0,0,0,0.295520737916904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129964644417053,-0.118624140195631,0,0,-0.129498470951506,-0.119716065076926
X601939.CH.EQUITY,0.10061782687647,0,0,0.335955434853884,0,0,0,0,0,0,0,0,0,0.171620576656995,-0.0465870038926366,0,0,0,0,0,0,0,0,0,-0.0944664210133585,0.322485404072733,0,0,0,0,-0.0951970919463892,0,0,0,0,0,0,0,-0.0375857135101292,0,0,-0.0369616786717276,0,0,0,0,0,0.145979242943872,0,0.0603817549820452,-0.0209033822447188,0,0
X601318.CH.EQUITY,0,0,0,0,0.25914689148239,0.0950051527015485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445421035505819,0,0,0,0.13569267706499,0,0,0,0,0,0,0,0,0,0,0.171536226734397,0,0,0,0,0.0844966369144713,0,0.019542846659673,0,0,0,0,0,0,0,0.021092741103086,0,-0.0263669637838997,0
X601288.CH.EQUITY,0,0.654517309557422,0,0,0,0,0,0,0,0,0,0,0.10218537139392,0,0,0,0,0,0,0,0.148522291298171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238613021722035,0,0,0.0268614554375925,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0188377742885772,0,0.426888680206822,0,0,0,0,0,0.297062067723482,0,0,0,0,0,0.35022758972223,0,0,0,0.042134869294499,0.0889316758424049,0,-0.0368933645892642,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.477397814255076,0,0,0.0570258372709497,0,0,0,0,0,0,0,0,0,0,0.28863165774745
X600036.CH.EQUITY,0,0.176834873559444,0,0,0,0,0,0,0.0325508523532167,0,0,0,0.0413864486572108,0,0,0,0,0,0.110973889338425,0,0,0,0,0.242914354618332,0,0,0,0,0,0,0,0,0,0.362961590991074,0,0,0,0,0,0,0.07635358858473,0,0,0,0,0,0.0928090455735479,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0655272059564075,0,0,0.0677030689973167,0,0,0.382217657317384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233618124116073,0,0,0,0,0.281926139429914,0,0,0.0316822290697126,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583807056289948,0,0,0,-0.191579898116535,0,0,-0.474253774897458,0.747697598886378,0,0,0.0791374079637533,0.510604836689535,0,0,0.0582813091397582,0,0,0,0,0,0,0,0.086509522522476,0,0,0,0,0,0,0,0,0,0.189617171558803,0.113932607681645,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.402649400102852,0,0,0,0,0,-0.0774926316646448,0,0,0,0,0,0,0,0,0,0.220249979596295,0.0488561441693675,0,0,0,0,0,0,0,0,0.0195963279144337,0,0,0,0,0,0,0,0,0.0180224454872202,0,0,0,0,0,0,0,0,0,0.204756307328431,0,0.0896362437207902
X601658.CH.Equity,0,0.148324681074575,0,0,0.00986842223707037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388289473413006,0,0,0,0,0.0131907770710771,0,0,0,0,0,0,0,0,0,0,0,0.188602899911897,0,0.113030320823648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
