,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601066.CH.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0344549019152862,0,0,0,0,0,0,0,0,0,0,-0.00192967469352288,0,0.536649497197657,0.789832658127365,-0.107317580239978,0.010889121519143,0,0,0.2073933916409,0,-0.234033074966081,0,0,0,0,-0.324460015088931,0,0,0,-0.0450277189228662,-0.0801987266045634,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.20797812619246,0,0,0,-0.0185291642460024,0,0,0,0,0,0,0,0.0854488411422639,0,0,0,0,0,0,0,0,0,0,0,0.0325486369983898,0,0.0707734722180614,0,0,0,0,0,0.245999518311816,0,0,0,0,0,0,0,0.0982371562682732,0,0,0,0.218548667428771,0,0,0.0818516462949053
X601939.CH.EQUITY,0,0,0,0.826022655189158,0,0,0,0,0,0.0184509581177058,-0.0766590918013846,0,0,0,0,0,0.0687918037780897,0.0735579335451447,0,0,0,0.00170380306438915,0,0,0,0,0.0551922072374109,0,0.0301292082457957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217931719921354,0,0,0,0,0.0280946172200117,0.0350508457834514,0,0,0
X601288.CH.EQUITY,0.0242514238320426,0,0.897352367117793,0,-0.0660857557502335,0,0,0,0,0,0,0,0,0,0,0.0104597746466691,0,0.136308040292112,0,0,0,0,0,0,0,0,0.050472786138704,0,0,0,0,0,0.00195921614448227,0,0,0,0,0,0,-0.0961697328652298,0,0,0,0,0,-0.0313193535464606,0,0,0,0,-0.0527002197386233,0,0
X601628.CH.EQUITY,0,0.0152637427486741,0,0,0,0,0,0,0,0.0502683356493821,-1.73472347597681e-18,0.393847962147142,0,0,0,0,0,0,0,0,0,0.0613342090690093,0,0,0,0,0,0,0,0,0,0,0,0,0.356241923852587,0,0,0,0,0,0,0,0,0.11454456987882,0,0,0.0686908607073009,0,0,0,0.170021645994847,0.163021569434683,0.100747801971911
X600036.CH.EQUITY,0,0,0.383823989260644,0,0,0,0,0,0.0189904859118908,0,0,0,0,0,0,0,0.125795001947915,0,0,0.00148580931472839,0.00715610704188455,0,0,0,0,0,0.186277860904683,0,0.176596745264139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194951043470718,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00122813461925936,-0.145568069874291,0.0804176866398834,0,0.0274834925450262,0,0,0,3.46944695195361e-18,0,0.0374922493317988,0,0,0,0,0,0,-0.0746070373849685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105522404749407,0,0,0.0104396847722886,0,0,0,0,0,0,1.01468407064862,0,0.0373506965445283,0
X1299.HK.EQUITY,0,0.0725890872308631,0,0,0.149765149223409,0,0,0,0,0.254903250808448,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.215846628686637,0,0,0.340018273422373,0,0,0.220530569035507,0.124435350220555,0.12595594273038,0,0,0,0,0,0.0398137869902255,0,0,0,0.128626694646439,0,0,-0.0988341703507679,0,0,0,0,0,0.107644975316442,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0477603458289282,0,0,0,0.0748731122062163,0,0,0,0.295872120171941,0.405749469468433,0,0,0,0,0,0,-0.0451290916588799,0,0,0,0,0,0,0,0.0354868625035935,-0.15811154802267,0,0,0,0,0,0,0.214597728102803,0,-0.0972448531499007
X388.HK.EQUITY,0,0,0,0,0.303879665701179,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158820042990068,0,0,0,0,0,0,0.409359121166219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116310747907552,0.223429989475373,-0.146570541373603,0,0.0804027056378499,0,0,0,-0.135019085042091,0,0.0588338227804809
