,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.477157604778706,0.0356043015295309,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.177513816989902,0,0,0,0,0,-0.0170397060724969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437025426420358,0,0,0,0,0,0,0,0,0.0155913945076578,0,0.165774926235153,0.0333754676067249,0,0,0,0
X601318.CH.EQUITY,0,0,0.227115172905332,0.101700667678053,0,0,0,0,0,0,0,0,0,0,0.301158842302608,0.0754971335879431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147249643818157,0,0,0,0,0.00733042661276585,0.08431846686523,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.273439717385797,0,0,0,0,0,0,0,0,0,0.142843829313696,0,0,0.404747420303969,0,0,0,0,0.0517976838735648,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0644996440033963,0,0,0,0.0184054386646072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.351274023617512,0,0.196634418821869,0,0.319433933457138,0,0,0,0,0,0,0.05518586819722,0,0,0,0.0287267079656642,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.184323660203113,0,0,0,0,0,0,0,0.204103636587921,0,0.0577267994431584,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.121720718428522,0,0,0,0.0286824772011044,0,0,0,0.0147430407235214,0.0809437856537311,0,0,0,0,0.100511241519853,0,0,0,0,0,0.125563930980781,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.276679353096013,0,0,0.179712022776085,0,0,0,0,0.599525714493621,0,0,0,0,0.567602681829829,-0.639121661803141,0,0,0,0,0.11588113801736,0,0,0,0,0,0,0,0,0,0,0.0167941760229575,0,0,0,0,0,0,0,0,-0.198876195561589,-0.0414922639344927
X600036.CH.EQUITY,0.0319567117439188,0,0,0.135190374047762,0,0,0,0.105946860491479,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0854944605315652,0,0,0,0,0,0.0293683044004119,0,0,0,0,0,0.154222432721327,0.0740643037405413,0,0,0,0.175073840256829,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0183200664958431,0,0.0411973680447396,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0356849517837647,0,0,0,0,0,0,0,0,0,0.0257301933319513,0,0,0,0,0.168499296859389,0,0.0547631803491219,0,0,0.0963724866289897,0.107147982425839,0,0,0,0,0,0,0,0,0.0539609209357329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369998735968168,0,0,0
X601628.CH.EQUITY,0,0,0.264228579015637,0.0265834785774897,0.233215498657682,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0570180992973664,0,0.134595520824724,0,0,0,0,0,0,0,0,0.0998476238311889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.289441049451521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435874788053988,0,0,0,0.215686664166878,0,0.0936461282085456,0,0,0,0,0.435317131427939,0,-0.197572396296337,0,0,0,0,0.77452710959146,0,0,-0.551949499772825,0,0,0
