,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.418613247823621,0,0,0,0.0542880109590954,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0127352264810094,0,0,0,0,0,0,0,0,0,0,-0.0126440196718787,0,0,0,0,0,0,0,0.231380391853659,0,0,0,0,0,0,0,0,0,0.0103456431173918,0.0304449669630184,0.239453583762623,-0.0181768113770677,0,0
X601318.CH.EQUITY,0,0,0,0,0.046683266175412,0,0,0.0485945410256512,0.0893018536660815,0,0,0,0,0.0493277239968618,0,0,0,0,0.251095401829078,0,0.254830593528467,0.136500213050715,0,0,0,0,0.0579519835375753,0.0842658928761546,0,0,0,0,0,0,0,0.00548395409703358,0,0,0,0,0,0,0,0,0,0.0196794960441091,0,0,0,0,0,0,0.112475491199609
X601939.CH.EQUITY,0,0,0,0.28720419438011,-0.0385880450459253,0,0,0,0,-0.0108454090050353,0.0395920533769621,0,0,0,0,0,0,0,0,0,0,-0.269734909973673,0,0.712180192673852,0,0.0528270287908419,-0.141272003262321,0.0668670399622827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139173433541473,0,0,0,-0.0360869189565945,0,0,0,0,-0.0893612245323844,0
X601288.CH.EQUITY,0.218440027428401,0,0.0200449983304097,0,0,0.0380625690139524,-0.0578874335406176,0.288969556326162,0,0,0,0,0,0,0,0.115790891816379,0,0.00614740293670443,0,0,0,0,0,0.0346717938420605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170160220842602,0,0,0.110464746677054,0,0,-0.0918979086858561,0
X600036.CH.EQUITY,0,0.201232047077334,0,0,0,0.0187577091615317,0.113530998826178,0.0971159118312336,0,0,0,0,0,0.181697805020043,0,0,0,0,0,0,0,0,0.0882657755544144,0,0,0,0,0,0.338692640450765,0.0058393473383927,0,0.0591156919652376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293287038359829
X601628.CH.EQUITY,0.0860302946626888,0,0,0,0,0,0,0,0,0.00230980242827727,0,0,0,0,0,-0.0427397835321623,0,0.185384252049361,0,0,0,0.0531287611682541,0,0,0,0,-0.0418548867532657,0,-0.104833445545292,0,0,0.0376887947693453,0.21722099847039,0,0.0856763872318327,0,0,0.54594698736864,0,0,-0.0354067534950944,0,0.0703083343411715,0,0,0,0,0,0,0,0,0,0.0263345131397434
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.238907630225103,0,0,0,-0.0475070531221602,0,0,0,0,0,0,0,0,0,0,0.0762298939467107,0,1.69734940398083e-05,0,0,0,0,0,0,0,0.0166323160219862,0,0,0,0,0.115008663351132,0.193864551329833,0.107887637373319,0,0,0,0,0,0.0709679464344517,0.121614389181287,0,0.0571306843726939,0,0
X601988.CH.EQUITY,0.0309402228114431,0.0193067115499995,0.0459483245892177,0.171874561614352,0.356590222487414,0,0,0,0,0,0,0,0,0,0,0.188639793444839,0,0,0,0,0,0,-0.00809275584823219,0,0,0,0,0.0757911815257758,0,0.0160729265982681,0,0,-0.121392764325567,0,0,0.270381969083536,0,0,0,-0.0836258803704202,0,0,0,0,0,0,0,0,0,0,0,0.0453082862534099,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.028358038400037,0,0,0,0,0,0.0437167519657602,0,0,0,0,0,0,0,0,0,0,0.14187269157046,0,0.0124635264515703,0,0,0,0,0,0,0,0,0,0,0,-0.0003948723759052,0.474202252792934,0,0,0.260802074204643,0,0.19420861819472,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.026030795641102,0,0.0760449155434558,0,0,0,-0.0106166591752769,-0.0704724646931967,0,0,0,0,0,0,0,0,0,0.431981082073001,0,0,0,0,0.277373549084752,0,-0.0313520139349249,0,0,0,0,0,0,0,0,0,0.323368412091641,0,0,0,0.0216579889870283,0.0925223362168071,0,0,0,0,0,0,0,0,0
