,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0711769668175281,0,0.0399592541828284,0,0,0,-0.026323618853371,0,0,0,0.469611996862561,0,0,0,-0.13213024577324,0,0,0,0,0,0,0,0,0,0,0,0,0.0580508592392054,0,0,0,0,0,0,0,0.0499654744464244,0,0.0646824049702231,0,0,0,0.218243443118999,0,0,0,0,0.0229864198524174,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0151867645782515,0,0.0163147217957091,0,0,0.112768913048034,0,0.179759955717529,0,0,-0.0579268079427839,0.20192994078969,0.0571476604691595,0,0,0,0,0,0,-0.138890468858499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18617015212721,0,0,-0.288782470702348,0.386678908306456,0,0.260555240030934,0,0.241834376240929,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.250583848496318,0,0,0.322963698106789,-0.0299168355992008,0.106817973861241,0,-0.077256580093218,0,0,0,0,0,0,0.0691934620526619,0.0606631253381794,0,0,0,0,0,0,0.117064248700989,0,0,-0.0325295476898855,0,0,0,0,0,0,0,0,0,0,0,0,-0.100962272413342,0.382553804061993,0,0,0,0,0,0,0,-0.00156900357849692,0,0,0,0,0
X601288.CH.EQUITY,0.384829011148554,0,0.0896499497726723,0,0.101505478125922,0.1650823249657,0,0,0.004840686943792,0,0,0,0,0,0,-0.132473096194471,0.0492201924048798,0,0,0,0,0,0,0,0,0,0.0248878329562589,0,0,0,0,0,0,0,0,0,0,0,0,0.295420842729713,0,0,0,0,0,0,0,0,0.0438422833719581,0,0,0,0
X5.HK.EQUITY,0,0,0.0507513114019431,0.221824457961087,0,0.139208590646541,0,-0.361566674597541,0,0,0,0,0.0908995557936802,0,0,0,0,0,-0.00801149216054693,0,0,0.392948452797187,0,0,0,0.45871495922702,0,0,0,0,0,0,0.0910353249814018,0,0,0,0,0,0,0,0,0,0.00102540512470562,-0.0843035827213098,0,0,0,0.152706434597002,-0.0605319112279393,0,0,2.16840434497101e-19,0
X601988.CH.EQUITY,0.226781322554234,0.101845392248405,0.351090980633508,0,0,0,0,0,0.139377680159104,0,0,0.151094777610304,0,-0.152242882594772,0,0,1.38777878078145e-17,0,-0.114215687403061,0,0,0,0,0.163229759063204,0,0,0.104028535199017,0,0,0,0,0,0,0.0309949721061866,0,0,0,0,0,0,0,0,0,0,0.041007848185364,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0811112215267141,-0.0807305090467121,0,0.13959592340574,0,-0.0469448825120527,0.0295547255739011,0,0.37356268455029,0,0.237540886005345,0,0,0,0,0,0,0.0483779133646518,0,0,0,0,0,0,0,0,0,0.0369130474035799,0.00610344143524596,0,0,0,0.0601942687180229,0.079143642686554,0,0,0,0.127150384566498,0,0,0,0,0,0,0.0516449538830893,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0545844562300294,0,0,-0.00296943081354683,0,0,0,0,0,0.339848754635726,0,0.106082176503031,0,0,0,0,0.153519030582561,0,0,0,0,0,0,0,0,0,0,0,0.0162823468283468,0,0,0,0.139865053089032,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.010876993925761,0.264746071459621,0,0,0.0371207669942639,0.0987279288885517,0,0,0,0,0.0351135244905544,0,0,0,0,0,0,0,0.108676718465627,0,0,-0.106119388677128,0,0,0,0,0.1035188681418,0,0,0,-0.105514068044689,0,0,0,0,0,0,0,-0.188563726007594,0,0,0,0.17692024628049,0,0,0,0,0.121029074842195,0,0,0,0,0.0937403142875547
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159435369742247,0,0,0.00992296552455644,0,0,0,0,0,0.214665492482974,0,0,0,0,0,0.0963301059930187,-0.0151929253563659,0,0,-0.0363995749775559,0.285796731322745,0,0,0,0,-0.182684966522365,0,0,0,0,0.03813524098192,0,0,0,-0.150414994286258,0,0,0
X601166.CH.EQUITY,0,0,0.0637763200829096,0,0,0,0.428087848290732,0,0,0,0,0,0,0,0.016418264533341,0,0,0,0,0.0507021424995149,-0.01543578814966,0,0,0.115667548680007,0,0,0,0,0.215384632859628,0,0,0,0,0,0,0,0,0,0,0,0,0.0759304720787353,0,0,0,0.0305332144567618,0,0,0,0,0,0,0.0101190021153043
X601328.CH.EQUITY,0,0,0,0,0,0.0482835703180941,0,0,0,0,0,0,0.523028121678825,0,0,0,0,0,0,0,0,0,0.211270861392231,-0.0384657038044529,0,0,0,0,0.0311490999213784,0,0,0,0,0.0340204398789714,0,0,0,0.0157069829073761,0,0.0886310651804649,0.0283122449061059,0,0,0,0.0442138807685416,0,0,0,0,0,0.0342721945355685,0,0
