,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.521315713996118,0,0,0,0.122300155673226,0,0,0.0509992288593087,0.0496522680416035,0,0,0.169710711838956,0,0,0,0.0361584606438109,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0253340074784231,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.140375658965173,0.265529886981495,0,0,0,0.0338686646004522,0,0,0,0,0.318946268681457,0.0925843859126236,0,0.0657746271835062,0,0,0,0,0.0449648176394748,0,0,0,-0.0505353165008206,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0696171200660937,0,0,0.00463326514386597,0,0,0,0,0,0,0,0,0.00274646673691249
X601939.CH.EQUITY,0.431746454800026,0,0,0.261954353680497,0.165834073007286,0.0156299684030863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212549796592902,0.111577810715623,-0.162384263724426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020313922401824,0.0136918560688815
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.217176981913178,0.103832210812646,0,0.853524589961376,0,0,0,0.0685447631740751,0,0,0,0,-0.13926114186424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581077918311676,0.0238122292977762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.286604646412105,0,0.087057323552563,0,0,0,0.0761389202853382,0,0,0,0,0,0,0.16646764822576,-0.199477411516418,0,0,0,0,0,0.0397907750316798,0,0,-0.0248003493257277,0,0,0.0193643345225867,0,0,0.201132056554171,0,0,0,0,0.387238031863765,0,0,0,0,0,0,0.195670299713233,-0.141033193876326,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.297608456673432,0,0,0,0.152556665950058,0,0,0,0,0,0,0.0360771392775551,0.0941109420122278,0,0,0,0,0,0,0,0.058964817013064,0,0,0,0,-0.187023789517035,0,0.10252433167174,0,0,0,0,0,0,0,0,0,0.0495618782990708,0,0,0,0,0,0,0,0.080800396182919,-0.0704366109858528,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.102938574462724,-0.0483297694079627,-0.0362889709180783,-0.0137015150380584,0.0984307888768751,0,-0.107001738809348,0,0,0,0,0,0.516779442271636,-0.0425095318794678,0,0.0851265729988526,0,0,0.138091422315005,0,0,0,0,0,0.0284761602371075,0,0,0,0,0.0266769713598793,0,0.242977983897261,0,0,0.097078177079656,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.234139923401212,0,0,0,0,0,0,0,0,0,0,0,0.14119687641102,0,0,0,0.0331189993258584,0,0,0,0,0,0.0352978980685058,0,0.0335004122166607,0,0.0234590534952144,0.285151834272121,0,0,0.176990028974336,0,0,0,0,0,0,0,-0.0556641011541541,-0.225501961383929,0,0.0773197754010181,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0318327768535665,0,0,0,0,0,0,0,0,0.13211952777486,0,0,0,0,0.409301941429064,0,0,0,0,0,0,0.00349484276224128,0,0,0,0,0,0,0,0,0,0,0.0655525948316229,0.182433563960128,0,0,0,0.190275033246847,0,0.0782386454095652,0.0490385012819138,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.00558213502513225,0,0.414401398402733,0,0,0,0,0,0,0,0,0.412341220341667,0,0,0,0,0,0,0,0,0,0.0544686201362836,0.0493685314335864,0,0,0,0,0,0,0,0,0,0,0.0136710983231933,0,0,0,0,0,0.0924948305851379,0,0,0,0.229800692541343,0,0,0.0626718299394248,0,0,0,0,0
