,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.363153756247967,0,0,0.0971319586073312,0,0.314039767740599,0,0,0.10671306354878,1.73472347597681e-18,0,0,0,0,0.0904355259934336,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015248106223168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.421365505382414,0,0,0.0415266593536306,0,0,0,-0.113958841737907,0,0.0468750840891898,0,0,0.431413864796493,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0487557924307394,0,0,0,0,0,0,0,0,0.0481186088123144,0,0,0,0,0,0,0,0,0,0,0.0270767226158246,0,0,0.0392616650100968,0,0,0
X601318.CH.EQUITY,0,0,0,0.0482030706682916,0,0,0,0,0,0,0,0.366296129604997,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0150537296777936,0,0,0,3.30348004132976e-05,0,0,0,0,0,0,0,0,0,0,0,0.0791230575275648,0,0.0607991820564004,0.170572387826035,0,0,0,0,0,0.152529328036066,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.415455319509518,0,0,0,0.400644611193885,0,0,0,0,0,0.0655591191512723,0,0,0,0,0.0697544578254913,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0340608757499868,0,0,0,0,0,-0.0145363278559668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.277434574999571,0,0,0,0,0,0.00163558131643516,-1.0842021724855e-19,0,0,0,0,0,0,0.136274023232332,0,0.135309171800739,0,0,0,0,0,0,0,0,0.00149492533570563,0,0.0662269754526667,0,0.0119089857395353,0,0,0,0.0468188236597245,0,0,0,0,0,0,0,0.165847656382029,0,0.149488412953841,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.179294962631902,0,0,0,0.180557995748061,0,0,0,0,0,0,0,0.0904391901387542,0,0.120391008821105,0,0.331302155493675,0.182844160442224,-0.230285057305182,0,0,0,0,0,0,0,0,0,0,0,-0.0301494319990247,0,0.271457675943971,0,0,0,0,0,0,0,0,0,-0.149591757435663,-0.0341693403067618
X600036.CH.EQUITY,0,0,0.0284392086503994,0,0,0.0493971890388913,0,0,0,0,0,0.333139097270635,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0250573895682046,0,0,0.0897878362019839,0,0.00155906909198993,0,0,0,0,0.132536331357317,0,0,0,0,0,0,0.0718292843377208,0,0,0,0,0,0,0,0,0.275816144149298,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0251835357629298,0.0607701918456874,0,0,0,0,0,0,0,0,0.280317640821148,0,0,0,0,0,0.149310083813013,0,0.0570088288802013,0,0,0,0.136454341114546,0,0,0,0,0,0,0,0,0.204413985075716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.113546998371195,0,0,0,0,0,0,0,0,0,0,0.0281655204049634,-4.33680868994202e-19,0,0,0,0,0.195204810993861,0,0,0.0384972176139024,-3.46944695195361e-18,0.235795316837435,0,0,0,0,0,0,0,0.059220205575561,0,0,0,0,0,0,0,0,0.131956241751748,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0224633002262736,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110736154845001,0,0,0,0,0,0,0,0.04620008858676,0,0,0,0,0,0,0.430520875016324,0,0,0.200226445696556,0,0,0,0,0,0,0.0594858053779556,-0.394420065560456,0,0,0,0,0.737813620625899,0,0,0,-0.0208797904346213,0,0
