,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600999.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601155.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.227932591622526,0,0,0,0.356591668834642,0,0.00489165354984277,0,0.0153741692928425,0,0,0,0,0,0,0,0,0,0,0,0,0.260281574768372,0.0270587022818328,0,0,0,0,0,0,0.0885921478712201,0,0.0710595648955447,0,0,0,0,0,0,0,0,0,0,0,0,-0.100455716193188,0,0.0231242745092026,0,0,0
X601318.CH.EQUITY,0,0,0,0.0791728745680498,0,0,0,0,0.176638947082163,0,0.00527189161946751,0,0.0880368650393753,0.117944643341155,0,0,0,0,0,0.309209222933181,0,0.0607117163024391,0,0,0,0.114561626385394,0,0,0,0,0,0.0504129023706733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661233313042813,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.185150135725266,0,0,0,0,0,-0.0537559197053292,0.13977683395496,0,0,0,0.125631450118459,0,0.0760278050726468,0,0,0,0,0,0,0,0.424737061365486,0,0.0823684513434011,0,0,0,0,0,0,0,0,0,-0.137275151112212,0,0,0,-0.0300984859279894,0,0,0,0,0,0,0,0,0,0.0313006606726193
X601939.CH.EQUITY,0.514042846485766,0.097405364287233,0,0,0,0,0,0,0.134953817423306,0,0.165162613692667,0,0,0,0,0,0.0100737361240115,0.117346390606132,0.0601385078590729,0,0,0,0,0,0,0,0,0,0.186336245071648,0,0,0,0.0471295880173687,0,0,0,0,0,0.064477689998097,-0.0901471714049089,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0160940735389165,0,0.110567308022723,0,0,0.0243842414579303,0.470605353933387,0,-0.0175663785641479,0,0,0,0,0,0,0,0,0.121628752592302,0,0,0,0.0562172947907164,0,0.0884212521853677,0,0,0,0.0277047009731712,0,0,0,0.0334017469866816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601954514141399,0,0,0,-0.0576102252305095,-0.0427748390329238
X1299.HK.EQUITY,0,0,0,0,-0.082559271827074,0,0,-0.0512845670905637,0,0.184425774312085,0,0,0,0,0.0706767642943769,0,0,0,0,0,0,0,0.125131401313113,0,0,0,0,0,0,0,0,0,0.0953878577910051,0,0.0179806779146829,0,0,0,5.49183518622534e-05,0.16216288201323,0.156081300087546,0,0.0924065874115461,0,0,0,0,0.293421313374035,0,0,-0.117059784332403,0,0
X601628.CH.EQUITY,0,0,-0.0542822573834753,0,0,0,0,0,0,0.23629350033472,0,0,0,0,0.0877095274456136,0,-0.0115529668853454,0,0,0,-0.0646515522255266,0,0.15762857453796,-0.0579080039923328,0,0,0,0,0,-0.0260942837324442,-0.00544883558130833,0,0,0.017981350896386,0,0,0,0.357641759485595,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0359636318232113,0
X601988.CH.EQUITY,0.043561009729709,0,0,0,0.461951427224166,0,0.0302240236844161,0,0,0,0,0.0514411391250213,-0.0283336224150653,0,0,0,0,0.183601694833166,0,0,0,0,0,0,0.0287437882776121,0,0,0,0,0,0,0,-0.117856536228365,0,0,0,0,0,0,0.112508559902784,0,0,0,0,-0.0346999357013604,0.145504891512377,0,0,0,0,0,0,-0.0751660528115168
X5.HK.EQUITY,0,0.154526552452285,0,0.00402562352234466,0,0,0,0,0,-0.148123707720035,0.0654351390601876,0.0896573407172935,0,0,0,0,0,0,0,0,0,0,0.168241099658777,0.011866671166388,0,0,0,0.162262921480852,0,0.0543123879115803,0,0,0.0932700980727336,0,0,0,0,0,0.270954457486309,0,0,0,0.121537510918666,0,0,0,0.0534515029696402,0,0,0,0,0,-0.0893424603918974
X388.HK.EQUITY,0,0,-0.105223471304727,0,0,0.0395701520040104,-0.132384058739949,0,-0.207982097473162,0,0,0,0,0,0,0,0,0,0,0,0,0.141051185392377,0,0,0.0363597064376828,0,0,0,0,0,0,0,-0.162949931229833,0,0,0,0,0.21620812746859,0,0,0,0,0,0.24476995722535,0,0.0289186055140002,6.7762635780344e-21,0.0730788516899533,0,0,0.0879152000153432,0,0
