,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.482987530000249,0,0.247775265288245,0.0574999849227906,0,0,-0.0605833101115808,0,0,0,0,0,0,0,0.0756552016846939,0,0,-0.0761360653952756,-0.0248701126267144,0,0,0,0.0411808887937154,0,0,0,0.0144629104903958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488471645997648,0.315957868749811,0,-0.00290314192010315,0,0,0,-0.0330679551933008,0.0739616556637137,-0.0583326770072654
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.010867356313862,0,0,0,0,0,0.169032059288127,0,0,0,0.351701398762274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198508064253426,0,0.0468769930764566,0,0,0,0,0,0,0,0,0,0,0,0.00387388055039752,0,0,0.173847916391256
X601939.CH.EQUITY,0,0,0,0.701617807700811,0,0,0,0,0,0.0685504986480547,0,0.277730318815045,0,-0.0347153733815128,0,0.03445716445748,0,0,0,0,0,0,0.0356996717397433,0,0,0.00224105174942028,0,0,0,0.00329828846691525,0,0,0,0,0,0.0421882306222275,0,0,0,0,0,0,0,-0.0271453696390729,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.151405991392978,0,0.853979056868024,0,0,0,0,-0.0764994654248175,0,0,0,0,0,0,0,0,0.0159419932539849,0,0,0,0.0377591585299439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285343071151812,0,0,0,0,0.0245762254746855,0,0,-0.144490882050998,0,0,0,0,0,0,0,-0.0507209891904303,-0.00305762076679227,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0898532906297254,0.179822169653305,0,0,0,0,0,0,0,0.0597034117145544,0,0,0,0.0927649175334334,0,0.0360527372159103,0,0,0,0,0,0,0.165793019300726,0,0,0.280120663393639,0,0,0,0,0,0,0,0,0,0,0,0.0215963546689756,0.0557739326612051,0,0,0,0,0
X600036.CH.EQUITY,0.241855138745668,0.0429046199652718,0.222412112594661,0,0,0,0,0,0,0,0,0,0,0,0,0.187765653988845,0,0.0187805928749376,0,0,0,0,0,0,0,0,0,0,0,0.215059207213162,0,0,0,0,0,0,0,0,0,0,0,0.00974392519403631,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.103762502113245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567491596910572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913623833816615,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.129946149734966,0,0,0,0.0323941215095893,-0.0572946082411209,0,0,0,0,0,-0.133256784658682,0.295178334587083,0,0,0,0,0,0,0.0482036453196641,0,-0.14030741536193,0,0,0,0,0,0.0690590931407623,0.0455303952230326,0,0,0.0731576527389299,0,0,0.255006681495412,-0.0253554306292323,0,-0.00240775789912109,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.177927305640334,0,0,0,0,0,-0.024076343891818,0,0,0,0,0,0,0.0276221295455928,0.303404362710027,0,0,0,0.0764598519195942,0,0,0,-0.183900186011206,0,0,0.0578081841229146,0,0,0.0770751587470832,0,0,0.32038950449055,0.110672348254982,0,0.0345275261305976,0,0,0.0322266984621541,0,0,0
X388.HK.EQUITY,0,0.00575749216313251,0,0,0.153164683475846,0,0,0.125954833520407,0,0,0,0,0,0,0,0.0308252731101606,0,0,0,0,0.096228177201918,0.385729225648129,0,0,0.120312239073836,0,0,0,0,0,0,0,0,0,0,0,0,0.115495437666102,0.195673375608853,0,0,0,-0.22184034902121,0,0,0,0,0,0,0,0,0,0.0711974973202577
