,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X388.HK.EQUITY,0,0,0.210537131409051,0,0,0,0,0.325839828911699,0,0,0.0212230168870202,0,0,0.0226923491981922,0,0,0.0999284176846303,0.133095113131294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10000617745312,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385353239836727,0,0,0,0,0,0,0,0,0.207034072870983,0,0.119147477413853,0,0,0,0,0,0,0,0.0314748066324742,0.0263512008590548,0.0469995295805275,0.230690490134439,0,0,0.216005251038717,0.0177800807275879,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0.114990404696636,0,0,-2.71050543121376e-20,0,0,0,0.253659134345306,0,0.0794298341617869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815757464485521,0,-0.08155112727568,0,0.147361045899794,0,0.256898443909997,0,0.157431896933448,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0652189152687633,0.346570621868644,0,0.0728946353319286,0,0,0,0,0,0,0,0,0,0,0.0763560116563197,0,0,0,0.27566702080442,0,0,0,0,0.133430217903177,0,0.00511183142631369,0,0,0,0,0,0,0.0466796784536872,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0.26680556790882,0,0,0,0,0,0.230813410967867,0,0.117963084003753,0,0,0,0,0,0,0,0,0,0.158371714995286,0,0,0,0,0,0,0,0.110889851454121,0,0,0.0176891641645279,0,0,0,0,0,0.0551582733429824,0,0,0,0,0,0.0361110411027784,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0468609173017807,0,0,0,0,0,0,0.0586843519602037,0,0,0,0,0,0,0,0.00613424897978933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472147307206614,0,0,0.0351025754977228,0,0.368943135502497,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0797940085059934,0,0,0.0983762207580196,0,0,0,0,0.0583344406184524,0,0,0,0,0,0,0,0,0,0,0.0760127699425116,0,0,0.401616352026799,0,0.247450437100522,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.235336894469048,-3.46944695195361e-18,0,0,0.0432701737252396,0.0501960544563041,0,0,0,0,0,0,0,0,0,0,0.028856936488682,0,0,0,0,0.0441191658059035,0,0,0,0,0,0,0.0129352770078125,0,0,0,0,0,0,0,0,0,0,0.438781672974767,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.0403826136880744,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.055816798129751,-0.0339101037400732,0,0,0,0.145249125105813,0.106885623127661,0,0,0,0,0,0,0,0,0,0,0.295020006014312,0,0,0,0,0,0,0,-0.0597107633464968,0,0,0,0,0,0,0.155964447400514,0.28747108191448,0.0917325861696514,0,0,0.0372185399436423,0,0.0188221436688593
X11.HK.EQUITY,0,0,0,0,-0.0679343780460741,0.350904436184506,0,0.176906872646236,0,0.0246300681844946,0,0,0,0,0,0,0,0,0,0,-0.250856514657504,0,0,0,0,0,0.701095287830956,0,0,0,0,0,0,0,0,-0.0160815872013853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,-0.185555449412945,-0.128072333597489,0,0,0,0,0,0,0,0,0,0.0568176524116255,0,0,0,0.226534853931038,0,0,0,0.344433541366151,0,0,0,0,0,0,0,0.250131730795675,0,0,0.114333699641337,0.00360007475494514,0,0.0367822763214712,0,0,0.240835831451777,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,-0.0371970169136596,0,0,0,0,0,0.0885798774310321,0,0,0,0,0,0,0,0,0,0.0317779429685995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544513834503968,-0.128988030415543,0,0.171647476174428,0,0,0.215386238359197,0.142393986834849,0,0,0,0,0,0.734368557281602,0,0.0032164640526276,-0.158879717804637,0,-0.105272244647486
X2388.HK.EQUITY,0,0,0,0,0,0.12457438087842,0,0,0,0,0,0,0,0,0.0526013961837364,0,0,0,0,0,0,0,0,0.402238895151983,0,-0.0117524644545419,0,0,0,0,0,0,0,0,0.0542041216302457,0,0.321716804989539,0,0.00298851074243651,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.111162377011526,0.0903485525023609,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0.123081457741733,0,-0.0707198988853085,0,0,0,0,0,0,0,0,0,0,0.54780234842934,0,0,0,0.247911577403299,0,0,0,0.196730477373163,0.0562457113400908,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194528026257389,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0217190350254381,0,0,0,0.500398858241002,0,0,0,0,0,0,0,0,0,0.142948468176179,0,0,0,0,0,0.0401530078964467,0,0.0488236158412061,0,0,0,0.135466721805559,0,0,0,0,0.0558409623380648,0,0,0,0,0,0,0,0.08059746694771,0,0,0,-0.0542436390677004
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0.104633041228641,0.0540248558132915,0,0,-1.73472347597681e-18,0.108365427162505,0,0,0,0,0,0,0.413711116104164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803899043154183,0,0,0,0.0365107129038959,0.156281198925005,0,0,0,0,0.00629285730571522,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.385140751482157,0,0,0,-0.0556667890429161,0,0,-2.77555756156289e-17,0,0,0,0.568945635490396,0,0,0,0,0,0,0,0,0,-0.00791527901612412,0,0.0674709448846489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106189476419104,0,0,0.0302515879554196,0,0.0457510362015647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266449002627869,0,0.216772472041518,0,0.0776632790677916,0.0552959769520859,0.137617885159739,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0430835700058002,0,0,0,0.217274531764088,0,0,0.235013562131501,0,-0.0588161140022485,0,0,0,0,0,0,0.0195703303761123,0.10613610009646,0.041456681837938,0,0.232050253850288,0,0,0,0,0,-0.22616938722727,0.20512892188275,0,0,-0.198903614306547,0,0,-0.0159689922897044,0,0,0,0.289248066666597,0,0,0.0173983611389006,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103804086427555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367530811308029,0,4.33680868994202e-19,0,0,0,0.152225374783868,0.181866187174636,0.129646510868283,0,0,0.0537676950886776,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.352072438647473,0,0,0,0.125112396672177,0,0,0,0.164895521691594,0,0,0,0,0,0,0.0930607828598269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128704556025823,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0680008422386031
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0231935902692494,0,0,0.190137342418414,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.13348849540419,0,0,0,0,0,0,0,0,0.0236431694237922,0.154280941190287,0,0,0,0,0.227582923435374,0.108638118043653,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.00124926874057435,-0.17531517271641,0.310630259062591,0,0,0,0,0,0.235413722176386,0,0,0.456748934263372,0,0,0,0,-0.0522702367896341,0,-0.167318070023002,0,0,0.287234360975514,0,0,0,0,0,0,0,0,-0.214045279400152,0,0,0.328503420487923,0,0,0,0,0.0786236451404491,0,0,0.0139673432897987,0,0,-0.161835289593578,0,0,0.112717492456844
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684583315253328,-0.00609635270649515,0.0564218163954999,0,0,0,0,0,0,0,0,0,0,0,-0.0617798240602797,0,0,0,0.42590293625988,0,0,0,0,0,0,0,0,0.0450805827362398,0,0,0,0.184636794670134,0,0,0.259765409618432,0,0,0,0,0
