,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.149662884918448,0,0,0,0,0,0,0,0,0,0,-0.115502812705796,0,0.486171818235432,0.71226114603891,0.0417511664438387,0,0,-0.122887839085425,0,0,-0.092133482675644,0,0.084411449038604,0,0,0,0,-0.124085765860541,0,0,-0.341848068534619,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.165165646413426,0,0,0,0,0,0,0,0,0.0831053502635067,0,0,0,0.31275372742137,0,0,0,0,0,0,0,0,0,0.115613342646988,0,0,0,0,0,0,0,0.111175473573299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143111799940846
X601939.CH.EQUITY,0,0,0,0.819844582646874,0.0238791493036881,0.0159162807310172,0,0,0,0,0,0,0,0,0,0.000655715856106928,0,0,0,0.059357812990363,0,0,0,0,0,0,0,0,0,0,0,0.0164234166056316,0.0456741332457228,0,0,0,0.00528114147487643,0,0,0,0,0,0,0,0.06712681164684,0,0,0,0.0229553712405956,0,0,0,0
X601288.CH.EQUITY,0,0,0.922610854469021,0,0,0,-0.0678366899090748,0,0,0,0,0,0,0,0,0,0,0.11616187499535,0,0,0,0,0,0,-0.0148035835551404,0,0.0589748849282383,0,0,0,0,0,0,0,0,0,0,-0.104348699477428,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0476982095956539,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.105778595043902,0,0.00484695827768012,0,0,0,0,1.16811469959983,0,0,0,0,-0.14613274836324,0,0,0,0,0.0845530110780099,0,0,0.0806432852795046,0,0,0,0,0,-0.228427568592095,0,0,-0.253511150274126,0,0,0,0,0,0.0391867004695603,0,0.0794633647551112,0,0,0,0,0,0,0,0.0141792868457846,0.185610340694439
X600036.CH.EQUITY,0,0,0.37690110361714,0,0,0,0,0,0.0159844007009816,-0.0202072146175348,0,0,0,0,0,0.137569862268634,0,0,0.0128963961493813,0,0,0,0,0,0,0,0.14596767870738,0,0,0.0813116231153207,0,0,0.203209996288908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172985468873418,0.0708218638892762,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.774306023418181,0,0,0.0875477460915602,8.67361737988404e-19,0,0,0,0,0,0.133299726197119,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0745410078050448,0,0,0,0,0.00865624369873974,0.00671344020518403,-0.0118727774591999,0,0,-0.0407809354365847,-0.0365358449350356,0,0,0.0602288257645079,0,0,0,0.056843645471946,0,0.070029776817484,0,0.141904436343144
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.109831476075109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248400493761205,0,0,0.220950425966497,0,0,0.13851640284141,0.334057458076886,0,0,0.0198654599863619,0,0,0,0,0,0,0,0,0,0,0,0.357533316400963,0,0,0,0.123877866758663,0.0787272791377391,-0.0577079177846026,0.105983114258939
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382439114466503,0,0,0,0,0,0,0,0,0.467952269526101,0.0815180849281713,0,0.297369551200865,0.00515514549574248,0,0.0121824057400098,0,0,0,0,0,0,0,-0.339825935489257,0,0.121208918172445,0,0,-0.0836390114039608,-0.0698166061657967,0,0,0,0,0.153079974542043,0,-0.119708499517361
X388.HK.EQUITY,0,0,0,0,0,0,0.200476100390643,0,0,0,0,0,0,0,0,0,0,0,0,-0.187126091552554,-3.46944695195361e-18,0,0,0,0.444064663328489,0,0,0.0186032388253746,0,0,0,0,0,0,0,0,0,0,0,0,-0.0572971723071433,0,0,0,0.261019529283622,0.0321962763225411,0,0,0.0319862636559824,-0.153990911526875,-0.0872549416259131,0,0.0478983631114221
