Years	GDP251	CPIAUCSL	FYFF	FM2	GDP252	IPS10	LHUR	GPDIC96	PSCCOMR	FMRNBA	FMRRA	UTL11	HSFR	PWFSA	GDP273	CES275R	FM1	FSPIN	FYGT10	EXRUS	CES002
1959Q1	24.375	29.005	2.455	287.15	22.641	24.79755	5.95	286.898	477.7418399	10592	11120.5	80.82005	1662	33.15	20.315	10.4848634	139.15	58.815	3.99	105.275	44473.5
1959Q2	25.016	28.99666667	2.886666667	290.5	23.025	25.88963333	5.3	310.859	489.1991372	10407.66667	11085	83.795	1569.333333	33.23333333	20.365	10.62083997	140.0333333	60.93333333	4.14	105.0866667	45152.66667
1959Q3	24.997	29.14666667	3.453333333	295.2333333	23.284	25.6492	5.1	289.226	486.7940204	10122.66667	11083	82.40533333	1493.333333	33.1	20.47	10.65291665	141.6	63.24	4.39	105.1633333	45440.33333
1959Q4	25.085	29.31666667	3.913333333	296.7666667	23.317	24.7575	5.666666667	299.356	478.0698929	10182	11079	78.56923333	1437	33.16666667	20.576	10.56082645	140.6333333	61.23666667	4.58	105.4	45211.33333
1960Q1	25.643	29.39666667	3.983333333	298.1666667	23.527	26.71123333	5.1	331.722	466.4340767	10145.33333	11024.66667	84.5802	1521.333333	33.06666667	20.616	10.75875981	139.9666667	61.81	4.633333333	105.4433333	45987
1960Q2	25.515	29.50666667	3.87	300.1333333	23.817	26.39063333	5.233333333	298.152	471.127253	10220	10801	82.32416667	1223	33.4	20.73	10.82461221	139.6666667	59.00333333	4.293333333	105.73	46083.66667
1960Q3	25.555	29.59	3.176666667	304.4333333	23.719	25.89966667	5.5	296.375	470.1604067	10616	10985.66667	79.6672	1262.666667	33.43333333	20.812	10.79424626	140.3666667	60.09	3.95	106.0466667	45858.66667
1960Q4	25.224	29.71333333	2.503333333	309.6	23.746	25.4388	5.9	259.764	457.2870299	11049	11220.66667	77.07326667	1196.333333	33.6	20.909	10.84219662	141	57.91666667	3.873333333	105.9466667	45607.33333
1961Q1	25.376	29.83	1.99	314.3333333	23.744	24.7174	6.7	266.405	454.5083401	11175.66667	11266.66667	73.95906667	1157.333333	33.63333333	20.944	10.83946287	141.1333333	63.04333333	3.82	106.36	45078
1961Q2	25.853	29.83	1.83	320.1333333	24.1	25.3286	7	286.246	472.2387906	11014.66667	11088.66667	75.20086667	1235.333333	33.43333333	20.94	10.9220068	142.2333333	69.27	3.743333333	105.7533333	45055.66667
