,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.239585158637873,0,0.140936520440472,0.040854041183818,0.00429506425276516,0,-0.0614215202277686,0,0,0,0,0,0,0,0.0374776659981134,0,0,-0.0278544861142116,0,0,0,0,0,0,0.0219296075220771,0,0,0,0.085672651702196,0,0,0,0,0,0,0,0,0,0,0,0,0.308928923698112,-0.0249080659017747,0,0,0,0,-0.0464882765081211,-0.0293890016432163,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169726371167682,0,0,0,0.344649157411873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202751608225433,0,0.0121934235413677,0,0,0,0,0,0,0,0,0,0,0.0031026111971636,0,0,0.152021126680963,0
X601939.CH.EQUITY,0,0,0,0.7832079269468,0,0,0,0,0,0,0.103114288886498,0,0,0,0,0.112941757953342,0,0,0,0,0,0,0,0,0.00968965313701029,0,0,0,0.0703477030159173,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00588288029975511
X601288.CH.EQUITY,0.188187128783935,0,0.862999312980062,0,0,0,0,-0.0587527205439484,0,0,0,0,0,0,0,0,0.0143523462284001,0,0,0,0.0227919080041192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289819748840261,0,0,0,0,0.0141210425531206,0.00566383886274159,0,-0.131580312483717,0,0,0.0161329103442635,0,0,0,0,-0.0431606291256126,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.219955746934734,0,0,0,0,0,0,0,0,0.277606816543959,0,0,0,0,0,0,0,0,0,-0.012093876190904,0,0,0,0,0,0.124168767033224,0,0,0,0,0,0,0,0,0,0,0.150875472000379,0,0.345158769536615,0,0,0,0,0
X600036.CH.EQUITY,0.258191657407505,0,0.14876508239242,0.0999314915161858,0,0,0,0,0,-0.0291652308514772,0,0,0,0,0,0.229494801124421,0,0.0215236503106597,0.0178470051323199,0,0,0,0,0,0,0,0,0.220308242373715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594191749239334,0,0,0.0258151639336742,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0877184479659424,0,0,0.162399430404237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00840005557186978,0,0,0,0,0,0,0,0,0,-0.00811037371769328,0,0,0,-0.13752923562697,-0.0063810291719892,0,0.897358070889728,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.117722670850601,0,0,0,0,0,0,0,0,0,0,0,0.29485971081161,0,0,0,0,0,0.0693694334925939,0,-0.105067964844982,0.0321215790125095,0,0,0,0,0,0.123215273290005,0.0517227072183528,0,0,0,0,0,0.207829214398358,0,0,0,0,0,0,0,0,-0.0927544790547621
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.233756739758472,0,0,0,0,0,-0.0493438121027792,0,0.0234742092603059,0,0,0,0,0.29849514956407,0,0,0.0303720364242358,0.0800585967233072,0,0,0,0,-0.176959642250899,0,0,0.0666823249817655,0,0,0.112538874429744,0,0,0.306003789561451,0.161435257851791,0.00545132811144932,0,0,0.0626800138621132,0,0,0,0
X388.HK.EQUITY,0,0.115687877403303,0,0,0.282745476823449,0,0,0.0763565084754017,0,0,0,0.0112498372802925,0,0,0,0,0,0,0,0,0.0411962556656302,0.224522747274424,0,0,0.0778004722665291,0,0,0,0,0,0,0,0,0,0,0,0,0.130267021083869,0,0,0,0,-0.237825351479807,0,0,0.159773432494472,0,0.0164291461428426,0,0,0,0.0150438006835268,0
