,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.155118011508209,0,0,3.46944695195361e-18,0,0,0,-0.030567016776418,0,0,0,0,0,0,0,0,0,0,0,0,0.0382137457600811,0.358191584682497,0.30409877458917,0,0.192637241840046,-0.195956630638614,0,-0.0445329000735816,0,0.016007247782637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.218901535696039,0,0,0,-0.086875327488671,0,0,1.38777878078145e-17,0.000738285012812034,0,0,0,0.0530096641478449,0,0,0,0,0,0,0,0,0,0,0,0.0792018578695615,0.194605295087509,0.0355470526698299,0,0,0,0.225212219226999,0,0.11548357003363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294907599559251,0
X601939.CH.EQUITY,0,0,0,0.802139790299266,0,0,0,0,0,-8.67361737988404e-19,0.000990028191540568,0,-0.0393838807882004,0,0,0.0418704462683138,0,0.11804191364488,0.0502783994755418,0,0,0,0,0,0,0.0363197038835592,0,0,0,0,0,0,0,0,0,0,0,0.0453320276465578,0,0,0,0,0,0,0,0,0.00492404815116032,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.913967860573482,0,-0.0865578543657789,0,0,0,0,0,0,0,0,0,0,0,0.0214777098157252,0,0.16026133032814,0,0,0,0,0,0,0.0226790994645477,0,0,0,0,0,0,0,0,0,0,0,0,0.00706627325730487,-0.0506540903426558,0,0,-0.0793269325444734,0,0,0.0409486745413609,0,0,0,0,-0.0458032933963108,0,0
X601628.CH.EQUITY,0.0115536116966639,0,0,0,0,0,0,0,0,0.301111076907487,0,0.214834174071627,0,0,0,0,0,0,0,0.0404341339992177,0,0,0,0,0,-0.0118499662574937,0,0,0,0,0,0,0,0,0,0,0,0.51795032650461,0,0,0,0,0,0,0,0,0.20981597724986,0,0,0,0,0.121192710241175,0
X600036.CH.EQUITY,0,0,0.323486437282912,0.0828129963683449,0,0,0,0,0.0698248074738057,-0.0088277774419383,0,0,0,0,0,0.0866964016893443,0,0.103731622921945,0,1.73472347597681e-18,0,0,0,0,0,0.0432423815700547,0.0245991196082744,0,0,0,0.104251879055909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0152413735801541,-0.153748209753516,0.0603765686222353,0,0.0659063464906681,0,0,0,0,0,0,0,0,-9.8680524939293e-05,0,0,0,-0.0572346361771057,0,-0.0168390117893769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102122032887617,0,0,0,0,0,0,1.05283289509225,0.0127252642349538,0,0
X1299.HK.EQUITY,0,0,0,0,0.0335930655551481,0,0,0,0,0.13845598588904,0,0,0.0830166954573101,0,0,0,0,0,0,0,0,0,0.188530182030534,0,-0.120314293994795,0,0,0,0.0216948265002747,0.256129380363272,0,0.226402461605368,0,0,0,0,0,0,0,0,0.144348420092232,0,0,0,-0.0445152231812864,0,0.14386947062691,0,0.0655088023990083,0,0,0.0525426119783834,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189988957063301,0,0,0,0,0,0,0.225538733549163,0,-0.0563291894710001,0.479730752266383,0,0,0,0,0,0,0,0,-0.0458725361613016,0.0472167917356988,0,0,0,0,0.0354577035665145,0.0563213283381049,0,-0.117790060496103,0,0.04624077496368,0,0.101382453216663,0,0
X388.HK.EQUITY,0,0,0,0,0.14885496196337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329512462720151,0,0,0,0,0.202310897163323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154352764739488,0,0,-0.232395459870628,0,0,0.261394565472851,0
