,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.422312475725568,0.110119359691499,0.089837606533818,0,0,0,0,0,0,0,0,0,0,0,0.071962079511102,0,0,-0.0437581793466361,0,0,0,0.0335352358130852,0,0.0987545617381502,0,0,0,0,0,0,0.00369689336143767,0,0,0,0,0,0,0.0977263599525247,0.0290289718164733,0,0,0,0,0,0.232341741463629,0,-0.104200758789179,0,0
X601318.CH.EQUITY,0,0,0,0.0571102641569638,0,0,0,0,0.125165991970162,0,0.11191538227671,-1.73472347597681e-18,0.115973329506613,0,0,0,0,0,0.101242525458973,0,0.303301973153973,0,0.00673883379158714,0,0,0,0,0,0.0941070880729411,0,0,0,0,0,0.0231281083777652,0,0,0,0,0,0,0,0,0,0.0492773609539177,0,0,0,0,0,0,0.0957456857933043,0
X601939.CH.EQUITY,0.234895134597741,0,0,0,0.223749328854962,0,0,0,0,-0.029415760940678,0.131496638829716,0,0,0,0.0541443694546104,0,0,0,0,0.138336722928122,0,0,0,0.182983921318459,0.238501676650601,0,-0.0204926082442279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348323011964779,0
X600036.CH.EQUITY,0,0.127569196388141,0,0,0,0.0655648507235029,0.0433586560877433,0.136794125774209,0,0,0,0,0.164648817894627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332913696200141,0,0.0606189737075119,0,0,0,0,0,0,0,0,0,0,0.114990364682093,0,0,0,0,0,0,0,0,0,0,0.0376912805898087,0
X601288.CH.EQUITY,0.0980752116548427,0,0.161005014878923,0,0,0.0661859210220036,-0.00874994410435259,0.399223419481309,0,0,0.00693839249483038,0,0,0,-0.0463177882056129,0.042413788064558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144890833228133,0,0,0.185912744993809,0,0,0,0,0,0.120285013222788,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0431607025078096,0,0,0,0,0,0,0.176354643196251,0,0,0,0,0,0.156006324271889,0,0,0,0,-0.0510454408068977,0,0,0,0,0.0728511936891578,0,0,0,0.609413554814836,0,0,0,-0.0251825539357403,0.158211620858953,0,0,0,0,0,0,0,0,0,0.0755469165379406,-0.0718754647343295
X1299.HK.EQUITY,0,0,0,0,-0.0746460362560061,0,0,0,0,0.0710816323541427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021369903594807,0,0,0,0,0,0,0,0.0138020216187165,0,0,0,0.0266950942899992,0,0.339128674297087,0.282397547662061,0,0.217551522745653,0,0,0,0,0,0.305472277884176,0,0,0
X601988.CH.EQUITY,0,0,0.0862287805376961,0.168683644940994,0.148369009601338,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327522117225557,0.0267842388249837,0,0,0,0,0,0,0.261261436498464,0.119465512887781,0.165756882556411,0,0,0,-0.0463146617190456,0,0.00738783886351086,0,0,0,-0.0858183656639156,0,0,0,0,0,0.0469880260154476,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.136913599471222,0,0.0141997757710768,0,0,0,-0.231382002806077,0.0367704312034246,0,0,0,0,0,0,0.0248742020337153,0.194233608131226,0,0.0851186976763457,0,0.373687381279947,0,0,0,0,0,0,0,0.0424791148663299,0,0,0,0.225214244679388,0,0,0.36763490322264,0.0229381551507841,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.18848783212261,0,0,0.186465261334793,0,0,0,0,0,0,0.210190295870293,0.00874190870370815,0,0,0,0,-0.138911343923031,0,0,0.257981869313804,0,0,0,0,0,0,0,0,-0.00974745986721108,0.122230328682803,0,0,0,0,0,0,0.290948304675815,0,0.0654400330255535,0,0,0,0,-0.179570807294632,0,0,0.154844372343781,0.0910061290663474,0,0
