,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,1.73472347597681e-18,0,0.266926466258661,0,0,0,0,0,-0.134554744833697,0,0,0,0,0,0,0,0,0,0,0.489836485361167,0,0.502367730990013,0,0,0.173165312202885,0,0,0,-0.00716064468113081,0,-0.147721577306639,0,0,-0.288893233184151,0,0,-0.830061776470543,-0.0673650675931952,-0.00253964059218154,0,0,0,0,0,0,0,0,0,0.0888690149961906,0,0
X601939.CH.EQUITY,0,0,0,0.34735351922597,0,0,0,0,0.15443604262845,0,0,0.00889124240073754,0,0,0.099009775476317,-0.019407570353828,0,0,0.00466674316773731,0,0,0,0,0.0652541851264305,0,0,-0.0668208138157215,-0.0432496322172344,0,0,0,0,0,0,0,0,0,0,0,-0.0318731216150077,0,0,0,0,0,0,0.0422149974076485,0.410295365256172,0.0214541232189344,0,-0.0975144731790893,0.151397549126939,0
X601318.CH.EQUITY,0,0,0,0,0,0.388965203878977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15699737005648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330372910342054,0,0,0.0180019770683655,0,0,0,0.0323738395451904,0,0,0,0
X601288.CH.EQUITY,0,0.353938888313735,0,0,0.276069313578868,0,0.0715434737280611,0,0,0,0,0.186059742549024,1.73472347597681e-18,0,0.0360835944797625,-0.0405981271597451,0,0,0,0,0,0,0.159494655640409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0457263556649335,0,0,-0.095988591681535,0,0,0,0,0,0.020059598874563
X601988.CH.EQUITY,0,0.223113770161368,0,0.235206615381927,0,0,0,0,0,0.0445269032304657,0,0,0,0,0,0,0.121391468703059,0,0.119987766440466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.561800116838785,0,0,0,0.15407610110402,0,0,0,0,0,0,0,0.26413134366622,-0.0510269380256607
X600036.CH.EQUITY,0,0.0716742760777674,0,0,0,0,0.0810259750412916,0.0388896147250403,0,0,0,0,0.105506459713152,0,0,0,0,0,0,0.00106759810387559,0.14184628601556,0,0,0,0,0.0161291231053959,0,0,0,0,0,0,0,0.425176400181112,0,0,0.00595643603935596,0,0,0,0,0,0,0,0.0915918138452366,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0494960655158445,0,0,0,0,0,0.138190744465948,0,0,0,0.0610388948448874,0,0,0,0.226187092992349,0,0,0,-0.0921213096169118,0,0,0,0.0657891676519834,0,0,0.0846822466199433,0,0,0,0,0,0.051358859066823,0.0459320945333241,0,0,0.0560168683722484,0,0,0,0.342798487907171,0,0,0,0,0,0.0481628889902126,0.090515325072385,0
X601628.CH.EQUITY,0,0,0,0,0,0.365042925088088,0,0,0,0,-0.161717714715264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136949017492415,0,0.063026296260074,0.164257729635777,0,0.0838551818984251,0,0,-0.0859305321026468,0,0.0946937131401552,0,0,0,0.0509027483323722,0,0,0.0150405528945014,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323107866228903,0,0,0.00809230139342791,0,0,0.035505761346818,0.871629999799336,-0.620137409641855,0,0,0.644172236103197,0.120859734545495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122320378132985,0,0,0
X601658.CH.Equity,0,0,0,0.0554754762269848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268287570604793,0.191349575252012,-0.193215318094134,0,-0.0736677300439392,0.0294839155179052,0,0,0,-0.170507977694885,0,0,0,0,0,0,0,0,0,0,0,0,0.0136470087714161,0.534634637543185,0,0,0,0,0,-0.0482424372029225,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.167397726598787,0,0.0862437810186259,0,0,0,0,-0.314524245164553,0,0,0,0,0.170417194890009,0,0,0,-2.16840434497101e-19,0.0504271085904418,0,0.340256409870685,0,0,0,0,0,-0.105330565325905,0,0,0,0,0,0,0,0,0.071151004262668,0,0,0.0962038107012797,0,0,0,-0.068937534140291,0,0,0,0,0,0,0.0518211323687045,0,0
X601328.CH.EQUITY,0.212444727893699,3.46944695195361e-18,0,0.252827753907852,0,0,0,0,0,0,0,0,0,0,0.048260169562501,0.0680407830558825,0.100247446830612,0,0,0,0,0,0,0.173564316148475,0,0,0,0,-0.00231492929621616,0,0.0556842895922119,0,0,0,0,0,0,0,0,0,0,0,0,0.0308737478154332,0,0,0,0.104367069904939,0,0.013305112159594,0,0,0
X601166.CH.EQUITY,0,0.162584514110067,0,0.130845201849129,0,-6.93889390390723e-18,0,0,0,0.0334196898850733,0.0141770033651088,0,0,0,0.296457455077662,0,0,0,0.0268491728057656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638064522664329,0,0,0,0,0,0,0,0.0232361127660061,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.00142186436828306,0,0,0,0,0,0,0,0,0,0.235742506357855,0,0,0,0,0,0,0,0,0.0228332336249198,0,0,0,0,0,0.405073422081418,0.0487498163169488,0,0.00494461999196575,0,0,0.026986756849779,0,0,0,0,0,0,0.0304510076145231,0,0,0.0446866572428063,0,0,0.0531786814897929,0,0
X600000.CH.EQUITY,0,0,0,0.200714074639569,0,0.0283572982137504,0,0,0.072018793143902,0,0,0,0.305868513779709,0,0,0,0,0,0,0,0,0,0.0942944463053633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.119570344981815,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0.0289036325000193,0,0,0,0,0,0,0,0,0.0331793355705814,-0.0229610659368158,0,0,0.0375870821981836,0,0,0,0,0,0,0,0,0.187973402596644,0,0.112186789083639,0,0,0,0.0605368426084416,0,0,0,0,0,0,0.189501325953475,0,0,0,0,0.0189503105837008,0,0,-0.0446534875954476,0
