,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.123275057762473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165843169812562,0,0,0.445101801252179,0.523207980644507,0,0,-0.22783526562534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727075064667768,0,0,0,0,0,0,0,-0.0644407634911146,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0689203130991118,0,0,0.0656894582919049,0,0,0,0.183374956472643,0,0.161327380173771,0.256546552369811,0,0,0,0,0,0,0.00977910064911064,0,0,0,0.127719284040989,0,0,0,0,0.0583653817836724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723751435475241,0
X601939.CH.EQUITY,0,0,0,0.772420374778181,0,0,0,0,0,0.00162173065301533,0.099788585146403,0,0,0,0,0,0.108957038753549,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.0126561946429504,0.0679391415674011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606391795229427
X601288.CH.EQUITY,0,0,0.986066021203347,0,-0.00751664736108792,0,0,-0.0602189986057003,0,0.0229778573943838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501806075316292,0,0,0,0,0,0,0,0,0,0.017461671970245,0,-0.0411426172866991,0,0,0,0,0.0664819739061114,0,0,0,0,-0.112797677841485,-0.0120284217140844,0
X601628.CH.EQUITY,0,0.083764971110865,0,0,0,0,0,0,-0.0693343265065213,0.252854670558144,-0.0616705948680405,0.302536392653813,0,0,0,0,0,0,0.337065814453724,0,0,0,0,0,0,0,0,0,-0.0830377695421984,0,0.0175531570389131,0,0,0,0,0,0.151336001847133,0,0,0,0,0,0,0,0,0.148527733130384,0,0,0,0,0,0.0179700138201055,0
X600036.CH.EQUITY,0,0,0,0.348242682073325,0,0,0,0,0.0753061144970202,0,0,0,0,0,0.00436921807081332,0,0.0199590465097223,0.146513979454947,0,0,0,0,0,0,0,0,0.101177717238337,0,0,0.16837354968331,0,0,0,0.0260631869393795,0,0,0,0,0,0,0,0,0,0,0.037417971804325,0,0,0.0433666642924647,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0626950189590257,0,0.0132938661330594,0,0,-0.0572215719567981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731001259036979,0,0,0,0,0,-0.0256561620866217,0,0,0,0,0,0,0,0,0,0,0.000464012199951645,-0.134234200482864,0,0.999768878965555,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.148883591001295,0,0,0,0,0,0,0,0,0,0,0,0.301549923870552,0,0,0,0.046608449396842,0,0,0,0,0,0,0,0.115847293140381,0,-3.46944695195361e-18,0,0.0706809533766945,0.182619849868716,0,0,0,0.0245391690369114,0.0524975687952179,0,-0.0229370270448655,0,0,0,0.141000856629776,0,0,-0.0532314025443942
X5.HK.EQUITY,0,0,0,0,0,0,0,-0.0358849869624418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178175258788787,0.356487571377011,-0.0935424004934459,0,0,0,0,0,0,0.0484356409463818,0,0,0,0,0.0201523183361508,0,0,0,0,0.295081990725768,0,0,0,0,0,-0.327007605521975,0.237350869367253,-0.0194513076297292,0.0501151711260546
X388.HK.EQUITY,0,0,0,0,0.207737154522491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117675689016662,0.251743044876054,0,0,0,8.67361737988404e-19,0,0.140245707694471,-0.015877772681742,0,0,0,0,0.139803461757616,0,0,0,0,0,0,-0.0178958789317314,0,0,0,0,0,0,-0.186616914987323,0,0,-0.00433729181914077,0.294196788041138,0
