,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.146015047170695,0,0.650528040367388,0,0,0.00040316165892872,0,0,0,0,0,0,0,0,0,0,0.11043466225318,0,0,0,0,0,0,0.0114712655502749,0,0,0,0.0696039361106624,-0.0229456373121324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.000972653275014743,-0.00285485405508309,0,0,0,0.189074246796689,0,0,0,0,0,0.425612707139046,0,0,0,0,0,0,0,0,0,0.0129497679573367,0,0.013315923436487,0,0,0.136355894359627,0,0,0.0560768949717488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105433797926711,-0.0484683460439045
X601939.CH.EQUITY,0,0,0,0,0.216437204432962,0,0,0,0,0.120003947183565,0.144438687876868,0,0,0.0231023043621007,-0.0189776705290829,0.172615524023474,0.163518141765674,0,0,0,0,0,0,0,0,0.0348631447694306,0,0,0,0,0,0,0,0,0,0,0,0,0.120371276438366,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.047618703005105
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.148510461125239,0,0,0.240565115599956,0,0,0,0,0.347095939178371,0,0,0,0.166311548687524,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.00889264489612704,0,0,0,0.063763804991491,0,0,0,0,0,0,0,0.0752279432785497,0,0,0.1544048470146,0,0,0,0,0,0
X601288.CH.EQUITY,0.0457094069377629,0,0.00714355006338344,0,0,0,0,-0.0225974433074955,0,0,0,0,0,0.000656079125835005,0,0,0.751743242144829,0,0,0,0,0,0,0,0,0,0,0,0.0179323132719459,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0,-0.00660712849396435,0,-0.0116038924911463,0
X600036.CH.EQUITY,0,0.247150588042726,0,0,0,0,0,0.0488699795856213,0,0,0,0,0,0.266660668678163,0,0,0,0,0.121978212611666,0,0,0,0,0,0,0.253508835826549,0.000782197138209388,0.056494260571018,0,0.081663529533699,0,0,0,0,0,0,0,0.00910078100931154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.221722245360291,0,0,0,0,0,0,0,0,0,-0.0495378872784965,0,0,0,0,0.0750768238498709,0,0,0,0,0,0,-0.021140521054982,-0.00156276957856246,0,6.93889390390723e-18,0,-0.0876382892367646,0,0,-0.11653217646228,0,0,0,0,0,0,0,-0.0018845888362847,-0.0168285423641308,0,0,-0.016691179548242,0.966108178377367,0,-0.0866562110564636,0,0
X1299.HK.EQUITY,0,0,-0.231775201376998,0,0,0,0,0,0,0.236174213403752,0,0,0,0,0,0,0,0,0,0,-0.134911307062552,0,0,0,0.192934293977301,0.088037177942242,0.462307975996689,0,0,0,0,0,0,0,0,0,0,0,0,0.0288608120009635,0,0.0688449052124665,0.102929515790717,0,0.0674284480507291,0,0,0.170609457926343,0,0,0,-0.08322410988421,-0.0204534216624752
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.270488735784416,0,0,0,0,0,-0.121816055485111,0,0,0,0,0.180274389048187,0,0,0,0.031464053458224,0,0,0.37347793775682,0.0450692959406284,-0.0785007224432455,0,0,0,-0.0894926997406718,0,0.107038053311511,0,0,0,0,0.195299119273876,0.0193779224848258,0.187399443817299,0,0,0,0,0.140685063695669,0,0,0
X388.HK.EQUITY,0,0.0850723945939637,0,0.0069278131851772,0,0,0,0.042254475512157,0,0,0,0,0,0,0,0,0,0,0,0,0.0924270351240392,0.171563666160724,0,0,0.0789965144526627,0,0,0,0,0,0.166330942742321,0,0,0,0,0,0.22691280131821,0.124424493168352,0,0,-0.189464555525109,0,0,0,0,0,0.24442162001721,0,0,0,0,0.0646140697674294,0
