,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601328.CH.EQUITY,0.238016937432326,0,0,0.0530109090201474,0,0,0,0,0,0,0,0,0.0740813281102645,0,0,0,0,0,0,0.0790757949011954,0,0,0,0,0,0,0,0,0,0.000666365956293363,0.131405273365089,0,0,0,0,0,0.114970815447996,0,0.175732024060229,0,0,0,0.181739977316406,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0283450506984032,0.061377243193377,0,0,0,0.28489195244495,0,0,0,0,0.076540312720473,0,0,0,0,0.0182191401931288,0.0901225546563912,0,0,0.0563831659642336,0,0,0,0,0,0,0,0,0,0,0.163622811336414,0,0,0,0,0.02830095732923,0,0.00188135842968918,0,0,0,0,0,0,0,0.0553066822113329,0,0.118491145988868,0.033671887900561,0,0,0,0
X600000.CH.EQUITY,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.270739373445556,0,0,0,0,0,0,0,0,0.200446926082079,0,0,0,0,0,0.231676892115524,0,0,0,0,0,0,0.00686631213841164,0,0,0,0,0,0,0,0,0,0.134782363179565,0,0.122425209146575,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.317090296729577,0,0,0.00165601302693046,0.314258972965837,0,0,0,0,0,0,0,0,0,0,0,0.0491979454745899,0,0,0,0,0.0339568272892493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.00701917379728991,0,0,3.46944695195361e-18,0,0.0965592268688477,0.399765070828399,0,0.0834933930926381,0,0.0432859072900361,0.151214804714796,0,0,0,0,0.0858240033806301,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-0.0343351056721022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114870916619803,0,0,0,0,0,0,0.0886822905255775,0,0,0,0,0.258225045372366,0,0,0,-0.01687165486768,0.0286778898267964,0,0,0.150247401335355,0.314946565079053,0,0,0,0,0.102407272000154,0.0313406972244681,0,0.00702055604072728
X000001.CH.EQUITY,0,0,0.35310813037911,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.162897248553165,0,0.124147767996659,0,0,0,0,0,0,0,0,0.0773989655191493,0,0.155493141433694,0,0,0,1.38777878078145e-17,0,0.0217709560654017,0,0,0,0,0,0,0,0.085540764835209,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,-0.0845068033601551,0,0,0,0.111810104978786,0,0,0,0,0,0,0.1086454905065,0,0,0,0,0,0.228516422463792,0,0,0,0,0,0,0,0,0,-0.0406835115549594,0,0.15455326697424,0,0,0.140563496935476,0,0,0.24188362081091,0,0,0,-0.116796465355624,0.136731443888482,0.0911190050773077,0,0,0,0,0,0,0,-0.00261437794239,0
X688.HK.EQUITY,0,0,0,0,0,0,0.0856820373119715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331417392334114,0,0.0425069374701183,0,0.197326815487637,0.00606544648195901,0,0,0,0,0.727621770424806,0,0.146822625317982,0,0,0,0,0,0,0,-0.110740141178003,0,0.0295551465280874,0,0,0,0,0,-0.060844127928484
X600016.CH.EQUITY,0,0.0126157295868281,0,0.103030219020613,0,0,0,0,0,0,0.141386351908824,0,0.254958735874835,0,0,0,0,0.0530481483649216,0,0,0,0,0,0,0,0,0,0,0,0,0.0963836118193345,0,0,0,0,0,0,0,0,0,0,0,0.181354567652287,0,0,0.137106548615484,0,0.0100525621456343,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.776387006326144,0,0,0,0.00398816544143099,0,0,-0.0593073407314849,0,0,0,0.0329087627686633,0,0,0,0.0609548779720089,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205525357394003,0,0,0,0,0,0,0,0,0,0,-0.0514260406147948,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.259984937811716,0,0.0636572238349747,0,0,0,0,0,0,0,0.192871703392569,0,0,0,0,-2.71050543121376e-20,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.248726290625823,0.0240003579296579,0,0,0,0,0,0.0797883968014058,0,0.0659239846509066,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.30888564920184,0,0.105400146157147,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.111996367909941,0,0,0,0.572527246072835,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.108600066576466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121763611598786
X601066.CH.EQUITY,0,0,0,0,0,0,-0.186554654962916,0.0507102438841302,0,0.106550101561591,0,0,0,0,0,0.592023306074242,0,0.250010656969884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251906369682449,0,0,0,0,0,0,0.0116086303895596,0.184160318004323,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0804526337532696
X2388.HK.EQUITY,0,0,-5.42101086242752e-20,0,0.019561085547518,0,0.162698432597731,0.0656494556372353,0,0.0196097695429393,0,0,0,0.288851738177019,0,0,0,0,0,0,0,0,0.267471079331985,0,0,0,0,0,0,0,0,0,0,0,0.117071075593455,0,0,0,0,0,0,0,0,0,0.0112289896186124,0,0,0,0,0,0.10315327345743,-0.028953860137252,0
X601998.CH.EQUITY,0,0.146647534263641,0,0.0273770110157693,0.121573206951971,0,0,0.0149105027010406,0.0683903030036484,0,0.108399003037031,0,0.0723382141095066,0,0,0,0,0,0,0,0,0.0087340333744033,0,0,0,0,0,0,0,0,0.0373143390415365,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,1.38777878078145e-17,0,0,0.419952404692396,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.178842761235461,0,-0.120383609192899,0,0,0,0,0,0,0,0,0.0713019634816447,0,0,0,0.0873620458894797,0,0,0,0,0,0.294868075965773,0,0,0,0,0,0,0.0914123328154168,0.155167598978566,2.71050543121376e-20,0,0,0,0,0,0,0.10633427550501,0,0,0,0,0,0.0307582711726359,0,0
X2007.HK.EQUITY,0,0,0,0,2.77555756156289e-17,0,0,0,0.0970907950644206,0.00688037593077366,0,0,0.169107002908315,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.44432439044122,0,0,0.0416018512983815,0,0,0,0,0.159159082871817,0,0,0,0,0,0,0,0,0,0,0,0.0618967895337145,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.202319293818597,0,0,0,0.0127346989626408,0,0,0,0,-3.46944695195361e-18,0.0949129640332848,0,0.198677781505234,0,0,0,0,0,0,0,0.331682578856426,0,0.00362097157584159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
