,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.222838373433681,0,0,0,0,0.372388444763763,0,0,0,0,0,0.0285588299800941,0,0,0,0,0,0,0,0,0,0,0,0.254582570559828,0,0,0,0.0173533998542401,0.0257139506355098,0,0,0.072957832219384,0,0.0608109152442981,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898791359778506,0,0,0,0
X601318.CH.EQUITY,0,0,0.22462736487698,0,0,0,0,0,0.143542331767812,0,0,0,0,0.127925059555806,0.0946276715216638,0,0,0,0,0.158233866582903,0,0.0833955342444723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05005775817662,0,0.0510342960354225,0,0,0,-0.0493854571770694,0,0,0,0,0,0.00456369563155405,0,-0.19994169950412
X601939.CH.EQUITY,0.285372332774927,0.191997942636764,0,0,0,0,0,0.499594839988921,0.0863417063935977,0,0,0,0,0,0,0,0.0145809962158522,0,0,0,0,0,0,0,0,0,0,0.0635555977367161,0,-0.0184004257467279,0,0,0,0.0457472273178738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182827275307744,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.159633445865451,0,0,0.0704822022937633,-0.112050587395547,0.0360216423093762,-0.097604147382361,0.145377261108088,0,0,0.188113852081798,0,0,0,0.153313777587814,0,0,0,0,0,0,0.383829249121844,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0594148621023555,0,0,0,0,0,0,0,0,0,-0.0274526872598634,0,-0.0239575104256348
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.476661117624363,0,-0.0797989174357401,0,0.0436472095255785,0,0,0,0,0,0,0,0.0402988913731231,-0.00341460572440535,0,0.0584607676194122,0,0,0.173834635881831,0,0.0947480011402147,0,0,0,0,0,0.0997025948325102,0,0,0,0,0,0,0,0,0,0,0,0,0.0261036268453035,0,0,0,0.0773810430628645,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.100167405319191,0,0.223754687809882,0,-0.0297842356358859,-0.0259953622939778,0,0,0,0,0,0,0,0,0,0.19008715198048,0,0,0,0,-0.0012295629075633,0,0,0,0,0,0.145875136327765,0,0.0640609201158297,0,0,0.169552796007302,0,0,6.93889390390723e-18,0.186217947959028,0,0,0,0,0,0.21771762363656,0,-0.0896136185503876,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899257706119037,0,0,0,0,-0.164201870050744,0,0,0,0,0,0,0,-0.0263311980349909,0,0,0,0,0,0.459961636250665,0.0266026779697128,0,0,0,0,-1.73472347597681e-18,0,0,0.0108067498498926,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.525069413476946,0,0,0,-0.00799796201769332,0,0,0,0,0,0,0,0.28694270734516,0.135138325288099,0,0.0434900346070927,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418382243438073,0,0,0,0,0,0,0,0,0,0,-0.0982192121229779,0.0013726895847284,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0209256320716618,0.0846707700534846,0,0,0,0,0,0,1.73472347597681e-18,0.163240301018484,0,0,0,0,0,0,0,0,0,0,0,0.0815555896761949,0,0.100916908221586,0,0,0,0,0,0,0,0,0.10561694815434,0,0.0850730033467714,0,0,0,0,0.376688835476318,0,0,0,0,0,0.0849549736304722,0,0,0,0,-0.0571622472458637,0
X388.HK.EQUITY,0,0,0,-0.211575612817317,0,0.300495920706613,0,0,-0.0209674481884014,0,0,0,0,0,0,0,0,0,0.0814476829922842,0,-0.136225787073511,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513586492454789,0,0,0,0,0,0.046067361099728,0,0,0,0.261549755111833,0,0,0,0.108228811978589,0,0,0.157645563599454,-0.134245037944247,0
