,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.260085675876215,0,0.0525072653129287,0,0,0.285316142692742,0,0,0,0.128910646522283,0,0,0,0.0386686781242608,0,0,0,0,0,0,0,0,0.139469807449887,0,0.0176159489098538,0,0,0,0,0.0240733515461928,0,0,0,0,0,0.123596319391535,0,0,0,0,0,0,0,0,0,0,-0.017039510111235,0,0,0,0
X601318.CH.EQUITY,0,0,0.244244954451554,0,0.0198709976118109,0,0,0,0.0342280624752101,0,0,0,0.0507833551121883,0,0.155165095179376,0,0,0,0,0,0,0.117263139957042,0,0,0,0,0,0.162553440551261,0,0,0,0,0,0,0,0,0,0,0,0.0635644818331498,0.051181901462289,0.0522862699546231,0,0,0,0,0,0,0,0,0,0,-0.065081092195173
X601939.CH.EQUITY,0.501537192613489,0.276055608073108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228116148904162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958990066412467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711684127911138,0,0
X601288.CH.EQUITY,0,0,8.67361737988404e-19,0,0,0,0.0465678756531176,0.495915422386907,0,-0.0676051771853286,0,0.0708799865641332,0,0,0,0,0,0,0,0,0,0.0243834585428782,0.0147261914885802,0,0.127935036872826,0,0,0.113668722947853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796069235175993,0,0.00897674494583315,0,0
X600036.CH.EQUITY,0,0.0622174971576236,0,0,0,0.102013480925356,0,0,0,0,0,-0.0789876909932964,0.137329576235813,0,0,0.232067525529652,0,0.142746256824106,0,0,0,0,4.33680868994202e-19,0.288534834718274,0,0.0907572439913638,0.0359453603679415,8.67361737988404e-19,0,0,0,0,0,0,0,0.0555932170416043,0,0,0,0,0,0,0,0,0,0,0,-0.0201162231887621,0,0,-0.170696984484374,0.0661849648830272,0
X1299.HK.EQUITY,0,0,0,-0.0891218516223648,0,0,0,0,0,0.18097434593957,0,-0.0511162510913914,0,0,0,0,0,0,0,0,0.0468981677600637,0,0.154427540346456,0,0,0,0,0,0,0,0,0,0.105714538912169,0,0,0,0,0.148270253801729,0,0.134908417668803,0,0,0.114546800962112,0.0447466828911078,0,0,0,0,0.20474256451305,0,0,0,0
X601628.CH.EQUITY,0.0363828516176685,0,0,0,-0.000475714496879903,0,0,0,0,0,0,0,-0.0187360457738187,0,-1.73472347597681e-18,-0.27578204845991,0,0,0,0.232986610958433,0,0,0,0,0,0,-0.0664158390663944,0,0,0,0,0,0,0,0,0,0.630541850408943,0.0585674112491452,0,0.018733859565528,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0398750747472305,0.102076076101462,0
X601988.CH.EQUITY,0,0,0.0746524666913834,0.490666383700308,-1.73472347597681e-18,0,0,0,0,0.0749001327007697,0,0,0.117133210051806,0,-0.0108350307697174,0,0.151368781445682,0,0.0164940340360342,0,0,0,0.0545704101378518,0,0.0331729125969977,0,0.0211137525495927,0,0,0,0.0557940546775805,0,0,0,0,0.0305768313778124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.298001961034879,0,0,0,0,0,0,0,-0.0592257723227976,0,0.117439339926968,0,-0.00726344155134731,0,0,0,0,0,-0.200446797428353,0,0,0.138124780310655,0,0,0.243969805556968,0,0,0,0,0,0,0,0,0,0,-0.0625988033592314,0,0,0,0,0.124149782241177,0.00759696164170786,0.157340068531194,0,0,0,0.0534549930637327,0,0,0.0603012299391098,-0.17658429606068,0
X388.HK.EQUITY,0,0,0,0,-0.1610855639101,0.330752141877173,0,0.0334950654288914,0,0,0,-0.0557951454034968,0,0,-0.0367477975425757,0,0,0,0,0.400576047070085,-0.173000553784075,0,0,0,0,0,0,0,0,0,0,0.0791423396563239,-0.132908983945609,0,0,0,0,0,0.120793150647297,0,0,0,0,0,0,0,-0.0308917110420673,0.0493266766514384,0,0,0.178307006925425,-0.0543002468167547,0
