,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.258684545308253,0,0.154911744981778,0,0.128859068597097,0,0,0.276835346071669,0.085837314757037,0,0,0,0,0,0,0,0,0.00623533477266339,0,0,0,-0.112461508616083,0,0,0,0,0,0,0,0,0,0,0,0,0.0321124843394981,0,0,0,0,0,0,0,0,0,0.117830215468758,0.0132292404672751,0,0,0,0,0,0
X601939.CH.EQUITY,0.479941046910953,0,0,0,0,0,-0.0319328839304511,0,0,0,0.169565290393286,0,0.266056513035442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.000426787610943203,-0.014803120318848,0,0
X601318.CH.EQUITY,0,0,0,0,0.0129036645827782,0,0,0,0,0,0,0.188004255764681,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153701400399647,-6.93889390390723e-18,0.0918269288242618,0,0.16553676649287,0.206706889997074,0,0,0,0,0,0
X601288.CH.EQUITY,0.429808156238872,0,0,0,0.343572387102303,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0790510486362611,0,0,0,0.0740763894843344,0.0325039734338929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,-3.46944695195361e-18,0,0.324267220589874,0,0,0,0,0,0,0.256759407541486,0.144398608000759,0,0.0711169310070387,0,0.0106882080324224,0,0,0.1291987202607,0,0,0,0,0,0.0379053096421246,0,-0.021303683105049,0,0,0,0,0,0,0,0,0,0,0,0,0.0410366334313365,0,0,0,0,0,0,0,0.0242478213530578,0,0,-0.0217289166882994,0,0.0107469463517708
X600036.CH.EQUITY,0,0,0.0210302853051232,0,0,0,0,0,0,0,0,0.409099221973553,0,0,0,0,0,0,0,0,0,0,0.052591849550942,0,0.12224713286293,0,0,0,0,0,0,0,0,0,0,0,0,0.0838465304239906,0,0.058348062604756,0,0,0,0,0,0,0,0,0,0.260910072878029,0,0,0
X1299.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0.0835238565259222,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0998919647418337,0,0,0,0,0.088035295664111,0,0,0,0,0,0.177833789753194,0,0,0.0875500427035134,0,0.207098677509334,0,0,0,0,0,0,0,0,0,0.0100538889844932,0,0,0,0.162050286827792,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115577550186031,0,0.0934607867063746,0,0,-0.395209828601838,0,0,0,1.01753548359702,-0.753566518883313,3.46944695195361e-18,0,0.578991279242705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372415951114094,0,0,0,0,0,0,0,0,0,0.0708456876112744,-0.116017566034622,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0853485873299969,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.250547727023927,0,0,0,0.34819749306441,0,0,0.0648822902294456,0,0,0,0,0,0,0.00769726336131835,0,0,0,0,0,0,0,0.0144846940774381,0,0,0,0,0,0,0.072246919343664,0,0
X601658.CH.Equity,0,0,0,0.216600166388712,0,0,0,0.0455566917317868,0,0,0,0,0,0,-0.0826354312689823,-0.19909164459072,0,0,0,0,0,0,0,0,0,0,0,0,0.836818176926649,-0.143223385830344,0,0,-0.184520759394827,0,0,0,0,0,0,0,-0.188792613919151,0,0,0,0,1.00926364411811,0,0,0,-0.130745455171625,0,0,0.200853648421422
