,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.53275898313906,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213557840374083,0,0,0,0,0,0,0,0,0,0.401252446268628,0,0,0.120926076888906,0,0,0,0,0,-0.148135089710701,0,0,0,0,0,0,0,0,0,0,0,0.0668117143845563,-0.102880309372328,0,0,-0.0242244539471804
X601939.CH.EQUITY,0.0809636933659031,0,0,0.351467858458661,0,0,0,0,0,0,0,0,0,0.172853421522313,-0.100769501013742,0,0,0,0,0,0,0,0,0,-0.03788371981839,0.30985643511862,0,0,0,2.77555756156289e-17,-0.0735261160917699,0,0,0,0,0,0,0,-0.0458835557778649,0,0,-0.0293702455566349,0,0,0,-0.0747604853963288,0,0.109362076520277,0,0.124953609046184,0,0
X601318.CH.EQUITY,0,0,0,0,0.25914689148239,0.0950051527015485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445421035505819,0,0,0,0.13569267706499,0,0,0,0,0,0,0,0,0,0,0.171536226734397,0,0,0,0,0.0844966369144713,0,0.019542846659673,0,0,0,0,0,0,0,0.021092741103086,0,-0.0263669637838997
X601288.CH.EQUITY,0,0.654512155028367,0,0,0,0,0,0,0,0,0,0,0.102186511458152,0,0,0,0,0,0,0,0.148517116256698,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0238605954509097,0,0,0.0268634384716277,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.148001133467375,0,0.362719094887984,0,0,0,0,0,0.253909531771027,0,0,0,0,0,0.220016033876602,0,0,0.0636218485519047,0,0,0,0,0,0.166471738307382,0,0,0.0799995641204449,0,0,0,0,0,0,0,0,0,0,-0.579991584463699,0,0,0.0489407833182074,0,0,0,0,0,0.0134174584437152,0,0,0,0
X600036.CH.EQUITY,0,0.176857704174106,0,0,0,0,0,0,0.0325719907576399,0,0,0,0.0413853642660293,0,0,0,0,0,0.110954236929204,0,0,0,0,0.24292572293152,0,0,0,0,0,0,0,0,0,0.362874336368447,0,0,0,0,0,0,0.0763671044075142,0,0,0,0,0,0.0928416895082316,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0655272059564075,0,0,0.0677030689973167,0,0,0.382217657317384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233618124116073,0,0,0,0,0.281926139429914,0,0,0.0316822290697126,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583807056289948,0,0,0,-0.191579898116535,0,0,-0.474253774897458,0.747697598886378,0,0,0.0791374079637533,0.510604836689535,0,0,0.0582813091397582,0,0,0,0,0,0,0,0.086509522522476,0,0,0,0,0,0,0,0,0,0.189617171558803,0.113932607681645,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.187047792477259,0,0,0,0,0,-0.161964442810603,0,0,0,0,0.109605959497654,0,0,0,0,0.10016537450109,0,0,0,0,0,0,0.112860758197695,0,0,0,-0.0790912335966538,0.0754189452688018,0,0,0,0,0,0,0.165571293497921,0,0,0,0,0,0,0.0368056715889587,0,0,0.110668746674707,0
X601658.CH.Equity,0,0.148323033079947,0,0,0.00986459315854443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388294877676259,0,0,0,0,0.0131927762397291,0,0,0,0,0,0,0,0,0,0,0,0.188605852484343,0,0.11302502334354,0,0,0,0,0,0,0,0,0,0,0,0,0
