,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600999.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.216795156182732,0.0229862610908498,0,0,0.401121009633438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197238398923102,0,0.0560604907233935,0,0,0.0445155459135124,0,0,0.0640905683739188,0.0251562076059001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0838721432009897,0.0497419908000932,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0518176710559677,0,0,0.234020485313161,0,0,0,0.263189747203577,0,0,0.0479434912431025,0.026417845488417,0,0,0.193886483476636,0,0.0230093014645107,0,0,0,0,0.0413094059832448,0,0,0,0,0.093468488967921,0,0,0,0,0.200693023937146,0.0146366921159607,0,0,0,0,0,-0.0529311908294492,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,-0.00870765467018783,0,0.163521455155111,0,0,0,0,0,0,0.111183296960755,0,0.069936875509586,0,0,0,0,0,0,0,0,0,0.0743430374095867,0.182848444045395,0,0,0.0745108888934241,0,0,0,0,0,0,0,0,-0.12781947805691,0,0,0,0,-0.0808244486093869,0,0,0,0,0,0,0.23400863502753,-0.0330595672180234,-0.0624690331346003
X601939.CH.EQUITY,0.623267949377088,0.0188833370611663,0,0,0,0,0,0,0.104845397329852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184374819713777,0,0,0,0,0,0,0,0,0.148483125489491,0,0,0,0,0,0,0,0,0,0,0,0.129079303470989,0,0
X601288.CH.EQUITY,0,0,0,0.0800134809730711,0,0,0,0.404894704964212,0,0,0.0495793576120125,-4.33680868994202e-19,0.0193018163877417,0,0,0,0,0,0.0735473885386961,0,0,0,0.0262603441160116,0,0.168536206280532,0,0,0,0.0357296235420402,0,0,0,0.176028984558919,0,0,-0.0120287012892301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0104204179800873,0.107643040576409,0.244744525100469,0,8.67361737988404e-19,0,0,0,0.145150165984019,0,0,0,-0.195150313521539,0.0468498326897789,0,0,0,0,0,0,0.000258611993221029,0,0.0857532488445374,0.0608911741104047,0,0.0107205864140926,0,0,0,0,0.0778838519034186,0,0,0.148048320511654,0,0.161998608035907,0,0,0,0,0.290825105812837,0,0,0,-0.0570388255381432
X601628.CH.EQUITY,0,0,-0.141296844731956,0,0,0,0,0,0,0.0958607234655857,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0492788238186418,0.0977896573945188,0,0,0,-0.0421982737384222,0,-0.0823695609979341,0,0,0.368278443654649,0,0,-0.000527718780289725,0.3667052681137,0,0,0,0,0.0456852440458223,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.145380890345909,0,0,0,0.415459151098322,0,0,0,-0.0151522950259614,0,0,0.0417384471501466,-0.0936620681234511,0,0,0,0,0.167914085357907,0,0.0586156587464998,0,0,0,0,0.0948496970580466,0,0,0,0,0,0,0,-0.187883549206166,0,0,0,0,0,0,0,0.0388580917352088,0,0,0,0,0,0,0,0.0785758253637695,0,0,0
X5.HK.EQUITY,0,0.193218573914478,0,0.0843433888083711,0,0,0,0,0,-0.145696592012226,0.0281225683104422,0.054230115641095,0,0,0,0,0,0,0,0,0,0,0,0.166211038520438,0,0,0,0.142218381171359,0,0,0,0,0,0,0,0,0,0.28297425374717,0,0,0,0.0603601397267723,0,0,0,0,0.0199901361622854,0,0,0,0,-0.0688376161998704
X388.HK.EQUITY,0,0,0,0,0,0.071250514465935,0,0,0,0,0,0,0,0,-0.0424957321998641,-0.0995599260951124,0.353649167792248,0,0,0,0,0,0,-0.0504457471131187,0,0,0,0,0,0,0,0,-0.198248238482732,-0.0647843696280912,0,-0.164104722239142,0,0,0.167931879764392,0,0,0,0.0547723771518467,0,0.0682973300059872,0,0.13494460378554,0,0,0,-3.46944695195361e-18,-0.515498986347657
