,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186549574096541,0,0,0,0,0.500856376220031,0,0,0,0,0,0,0,0,0,0,0,-0.157087606188047,0,0,0.498846366023527,0,0,0,0,0,0,0,0,-0.0163953719144473,0.0994543118798055,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.037348523777062,0,0,0,0,0,0,0,0.0554720366901264,0.324326774787204,0.0853009251840128,0,0,0,0,0,0,0.102932122510339,0,0,0,0,-0.0156212768549748,0,0,0,0,0.1691210895219,0,0,0,0.105544194054879,0.117761089443613,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.608019040406657,0,0,0,0,0,0,0,0,0.0228278894663634,0,0,0,0,-0.0148919271881739,0,0,-0.0888826457278823,0,0,0.191992763248514,0,0.0789140829285251,0,0,0,-0.555890307705249,0,0,0,0,0,0,0,-0.155917300819138,0,0,0,0,0,0,0.555424417400727,0,-0.0451882056748311,0,0,0.131617171062304,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0574973504809487,0,-0.0553363516197133,0,0.118425096966018,0,0.323308629897459,0,0,0,-0.0169005430283624,0.332794415265541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0730246753890238,0,0,0,0.149764985903377,0.33963588848663,0,0,0,0.0291841041092629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177535657139615,0,0,0,0,0,0,0,0,0,0.129374182686329,0,0.284229514335826,0,0,0,0,0,0,-0.0939670603505166,0,0.0595274193763254,0,0
X601988.CH.EQUITY,0,0,0,0,0.352083283406318,0,0,0,0,0,0.0936939242270318,0,0,0,0,0.114980683091457,0.0344970274296129,0,0,-0.0718674152659261,-0.0695122700360246,0,0,0,0.254794557446627,0,0,0,0,0,-0.253443957169956,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0408529466123319,0,0,0,0,0,0,0,0.0871071876213486,0
X1299.HK.EQUITY,0,0,0,0,0.179159841495913,0,0,0,0,0,0,0,0,0,0,0,0.169106847692173,0,0,0,0,0,0,0,0,0.0492722849494769,0,0,-0.00655898912611645,0.105968425560108,0.0436915814263476,0,0.0229308360472705,0,0,0,0,0.549765521590745,0,0,0,0,-0.0426998846331433,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.552177962896614,0,0.270015076023901,0.148661259792005,0,0.0261826756771202,0,0,0.0302558802847663,0,0.072407580277255,0,0,0,0,0,0,0,0.0490035604422879,0,0,0,0,-0.0572990081196903,0,0,0,0,0,0,0,-0.0987025353042921,0.155342593322475,0.298593723381473,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0473142081204204,0,0.0232308465271585,0,0,0,0,0,0,0,0,0,0,-0.0892127899760968,0,0,0.225348627740243,0,0,0,0,0,0,0,0,0,0.0478021681402451,0,0,0,0,0,0,0.0888423121878482,0.345858069163143,0,0,0,0,0.221165809675668,0,0.102375799233314,0.0714935687411006,0,0,-0.0343832260150826,0,0,0,0
X601328.CH.EQUITY,0,0,0.0143935930578956,0,0,0,0,0.704033193099371,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.126843884957425,0,0,0,0,0,0,0.0390345746187337,0,0,0,0,0,0,0,0,0,-0.0161749571868144,0,0,0,0,0,0,0,0,0,-0.170036851272086,0,0,0.0443771996939874,0
