,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.33202344021966,0.0168290251613488,0.33715514833701,0,0.0280732612717488,0,0,0,0,0.0406995863668479,0,0,0,0,0,0,0,0,0,0,0,0,-0.0631312351767813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303383305683689,0,0.110341917762124,0,0.0300822110781739,-0.0931744555938051
X601939.CH.EQUITY,0.460284300640753,0,0,0.152924407348853,0,0,-0.160601967510146,0,0,0,0,0,0.18895000268182,0,-0.0607793594838639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.256016541158797,0,0,-0.0800017460747498,0
X601318.CH.EQUITY,0,0,0,0,0.22293029084622,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.047251481686904,0,0,0,0,0,0,0.196567441164418,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.239102325383929,0,0,0,0,0.212081920345115,0,0,0,0,0,0,0.0760830145673651,0,0
X601288.CH.EQUITY,0.500896002302569,0,0,0,0.198562051593327,0,0,0,0,0,0,0,0.074582833714906,0,0,0,0,0,0,0.0128209460455902,0.116966681965323,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502065749521298,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.505434000499615,0,0,0,0,0,0.216132360722167,0,0,0,0,0,0.327549089913826,0,0.07604351093469,0,0,0.017393628422455,0,0,0,0,0,0.021549748516767,0,0,0,0,0,0,0,0,0,-0.567356833687143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.300686705191929,0,0,0,0,0,0.0724604689350727,0,0,0,0,0,0.00853626591015676,0,0,0,0,0,0.0441994807917676,0.186446478193822,0,0.0788253616536151,0,0,0,0,0.00294248937629493,0,0,0,0.180418140618874,0,0,0,0,0.111096686992425,0,0.0165711700927363,0,0,0
X1299.HK.EQUITY,0.0764873818433758,0,0,0,0,0,0,0,0.135199261814746,0,0,0,0.101687490928248,0,0,0,0,0,0,0,0,0,0.0102385404835042,0,0,0,0,0.226862708323725,0,0,0,0,0,0,0,0.176028801993552,0,0,0,0,0,0,0.071488677180296,0,0,0,0.107194511954291,0,0,0,0,0
X5.HK.EQUITY,0,-0.0543462293462013,0,-0.124687635369923,0,0,0,0,0,0,0,0,0,0,-0.00835969860195428,0,0,0,0,0,0,0,-0.593871248632855,1.03799788866954,0,0,0,0,0.491187613264282,0,0,0,0,0,0,0,0,0,0.421928016869037,0,0,0,0,-0.103966895240482,0,0,0,0,0,0,0,-0.0731185392303806
X601628.CH.EQUITY,0.0163364967306693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943467590773402,0,0,0.0771430949513833,0.107882874784586,0,0,0.0667221294725649,0,0,0.235915721845744,0,0,0,0,0,0,0,0,0,0.00792745120368178,0,0,0,0,0.128828937519211,0,0,0,0,0.149504257208386,-3.46944695195361e-18,0,0.0529372942421733,0
X601658.CH.Equity,0,0,0,0.0690366685390676,0.0713156128302961,0,0,0,0,0,0,0,0.254135736614202,-0.0390109095366036,0,0,0,0,0,0,0.0156521665923251,0,0,0,0,0,0.210737722362971,0.121744733262695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361967899750069,0,0,0,0
X601328.CH.EQUITY,0.122735103990401,0,0,0.299499663340502,0,0,0,-0.0956701068955927,0,0,0,0,0,0.160264535639209,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29242841324478,0,0,0,0.169063269828107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688764103757559,0,0,0
