,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.113012314241811,0,0.0508548165762062,0,0,0,-0.0756047161536175,0,0,0,0.495995491387812,0,0,0,-0.0722088615729409,0,0,0,0,0,0,0,0,0,0,0,0,0.0561522072144965,0,0,0,0,0,0,0,0.0887800115376841,0,0,0,0,0,0.216246775808727,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0577251556120932,0,0.127409829464888,0,0,0.122796362508386,0,0.100651408183764,1.38777878078145e-17,0,-0.101425987008296,0.111035935372724,0,0,0,0,0,0,-0.0703556059820387,0,0,0,0,0,0,0,0,0,0,0,0,0.163229972852378,0,0,0,0,-0.222106037339689,0,0.315845447398587,0.175011610483557,0.1716482386224,0,0,0,0,0,0.228623080872824,0,0
X601939.CH.EQUITY,0.337116704935906,0,0,0.288730707800034,0,0.096979853967309,0,-0.0381366906733974,0,0,0,0,0,0,0.140824515221895,0.0375664966065753,0,0,0,0,0,0,0,0.0696576797462139,0,-0.0741580163633101,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0981945130699425,0,0,0.320403139753266,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0
X601288.CH.EQUITY,0.419579246322639,0,0.104803259641335,0,0,0.208608647318629,0,0,0.0737525981872276,0,0,0,0,0,0,-0.0471633748550495,0.0574070015564966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159904566119535,0,0,1.73472347597681e-18,0,0,0,0,0,0.176790596728652,0,0,0
X5.HK.EQUITY,0,0,0,0.250747245760589,0,0.109640526358261,0,-0.334993194275924,0,0,0,0,0.0549170870524512,0,0,0,0,0,0,0,0.471333330376471,0,0,0,0,0.399191323386888,0,0,0,0,0,0,0,0.0353769731447543,0,0,0,0,0,0,0,0,0,0,0,0,0.203951877486753,0,-0.106656247156022,0,0,0
X601988.CH.EQUITY,0.16452457059404,0,0.258546222569241,0.0372903608205966,0,0,0,0,0.11184471673789,0,0.125783625388604,0,0,-0.222784557397679,0,0,0,0,0,0,0,0,0.0482848927107594,0.197329182580758,0,0,0,0.0316308864417539,0,0,-0.0513343507450029,0,0,0,-8.67361737988404e-19,0,0.0325896578604472,0,0,0,0,0,0,0.114891895978949,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.144006225221488,0,0,0,0,0.162415887465082,0,0.33842342537755,0.100882536515768,0,0,0,0,0.142801112499154,0,0,0,0,0,0,0,0,0,0,0.0976445227602163,0,0,0.0311926076577909,0,0,0,0.0897667233095162,0,0.0108819684334305,0,0,0,0,0,0,0.00945335317142523,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0276533742964334,0,0,0,0.20147386257038,0,0,0,-0.155085311989757,0,0,0,0,0.292956197039322,0.289720256472363,-0.0622555923500809,0.00908471476704713,0,0,0,0,0.123797368675141,0,0,0.0860125297113883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830999742855845,0,0,0,0,0
X601628.CH.EQUITY,0.269555704522704,0.205446702554683,0,0,0,0,0,0,0,0.0514309602830287,0,0,0,0,0,0.0171927721149991,0,0.088990226233832,0,0,-0.10094244723495,0,0,0,0,0,0,0.15553173530309,0.0687971709502812,0,-0.255062342017367,0,0,0,0,0,-0.182680931612011,0,0,0,0,0,0.133582363842927,0,0,-0.0237679583611116,0.0575996786562881,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0528948886896013,0,0.077397266905276,0,0,0,0,0,0,-0.190250983778935,0,0.0420596712282498,0,0,0,0,0,0,0,0,0,0,0,0,0.118830898718687,0,0,0,0,0,0,0.0611130224532293,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517734860225432,0
