,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0832116619457397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415771565928681,0,0,0,0,0,0,0,0.0313213893029473,0,0,0,-0.0579355721372512,0.0908378878884125,0,0,0,0.138078673530377,0,0,0.27606257162497,0,-0.0466565505444333,0,0,0,0
X1109.HK.EQUITY,0.229725854781784,0,0,0,0,0.133558885126893,0,0.184754697462038,0.0801010533219759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0660668225630747,0,0,0,0,0,0,0,0,0.108112424732176,0,0,0,0,3.46944695195361e-18,0,0,-2.16840434497101e-19,0.255053352053135,0,0,0.113756987833105,0,0,0,-0.127171824643948,0,0
X600016.CH.EQUITY,0,0,0,0.0520594944823294,0,0,0,0,-0.0356402740373739,0,0,0,0,0.0732663238607501,0,0.113932458963897,0,0,0,0,0,0,0,0,0,0,0.0461844520482507,0.0489880637412605,0,0,0.0275233464331239,0.215274532548537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153105995400957,0.054428882468812,0,0,0,0,0
X601998.CH.EQUITY,0.2279311309829,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0857578642883241,0,0,0,0,0,0,0.0225976652000999,0,0.0103888169990004,0.00359869011716438,0,0,0,0,0,0,0,0,0.00705063318711441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202499398693588,0,0.536316554287112,0,-0.0860084611221391,-0.0279763184049666
X300059.CH.EQUITY,0,0,0,0.00461071613976448,0,0,0,0,0,0.282016641759791,0,0,0,0,0,0,0,0,0,0,0,-0.0809694937714174,0,0,0,0,0,0,0,0,-0.0528018674942756,0,0.317378791355679,0,0.0382639189321555,0.0573369927507828,0,0.0203824587266106,0,0,0,0.119774616449445,0,0.00456814129953354,0,0,0.00798629324506186,0.212094896519095,0.041631020578019,0,-0.0553475222987823,0
X688.HK.EQUITY,0.291858217076635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363103631601235,0,0,0,0,0,0,0.0138529940534599,0.058814760411484,0,0.280046780744411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0
X2388.HK.EQUITY,0,0,0,0,1.73472347597681e-18,0,0.000667061396092914,0,0,0,0,0,-0.240769369341053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460979515816726,0,0,0,0,0.0918795934370783,0,0,0,0,0.0115738749333027,0,-0.160704429379458,0,0,0,0.243580580811229,0.304527378953683,0,0,0,0,-0.117546654212962,0
X002142.CH.EQUITY,0,0,0,0,0,0.257076331255608,0,-0.277780289280626,0,0,0,0,0,0,0,0,0,0.238247560500885,0,0,0,0,0.0819960234799484,0,0,0,0,0,0,0.321537316614661,0,0,0,0,0,0,0,0.237337484253704,0,0,0.157517194603285,-0.128586280692758,0,0,0,0,0,0,0,0.102494035514102,0.0658395540511105,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.095599559693578,0.49752652346455,0,0,0.0900355025767388,0,0,0,0,0,0,0.0722096379739676,0.0393942249460793,0.0291162761555327,0.0144117193849905,0,-0.187724698105351,0,0.107239493813334,0.157641496477263,0,0,0,0,0,0,0,0,0,0,0,0.00388879570943445,0,0,0,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0374909593309884,0,0,0,0.606782285223158,0,0,0,0,0,0,0,0,0,0,0,0.0645597590586135,0.102719052506884,0,0,0.0892193007434791,0,0,0,0,0,0,0,0,0,0.142144363725673,0,0,0,0,0,0,0,0,0,-0.135666647025194,0
