,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.114377449932414,0,0,-0.0219744516540101,-0.0969623028528375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183531873958941,0,-0.00881303614622563,0,0,0,-0.378384187121452,0,0,0,0,0,0.850601861698674,0.320366035491089,-0.20490707552043,0,0,3.46944695195361e-18,0,-0.0304395358605398,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.231558410187785,0,0.165715102135013,0.0179423604231615,0,-0.0198384788517954,0,0,0.00985650558023116,0,0,0,0,0,0,0.0509063355086294,0,0,0.139815200637416,0,0,0,0.0215260829588412,0.0434331221492275,0,0.0297950606419035,0,0,0,0,0,0.258741322062385,0,0,0,0,0.0830321382177034,0,0.051709082275949,0,0,0,-0.0459718224463111,0,0
X601939.CH.EQUITY,0.373088637026085,0,0,0,0,0.0484474749823852,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0.291560263298897,0,0,0,0,0,0,0,0,0,0,0.00456923488944562,0.0695539663942188,0,0,0,-0.214874775088563,-0.171286565853195,0,0,0,0.470762516261793,0,0,0,-0.0315873551903288,0.0901836283411625,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,6.93889390390723e-18,-0.038893081466896,-0.28715262544218,0.187165617918046,0,0.432942928746416,0,0,0,0.154349161461001,0.103600753349727,-0.10291250317271,0,0,0,-0.030945315545284,0,0,0,0,0,0,0,0,0,-0.737383391332416,0,0,0,0,0,0,0,0,0,0.262632733976958,0,0,0,0,0,0,0.24112764057002,0,0,-0.114672661168555
X5.HK.EQUITY,-0.123594168155331,-0.0777173089134415,0,0,0,0,0,0.138418360946236,0,0,0,0,0,0,0.42414766485867,0,0,0,0,0.193486248918866,0.173352618374184,0,0.318876713287289,0,0,0,0.0187665754413801,0,0,0,0,-0.122447604332741,0,0,0,0,0,0,0,0,0,-0.171626221720852,0.206506571547779,0,0,0,0,-0.0899024165019064,0,0,0
X601988.CH.EQUITY,0,0,0.0737278521914139,0.185911938634708,0.0891304352077331,0,0,0,0,0,0.272361371536305,0,0,0,0,0,0.0246762869737435,0.10151594686991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0969800331783026,0,0.0911986984698456,0,0,0,0,0.0922672022475192,0.289645542212375,0,0,0,0,0,-0.0168362780623125
X600036.CH.EQUITY,0,0.514354603646538,-0.0169060305486784,0,0,0,0,0,-0.143404874970706,0.0541581666009012,0,0.53444475657466,0,0,0,0,0,0,0,0,0.28473462355953,-0.153834351260476,0,0,-0.0732207469184931,0,0,0.0997873545230646,0,0,0,0.203480228603504,0,0,0,-0.0829299893484985,0,0,0,0,0,0,0.123285120656591,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.095715133508709,2.16840434497101e-19,0,0.0694710153698451,0,0,0,0.0811208704350303,0,0,0,0,0.0280509113326762,0,0.159391750501521,0,0,0,0,0,0,0,0,0,0.113323547031581,0,0,0,0.0250340741803606,0,0,0.222821283793993,0,0,0,0,0,0,-0.050276657294802,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.126041963887984,0.00824859540849316,0.0407333540172331,0,0,0,0,0,0,0.109086998109999,0,0,0.273141785077617,0,0,0,0,0,0,0,0.0533830233771987,0,0,0.0474326376282024,0,0,0,0,0,0,-0.0502526540647708,0,0,0,0.182778618580818,0,0.101785365449663,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0570609402180283,0.0363703161220846,0,0,0.5936379825208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260835201326122,0,0,0,0,0.173298317482373,0.128163505943685,0,0,0,0,0,0,0,0,0,-0.0172885081017987,0,0,-0.128194750764226,0,-0.0454653912535464,0,0.0731999270669554,0,-0.22701280336333,-0.0201501899365838,0,0,0,0
