,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.032855342163979,0.477121890810617,0.0149345591179416,0,0,0.090673271122752,0,0,0.0828958762607304,0.0675391914425229,0,0,0.174550741849628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029292113484896,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.10205704016725,0.276404900783637,0,0,0,0,0,0,8.67361737988404e-19,0,0.333943584899782,0.0887338639383231,0,0.0795387155511229,0,0,0,0.0632030771340519,0,0,0,0,-0.035360546808835,0,0,0,0,0,0,0.0206449342964838,0,0,0.0499411941366387,0,0.000427957758132997,0,0,0,0,0,0.000936048617028537,0,0,0
X601939.CH.EQUITY,0.162816422410529,0,0,0.486800402570819,0.0638518169862645,0.093489602776048,0,0,0,0.0575020011499847,0,0,0,-0.0318887028817005,0,0,0,-0.0203503442201419,0,0,0,0,0,0,0,0,0,0.181124066089794,0,-0.00464817598010278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027136526692325,0,0
X601288.CH.EQUITY,0,0,0.212343961839355,0,0,0,0,0,0.0119653728241762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273363445216113,0,0.195470410504733,0,0,0,0.0476134752583424,0,0,0,0,0,0,0,0,0,0,0.0983414222792591,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0307193682777047,0,0,0.197210944932188,0,0.223572838816107,0,0,0,0,0.165113122248662,0,0,0,0,0,0.171260738944466,0,-0.238181655369725,0,0,0,0.0463368978668424,0,0,0,-0.0874695702890052,0,0,0,0,0,0.183419972967,0,0,0,0,0.152267502885791,0,0,0,0,0,0,0,0,0.146123677677996,0,0
X601988.CH.EQUITY,0,0,0,0,0.263389368003736,0,0,0,0.104225545339421,0,0,0,0,0,0,0.00605675344823959,0.10070187835457,0,0,0,0,0,0,0,0,0.0851205394965009,0,0,0,-0.188572861873317,0,0.0801476858765086,0,0,0,0,0,0,0,0,0,0.0927214068484656,0,0,0,0,0,0,0,0.152059171633766,0
X600036.CH.EQUITY,0,0,0,0,-0.0228458295788462,0,0,0,0,0,0,0.157550582011404,0,-0.0670037851580206,-0.0147985739412437,-0.0191756400137033,0.0907617551487327,0.014680560366521,-0.0959409922606459,0,0,0,0,0,-0.0332806732409724,0.598140518605054,0,0.0703984197831311,0,0,0.116686751838489,0,0,0,0,0,0,0,0,0,0,0,0.214151464773421,0,0.0350557695750812,0,0,0,0.0777517831447835,0,0
X1299.HK.EQUITY,0,0,0,0,0.274200847156983,0,0,0,0,0,0,0,0,0.049827082028057,0,0,0.0874554985792765,0,0,0,0,0,0,0,0,0,0.0745794941520819,0,0.22916529274449,0,0.000353138982773956,0.260145274891072,0,0,0.0111626211577859,0,0,0,0,0,0,0,0,0,-0.0723026012086061,0.0191157847224627,0,0,0,0,0
X601628.CH.EQUITY,0,0.16783124253096,0,0.0165113675082924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110763672596682,0,0,0,0,0,0,0,0.139710472398207,0,0,0,0,0,0,0,0,0,0,0,0.394344815181182,0,0,0.17338316186127,0,0.0210371894153554,0,0.0394826490795243,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.391965880458064,0,0,0,0,0,0,0,0,0,0.400684199444213,0,0,0,0,0,0,0,0.00892740565485174,0.0570839104244225,0.0848988981164856,0,0,0,0,0,0,0,-0.0114725138728003,0,0,0.0256070160526026,0,0,0,0,0,0.104005397528954,0,-0.0139650796319623,0.227257106759788,0,0,0,0,0,0.0693191680275905,0,0
