,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.166608935153377,0,0.0783664400271304,0,0,0,-0.0883148066951564,0,0,0,0.495194866391815,0,0,0,-0.0704167660365171,0,0,0,0,0,0,0,0,0,0,0,0,0.0721996562648507,0.00513018374960685,0,0,0,0,0,0,-0.048878623369815,0,0.119237052092694,0,0,0,0,0.168369785400391,0,2.16840434497101e-19,0,0.0222370758165807,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.135906882812954,0,0,0.11049434309816,0,0.17912115679454,0,0,-0.0751814077910977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125517181999792,0,0,0,0,-0.218526956701082,0.261600456257564,0,0.0739126394152303,0.129051527236037,0,0,0,0,0,0.208454998081984,0,0
X601939.CH.EQUITY,0.168888133298501,-0.00123644794915475,0,0.296578771221144,0,0.113148037862476,0,-0.0730776866219061,0,0,0,0,0,0,0.0717315118827135,0,0,-0.0188214744107344,0,0,0,0.103164598279944,0,0,0,-0.0686732743579898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486976411082578,0,-0.031141789381992,-3.46944695195361e-18,0,0,0,0,0,0,0.0205225820191301,-0.0342399771884789,0
X601288.CH.EQUITY,0.382013438742057,0,0.159964308204938,0,0,0.188532088386191,0,0,0.0858249415679553,0,0,0,0,0,0,-0.068910512508474,0.0560696069204106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.000574740143496089,0,0,0,0,0.126986416973099,0,0,0,0,0,0,0,0,0.213609887133925,0,0,0
X5.HK.EQUITY,0,-0.124781068039544,0.0277169680529808,0.285658908011899,0,0,0,-0.24803455192328,0,0,0,0,0.146139765781477,0,0,0,0,0,0,0,0.539820023619612,0,0,0,0,0.302197574287342,-0.0109834849820323,0,0,0,0,0,0,0.0223824778543311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200676613661934,-0.0718059998136289,0,0,0
X601988.CH.EQUITY,0.144759901734606,0,0.125021805585434,0.152598290849385,0,0,0,0,0.109440518864366,0,0.10337344588171,0,0,-0.260275843718185,0,0,0,0,0,0,0,0,0.069254072408995,0,0.248750941563313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116504644823491,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0874795809882454,0,0,0,0,0.0156375745577717,0,0.289929531402946,0.212417094350232,0,0,0,0.0351844772726565,0.0799422719666634,0,0.0033300692366672,0,0,0,0,0,0,0,0,0.0711787036910823,0,0,0.0421915908416302,0,0,0.0176602081348534,0,0,0,0,0,0,0,0,0.108322647816269,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0341786500695354,0.0696106258666905,0,0,0,0.140513019404829,0,0,0,-0.146561490613601,0,0,0,0.376509619595408,0,0.254057958386268,0,0.0430251382852468,0,0,0,0.104996606301524,0,0,0,-0.00406992586662824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.212075191283246,0.258021736995775,0,0,0.0292174599586553,0,0,0,0,0,0,0,0,0,0,0.0649338857355376,0,0,0,0.0134983067441091,0,0,0,0,0,0,0.115569067319065,0,0,-0.0162027670590017,0.0530291794668882,0,0,0,0,0,0,0,-0.404841121336059,0,0,0,0,0.133517227355851,0,0,0,0.273544416249968,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504646188976607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
