,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X16.HK.EQUITY,0,0,0,0.296440384867922,0,0,0,0,0,-0.0857076685353351,-0.0320940372439578,0,0,0,0,0,0,0.0649775147287358,0,0,0,0,0,0,0,0.332914945956958,0.0301171311681892,0,0,0,0,0.169698671617932,0,0.234477659689215,-0.0541284924782641,0,0,0,0,0,0,0.0659148546364567,0.0229009611578708,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0.201677827909178,0,-0.242425579894586,0,0,0.0311284714727313,0,0,0,0,0.327603364533554,0,0,0.387708611043437,0,0,0.102464059896339,0,0,0,0,0,0,0.0125833293753826,0,0,0,0.0325657272267137,0,0,0,0,0,0,-0.286146985028668,0,0,0,0.435793236618904,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719351715142717,0.0336866913546725,0,-0.215875545355968,0,0,0,0,0,0,0,0,0,0.0108205398664563,0,0,0,0,0,0,0,-0.0949187187854726,0.276629613274943,0,0,0,0,0.261719994762575,0,0,0.069488278262868,0,0,0,0,0,0.216433621407059,0,0
X388.HK.EQUITY,0,0,0.10151491999574,0.21676286268905,0,0,0,0.256859835259559,0,0,0,0,0,0,0,0.0318919854965332,0,0.0815303785723682,0,0,0,0.0307931066134171,0,0,0,0,0,0.23061854759891,0,0,0,0,0,0,0,0.00207163171635529,0,0,0,0,0,0,0,0,0,0,0,0.0304017200730562,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072652110831958,0,0,0,0,0,-0.0278441056276153,0,0,0,0.000945953410932,0.0419649450216608,0,0,0,0.160338224853439,0,0,0,0,0.0503845473196204,0,0,0,0,0.0659538305353802,0,0,0.275510772229658,0,0
X11.HK.EQUITY,0,0,0,0,0.147806966368081,0,0,0,0,0,0,0,0,0,0,0,0,0.0581973298202068,0,0,0,0,0,0,0,0.474469255284513,-0.0746969374529335,0,0,0,-0.0974705319216298,0,0.290358556039918,0,0,0,0,0.171604457412495,0,-0.0432688831348199,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.119470068413462,0.132510156905566,0,0,0,0,-0.0422080935377985,0,0,0,0,0,0,0.228563579458081,0,0,0,0,0,0,0,0,0,0,0.161371949992236,0,-0.0991789757349976,0,0,0.0604293867781492,0,0,0,0,0.245588475210744,0,0,0,0,0,0.0279825984253712
X267.HK.EQUITY,0.215666987047666,0,0,0,0,0,0,0,0.0116438338065603,0,0,0,0,0,0,0,0,0.0658730970405587,0,0,0,0.565770049189503,0,0,0,2.77555756156289e-17,0,0.240479011990092,0.055339680888554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112359395857511,0
X600016.CH.EQUITY,0,0.00819975413751554,0,0,0,0,0,0,0,0.0642716738185462,0,0.356957954555148,0.169605980293992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012522558852015,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.186584817214239,0.153275565174871,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.0333455161940551,0.306566623640041,0,0,0.23553352202215,0,0,0,0,0,0,0,0,0.00607725436835218,0.0600884167958053,0,0,-0.000713950769658506,0.223342656366695,0,0,0,0,0,0,0,0,0,0.142951610693388,0,0,-0.104314696469401,0,0,0,0,0,0,0.106207496840179,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,-0.122737853667942,0,0,0,0,0,0.0060525228710624,0,0,-0.193716193070651,0.0728945437516009,0,0,0,0.122476139202434,0.0677601248217541,0,0.0250064578399657,0,0,0,0,0,0,0,0,0,0.563039613095977,0,0,0.00785650246406645,0,-0.220647905761428,0.22349792664379,0,0,0,0,0,0,-0.188457845352378,0,0,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0.119394176393532,0,0.309495346843956,0,0.0342748728728198,0,0,0,0.0517642532173669,0,0,0.0153792003060192,0.0334434466485768,0,0,0,0,-0.0357413491835151,0,0,0,0.351702658444751,0,0,0.0255571732782724,0,0,0.043813324335306,0,0,0.0395602492875494,0,0.143252546887385,0,0,-0.0203610108327384,0,0,0,0,0,0,0.0395794297083086,0,0,0.0931818647369706,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,-0.104704740803402,0,0,0,0,0,0.240617687024466,0,0,0,0,-0.0547191315663776,0,0,0.196882271393244,0,0,0,0,0,0,0,0.171629411330884,0,-0.0768160678425992,-0.0869947758981818,0,0.198742293573756,0,0,0,0,0.0376714647927691,-0.0125083757571826,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0.0386465154625813,0,0,0,0,0,0,-0.0235670064921736,0,0,0,0,0,-3.46944695195361e-18,-0.0174629282923178,0.119679843497846,0,0.0024081478540714,0.140092354800716,0,0,0.101768614466904,0,-0.199448784412931,0,0,0,0,0,0,0,0,0,0,0,-0.185348177349119,0,0,0,0,0,0,0,0,0,0,0.141437341796581,0.379918078786827,0,0.128207287086025
X600048.CH.EQUITY,0,0,0,0,0.273531059198719,0,0,-0.0942462153337627,-0.329250384255386,0,0,0,0,0.210858419584819,0,0,0.0214546742262471,0,0,0,0,0,0,-0.0232265003028361,0.0246415002836356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181088967488498,0,-0.0588846161417338,0,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,-0.0404405946882854,0,-4.33680868994202e-19,0,0,0,0,0,0.0152479792771582,0,0.0308087678664181,-1.38777878078145e-17,0,0,0,0,0,0,0.0279171087921971,0,0,0.183242100338437,0,0,0,0,0,0,0,0,0,0,0.127659846510998,0,-0.319114847535522,0,0.064684961498568,0.598083918524533,0,0,0,0,0,0,0,0,-0.0561112826924706
