,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.0503652295980309,0,0.076102454573537,0.128648728893945,0,0.36057859207918,0,0,0,0,0.00138557190862664,0.100931925509787,0,0,0,0,0,0,0,0,0,0.0846182461176546,0,0.013061315635874,0,0,0.152484416530775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.15638410610374,0,0,0,0,0,0,0,0.245529317877168,0,0,6.93889390390723e-18,0,0,0.0714184664274497,0.210526054154361,0,0,0.176403995493705,0,0,0,0,-1.38777878078145e-17,0,0,0.0297593605244074,0,0,0.0547805379105526,-0.107235982707998,0,0,0,0,0,0.09140301551147,0.0886949341003527,0,0,-0.0100700880163087,0,0,0,0,0,0.0291121901033405,0,0,0.00358400531776401,0,0
X601939.CH.EQUITY,0.309833359373602,0,0,0,0,0,0,0,0,0,0,0,0.262355533657595,0,0,0,0,0.0114170513909671,0,0,0,0,0,0,0,0,-0.0324457286512746,0,0,0,0,0,0,0,0,0,0.220897039100251,0,0.0921691997261363,0,0,1.73472347597681e-18,0,0.0995571728709836,0,0,0.0463490653527089,0,0,0,0,0
X601288.CH.EQUITY,0.347197160355202,0,0.0266220518231677,0,0,0.48969018105068,0,0,0,0,0.0073661188790081,0,0,0,0.0358106232811412,0,0,0,-0.025651376917734,0,0.0092674994882737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101065257402842,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.191689438714493,0,0.0554908378605176,0,0,0,0.322215929111642,0,0,0,0,0,0,0,0.0218390371594691,0.667879431934835,0,0,0,0.0464469254677011,0,0,0,0,0,0,0.0954283373013076,0,0,0,0,0,0,0,0,-0.221170339890714,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0769022775298701,0,0,0,0,0,0,0.151684716313524,0,0,0,0.18101677333428,0,0,0,0,0,0,0.119202119549861,0.133195985832144,0,6.93889390390723e-18,0.269105695963867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.219062230399916,0,0,0.258950121740405,1.38777878078145e-17,0,0.0304879240627079,0,0.180961239726792,0,0,0,0,0,0,0,0,0,0,0.00369118670966692,0,0,0.0934232452664145,0,0,0.103964689828474,0,0,0,0,0,0,0,0.0495161736160653,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0638142794860595,0,0,0,0.437545885523957,0,0,0,0,0,0.167143291619405,0.132254361467963,0,0,0,0,0,0,0.288671698086989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.385834855929983,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117588430239335,0.0964185746492386,0,0,0,0.13536720145776,-0.0201191706524586,0,0,0.0482776166378419,0,0.232065278575381,0,0,0,0,0.118234627364247,-0.0128925804174806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.440313119532413,0,0,0,0,0,0,0.228949591325228,0,0,0,0,0,0,0,0,0,0,0,0,-0.00452826665532938,0,0,0,0.140170100185215,0,-0.0949236796212559,0,0.332463674883666,0,0,0,0,-0.0271409072295514,0,0.861797677423817,0,0,0,0,0,0.298302072294569,0,-0.23534088461341,0,0
