,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X600048.CH.EQUITY,0,0,0,0,0,0,0,0.0900141891884404,0,0,0.0143575540465616,0,0,0.0259755417131109,0,0,0.340108897069797,0,0,0,0,0,0,0.0684896552547754,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0179140652706073,-0.0419251162682856,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.644949556183434,0,0,0.0256641704594876,0,0,0,0,0,0,0.157216736962442,0,0,0,0,0,0.236405455572095,0,0,0.103409692064723,0,0,-0.0749035192776153,0,0,0,0,0,0,0,0.104633235782877,0,0.0324954320263402,0,-0.0289384357370579,-0.039685048309403,0,0,-0.155277901655482,0,-0.0684358866795484,0,0,0,0,0
X601818.CH.EQUITY,0,0.0704327702327641,0.22016592577645,0.0442018836477447,0.02927597002464,0,0,0,0,0,0,0,0,0.00886047901580406,0,0.0717886277658678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186554985952189,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.0590514656560064,0,0,0,0.020871911450181,0,0,0,0,0.0400802524648667,0,0,0,0,0,0,0.0334820431966646,0,0,0,0,0,0,0,0,0,0,0,0,0.183823133644087,0,0,0.531649524742787,-0.0608777278669866,0,0,0,0,0,0.0763691876804739,0,0,0.181619940547543,-0.0257230700335835,0,0,-0.0184410689457829
X601211.CH.EQUITY,0,0,0,0,0,0.0204674286930023,0,0,0,0,0,0,0,0,0,0.0264665759656379,0,0,0,0,0.0665045349542716,0.0831008808459234,0,0.114392177076638,0,0,0,0,0,0,0,0,0,0.445124783914995,0,0,0,0,0,0,0.10522944833735,0,0,0.0303044514924371,0,0.0395473617884743,0,0,0.0324693413144641,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0239521707470532,0,0,0,0,0,0,0,0,0,0,0.636768709987613,0,0,0,0,0.0538500913969625,0,0.070027704959738,0.181664654702484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11428942667812,0,0,0.0952917811849929,0,0,0,-0.0524293010788555,0.192617594527305
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0601891488988858,0,0,0,0,0.145621663699625,0.0994596532580574,0,0.297655142454261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837730964008582,0,0,0.0804803223035822,0,0.158262891476499,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.00981108667208847,0,0,0,-0.00264534825323907,0,0.168818554930646,0,0,0.0652536816458069,0,0,0,0,0,0,0,0,0,0,0.126713612466386,0,0,0,0,0,0,0,0.498417067263614,0,0.0508199174071948,0.076808838399002,0,0.0368498980180889,0,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0995411051892344,0,0,0,0,0.267008982028602,0.293599969164553,0,0,0,-0.209910842145598,0.0442559258210246,0,0,0,0,0,0,0,0,0.118407618798091,0.0760516573871792,0,0,0,0,0,0,0,0,-0.314893929668989,0,0,0,0,0,0,0,0,0.164109362284441,0,-0.143406054142046,0.0416251610122718
X001979.CH.EQUITY,0,0,0,0,0.0595925534009968,0,0,0,0,0,0,0,0,0.0486588877728368,0,0.584426310294907,0,0,0.0797511851557357,0,0,0,0,0,0,0,0,0.130668492342797,0,-0.177990650690133,0.323062572294821,-0.264222928912679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106631731669185,0,0,0,0,3.46944695195361e-18,-0.045871556089376
