,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X688.HK.EQUITY,0,0,0,0.234935988416315,0,-0.22540369149124,0,0,0.0487635459088518,0,0,0,0,0.221223886812113,0,0,0.297609695994604,0,0,0.166218928919857,0,0,0,0,0,0,0,0,0,0.047860138315648,0,0,0,0,0,0,-0.30502196861298,0,0,0,0.41282680654329,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464334217584485,0.0942205513735218,-0.0405817125583392,-0.113464239533329,0,0,0,0,0,0,0,0,0,0,0,0,0.0538227686955122,0,0,0,0,-0.0945318962810781,0.286645529843978,0,0,0,0,0,0.262919289607558,-0.0515582582866843,0,0,0,0,0,0,0.209392463428261,0,0
X388.HK.EQUITY,0,0,0.183589344352113,0.0667152779608782,0,0,0,0.185242589475563,0,0,0,0,0,0,0,0,0,0.0591791671070177,0,0,0.00317418242044483,0,0,0,0,0,0,0.227383685530406,0,0,0,0,0.12190985080344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477537981289619,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246397289742044,0,0,0,0,0,0.675529152496992,0,0,0,0,0,0.0673735546753138,-0.0470355937665441,0.267380832604785,0,0,0.0717668957356952,0,0,-0.00459173241367286,0,0,0,0,0,0,0,0,-0.082901506658277,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.0182260637958406,0,0,0,0,0,0,0.114590349432289,0,0,0,0,-0.0697453087677433,0,0,0,0,0,0,0.299853497820664,0,0,0,0,0,0.0743146665778096,-0.0506849184247399,0,0,0,0.0288801674213101,0,0,0,0,0,0.195224259700482,-0.0207208285964354,0,0,0.214492035089939,0,0,0,0,0,0.0271016359514914
X267.HK.EQUITY,0.213698485388728,0,0,0,0,0,0,0,0.0433035179355334,0,0,0,0,0,0.0608683120919857,0.0440532821334271,0,0.037655906649197,0,0,0.550450445164802,0,0,0,0,0,0,0.277557819994426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788919649519868,0
X600030.CH.EQUITY,0,0.160119360483469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0756296533666266,0,0,0,0,0,0.188616862346414,0,0,0,0.233608150253021,1.38777878078145e-17,0,0.0978479166689257,0.0569327410219726,0,0,0,0,0,0,0.00754208428437137,0.35228410926659,0,0
X600016.CH.EQUITY,0,0.0756703702729006,0,0,0,0.113350041636734,0,0,0,0.00947967349504745,0,0.120314935415575,0.0171342835440348,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-3.46944695195361e-18,0.0134071922592237,0,0,0,0.331707986426036,0,0.0242268851910945,0,0.28307849519534,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.00471873989776493,0.219707308249046,0,0,0.261112298266486,0,0,-0.0138359180610752,0,0,0,0,0,0.0894594300700444,0.0653792427148908,0,-0.088169477367115,0.208058887220808,0,0,0,0,0,0,0,0,0,0,0.197174372133372,0,0,-0.103305291442443,0,0,0,0,0,0.0861749640196072,0,0,0,0,0,0.0160244019076705,0,0,0,0,0
X1109.HK.EQUITY,-0.12044616676545,0,0,0,0,0,0.00958090872684025,0,0,-0.184802719172279,0.0717086489660545,0,0,0,0.113540983496313,0.0525868766622078,0,0.0351487252749806,0,0,0,0,0,0,0,0,0,0.569124347622903,0,0,0,0,0.20906621670619,-0.211172532444715,0,0,0,0,0,0,0,-0.155713443954402,0,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.210407091249305,0.0497990525970872,0.0613172986335346,0,0,0,0,0,0.00235127963380997,0.208541078458823,0.0163352843775384,0,0,0,0,0,0,0,0,0.164583153617754,0,0.0154473850707465,0,0,0,0,0.0425534961690562,0,0.0509496175481002,0.0856438140031029,0,0,0,0,0,0.00633590461466411,0,0,0,0,0,0,0,0.184063970655077,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219064373569969,0,0,0,0,-0.101462691381923,-0.0338543514298861,0.140200546387827,0,0,0,0,0,0,0,0,0.225612179873484,0,-0.023203095147693,0,0,0.122137378693115,0,0,0,0,-0.0408695549920077,0.204949615736868,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0466591989203916,0,0,0,0,0,0.0251536805512729,-0.0764314103404011,0.0300797982812762,0,0,0,-0.0626671754143654,0.108025745833528,0,0.124071342451034,0,0,0,0,0,0,0,0,0,0,0,-0.319515435735004,0,0.0250293140916001,0,-0.0110639638255616,0,0,0,0,0,0,0,0,0.409156126531147,0,0
X600048.CH.EQUITY,0,0,0,0,0.204116838516341,0.00240544755380943,0,0,-0.426894394073585,0,0,0,0.0814990423268714,0.20915732795595,0,0,0,0,0,0,0,0,0,0,0.00934059903266713,0,0,0,0.102012353132209,0,0,-0.0852647904977174,0,0,0.096632145997403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0.155224418735076,0,0,0,0,0,0.0770860786022306,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0224803383111401,0,0.108502060431394,0,0,-0.170946365048913,0.0179865583770575,0,0.473429772465134,0,-0.0587982183541095,0,0,0,0,0,0,-0.047178615737781
X12.HK.EQUITY,0,0,0.212008146109431,0,0,0,0,0.368704413031469,0,0,0,0,0,-0.000706397033891605,-0.240905249894033,0,0.299988575055626,0.0576853566014324,0.0468151539297989,0.012594101266775,0,0,0,0,0,0,0.0280866422239101,0,0,0,0,0,0,0,0,0,0.163438606287631,0,0.285428958837067,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,-0.130540203662717,0,0,0,0,0,0,0,0,0,0,-0.119140432716123,0,-0.648677825737716,0,0.732889974820891,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0030446867083373,0,0,0.247972094903274,0,0.320944017907981,0,0,0,0,0,0,0,0,0,0,-0.0944639130102125,0,0,0
X002142.CH.EQUITY,0,0.240360998621205,0,0,0,0,0.113967735463877,0,0,0,0,0,0,0,0.360841897392517,0,0,0,0,0,0,-0.157070789311745,0,0,0,0,0,0,0,0,0,0.119502952601111,0,0,0,-0.0630620384705526,0,0,0,0,-0.0735332732562623,0.224112822284648,0,0,0,0,0,-0.149951829959039,0.0416978003650142,0,-0.0669771435735784,0
X001979.CH.EQUITY,0,0,0,0,0,0,-0.0781894620818736,0,-0.16294780946878,0,0,0,0,0.274830884964157,0,0,0,0,0.00441435029597955,0,0,0.398132955087887,0,0,0,0,-1.73472347597681e-18,0.187541681619071,0,0.204666837699584,0,0,0,0,0,0,0,0,0.0455391694635429,0,0,0,0,0,0,0,0,0.0074232228031578,0,0,0,0
X823.HK.EQUITY,0.0451933222092098,0,0,0,0,0.0591743338335078,0,0,-0.0476479505243066,-0.0583636920988093,0,0,0,0,0,0,0,0,0,0,0.457861378328875,-0.332372522274935,0,0,0,0,0,0,0,0,0.0299770015483676,0.187743417341317,0.0630736269938593,0,0,0,0,0,0,0,-0.19792427981179,0.18752513057622,0,-0.0277290846026566,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0829623899265805,0.00605377492400606,0.0715488444809074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298653566396456,0,0,0,0,0,0,0,0,0.0670916187633792,0.163696908000932,0,0,0,0,0.20378175951165,0.0462368938833067,0,0,0,0,0,0,0,0.334564569029638,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.08453350127696,0,0,0,-0.0076676637787357,0,-6.93889390390723e-18,0,-0.107566020049721,0,0,0,0,0,-0.189544242414824,0,0,0,0,0,0,0,0,0,0,0,0.113701775091575,0.0574349463549533,0,-0.0335025428957592,0.154500140303552,0,0.337280744537705,0,0,0,0,0,0,0.0123646063007455,0,0,0,0.244505330589084,0.458898302340205,0,0
X601229.CH.EQUITY,0,0,0.355323378366247,0.15158819028412,0,0,0,0,0,0,0,0,0,0,0,0.0708197418870553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0535279315384412,0,0,0,0,0,0.247167143978496,0,0,-0.1429610064151,0,0,0,0,0,0,0,0.333406360675563,0,0,-0.0182577954563488
X2882.TT.EQUITY,0,0,0,0,0,-0.0266410437695614,0,0,0,0,0.0162514544022967,0,0,0,0,0.0518503548177948,0,0.0759138630657024,0,0,0,0,0,0,0,0,0,0,0,0.0558784991577672,0,0.144723267958192,0,0,0,0,-0.0177986357313433,0,0,0,0,0,0,0,0,0,0.364550864143063,0,0,0,0,0
