,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0329627345462644,0.476154970341803,0.0149459700432742,0,0,0.0904559143520957,0,0,0.0828820406691136,0.0675837524282382,0,0,0.176491228745938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286767243504675,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.00885435221526928,0.109692574538024,0.272683613168424,0,0,0,0,0,0,0,0,0.335274225232774,0.0867750772439906,0,0.075843465440692,0,0,0,0.0632112418493661,0,0,0,0,-0.0379287152424828,0,0,0,0,0,0,0,0.0182266590323813,0,0.0426761123348704,0,0,0,0,0,0,0,0,0.00605118425243679,0,0
X601939.CH.EQUITY,0.169264655960395,0,0,0.489650500786105,0.0654229231259782,0.0934524139926786,0,0,0,0.0556914230046613,0,0,0,-0.03183324508849,0,0,0,-0.0240094159755125,0,0,0,0,0,0,0,0,0,0.178644986136712,0,-0.00669819499978717,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324972937612569,0,0,0,0
X601288.CH.EQUITY,0,0,0.211677740101514,0,0,0,0,0,0.0118833353967124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273521431305652,0,0.195513213641008,0,0,0,0.047431898283178,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0961987018452823,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.056578350775918,0,0,0.207415387035786,0,0.206205159612148,0,0,0,0.212043193087532,-0.00851283513195413,0,0,0,0,0,0.195632765764092,0,-0.244541256557616,0,0,0,0.0459713578764806,0,0,0,-0.0612239184180672,0,0,0,0,0,0.189904924053582,0,0,0,0,0.0806141295431638,0,0,0,0,0,0,0.17138797099231,-0.00759563807109857,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.262258775788654,0,0,0,0.10690316075143,0,0,0,0,0,0,0.0351346197072148,0.109411111867999,0,0,0,0,0,0,0,0,0.0883725491074044,0,0,0,-0.191647235994552,0,0.0605274729310192,0,0,0,0,0,0,0,0,0,0.0798823520862934,0,0,0,0,0,0,0,0.151143346167577,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.039418849642354,-0.114460278153533,-0.0999206102685966,0,0.0912046795638325,0,-0.0749796289235513,0,0,0.0973014373919027,0,0,0,0.520771247466095,0,0.0210559142774125,0,0,0.0681439425806017,0,0,0,0,0,0.0512367946399276,0,0,0,0,0.0466322289723049,0.255809894225423,0,0,0,0.0933298520065549,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303390462734727,0,0,0,0,0,0,0,0.0734500446834819,0,0.0628816020874751,0,0.11894765262146,0,0.0375183949276103,0,0,0,0.230303833518247,0,0,0,0,0,0,0,0,0,-0.0765618957922083,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.148204440140361,0,0.0503151622845089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104561004406765,0,0,0,0,0,0,0,0.147779989150324,0,0,0,0,0,0,0,0,0,0.0208841862147807,0.366364294542248,0,0,0,0.118948838043418,0,0.0565606395607633,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.371511480421744,0,0,0,0,0,0,0,0,0.406992232570844,0,0,0,0,0,0,0,0,0.00961049637512843,0.0398526922168144,0.128111054822121,0,0,0,0,0,0,0,-0.0171088218121724,0,0,0.0281042976202711,0,0,0,0,0,0.099682978653889,0,-0.0228778895191757,0.214959968493985,0,0,0,0.0771945326036091,0,0,0,0
