,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.176471829437303,0,0,0,0,0.496076111060711,0,0,0,0,0,0,0,0,0,0,0,0,-0.154830835131365,0,0.497389407277805,0,0,0,0,0,0,0,0,-0.0160373854992304,0.09631675554606,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.145943847919422,0,0.0979041487473875,0,0,0,0.143022510582465,0,0,0,0,0.220183024387433,0.123027284771908,0,3.46944695195361e-18,0,0,0,0,0.0807995910611843,0,0,0,0,0,0,0,0,0,0.113321138086592,0,0,0,0.126976118438819,0.0503992011943708,0,0,0.0405232641619776,0,0,0,0.00390957382676287,0,0,0
X601939.CH.EQUITY,0,0,0,0.591041318076479,0,0.0385357157794087,0,0,0,0.312995423904879,0,0,0,0,0,0,0,0,0,0,0.122486440915676,0,0,0,0,0,0,0,0,0,-0.00514726843869225,0,0,0,0,0,0,-0.0247117877821791,0,0,0,0.0917498391790237,0,0.0440309693750564,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.396780656382788,0,0,0,0.940957843512769,0,0,0,0,-0.118884072177087,0,0,0,-0.3068134726074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519602535538114,0,0.190996837235683,0,0,0,0,0,0,-0.0366977793346429,0,0,0,0.0529493532538438,0,0,0
X5.HK.EQUITY,0,0.0670342003038933,0,0,0,0.138463949495004,0.348785938131611,0,0,0,3.46944695195361e-18,0,0,0,0,0.0163028915889792,0,0,0,0,0,0,0,0,0,0,0,-0.18883386784063,0,0,0,0,0,0,0,0,0.120378913463235,0,0,0.304903765429113,0,0,0,0,0,0,-0.0931311730759255,0,0.0470840658669554,0,0
X601988.CH.EQUITY,0,0,0.0852839959086409,0,0.249756519350869,0,0,0,0.201499979224199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122121799559952,0,0.072364076307705,0,0,0,0,0,0,0,0,0.131297286636948,0,0,0,0,0,0,0,0.131000204714191,0
X1299.HK.EQUITY,0,0,0,0,0.222409082908052,0,0,0,0,0,0,0,0,0,0,0,0.191933716314908,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0357805234000969,0,0.034559296923012,-0.116896044748515,0.0878716921272815,0.0535417553031228,0,0,0,0,0,0.53637054281549,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.438566641084963,-0.0588424549207701,0.104723226287044,0.0810657896263063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475412133357501,0.0320054932340608,0,0,0,0,0,0,0.234684648452896,0,0,0,0,-0.127550941282093,0.223889467479861,0.285289977766726,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.149197363551114,0,0.00508909269984965,-0.102304068106898,0,0,0,0,0,0,0,0.008698179316777,0,0,0,0.0188931950098082,0.12799389114525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467480160278255,0,0,0,0,0.192295509165197,0,0.0892472047334638,0.0700875804049179,0,0,-0.0240127073395825,0,0,0,0
X601328.CH.EQUITY,0,0,0.172961476491692,0,0.0218763340822092,0,0,0.731940641711018,0,0,0,0,0,0.0750142916671613,0,0.0449591302582569,0,0,0,0.0297658820322084,0,0,0,0.0758589274253573,0,0,0,0,0,0,0,0,-0.0702083420820365,0,0,0,-0.15662841728732,-0.162307592046491,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0789490837508667,0,0,0.263144764345697,0,0,0,0,0,0.164996908234972,0,0,0,0.262645965826494,0,0,0,0,0.03864067707559,0,0,0,0,0,0.10302988520552,0,0,0,0,0,0,0,0,0.00696092847120728,0,0,0,-0.0598915648417772,0,0,0,0.00557748817084652,0,0,0,0,0,0,0,0.0616860667096872,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.0792955568544024,0,0.0310517224008255,0,0,0,0,-0.0696750221255368,0.0510071084571152,0,-0.346002190054407,0,0,0,0,0,0,0,0,0,0,0,0.284475269793004,0.135290148984234,0,0,0.166331575478618,0,0,0.579411770195338,0,0,0,0,0,0,0,0,0.266524007187821,0,-0.134537696995317,-0.0377222390044566,0,-0.0562354423930106
X601319.CH.EQUITY,0,0.0594800051406839,0,0,-0.265854016234998,0,0,0,0,0,0,0,0,0,0,0,0,0.0196655697990759,0,0,0.0283771895515661,0,0,0,0.0102087831680316,0,0,0,0,0.0120198383187383,0,0,0,0,0,0,0,0,-0.134293191862542,0,0,0.0155387015056875,0,0,0.62849663096744,0,0,0,0,0,0
X600000.CH.EQUITY,0.0330998303860113,0,0.362862906778935,0,0.0826734069343611,0,0,0,0,0.175776052571536,0.0684673931041884,0,0,0,0,0,0,0,0,0,0.102148881298072,0,0,0,0,0,0.23237722951716,0,0,0,0,-0.0231159213472661,0,0,0,0,0,-1.73472347597681e-18,-0.217456945339175,0.0244397396320806,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0.036259981969327,0,0,0,0,0,0,-0.0470942672604803,0,0,0,0,0,0,0,0,0.199854005439525,0,0,0,0,0.057392252063924,0,0,3.46944695195361e-18,0,0,0.606257253862189,0,-0.0506077690039933,0.0159260705346731,-6.93889390390723e-18,0,-0.00873472646100972,0,0,0.0488787391544808,0.037679975674181,0,0,0,0,0,0.00718110203647676,-0.133081887131384
X11.HK.EQUITY,0,0,0.300886812779179,0,0,0.185833018743902,0,0,0,0,0,0,0.0295799899964409,0,0,0,0,0,0.0728271628726506,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.483732150372399,0,0,0,0,0,0,-0.0300312119219181,0,0.045585239998398,0,0.0152398318041274,0,0,0.297277002072191,0,-0.0858248736382041,0,0,0,0
