,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,1.73472347597681e-18,0.222838758797732,0,0,0,0,0.37238966116302,0,0,0,0,0,0.0285618874380828,0,0,0,0,0,0,0,0,0,0,0,0.254586316141601,0,0,0,0.017349683091676,0.0257082364581988,0,0,0.0729566542356004,0,0.060812651214285,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898788539123298,0,0,0
X601318.CH.EQUITY,0,0,0.0902245793271708,0,0,0,0,0.0210897028233495,0.259592395505462,0,0,0,0,0.0388612585874016,0.318320523146713,0,0,0,0,0.07878421377674,0,0.0469440185845727,0,0,0,0,0,0.29583876516609,0,0,0,0.0408371324391044,0,0,0,0,0,0,0.0397648029255942,0,0,0,0,0,-0.116094925475593,0.0191596649769381,0,0,0,0,0.0633226532940251,0
X601939.CH.EQUITY,0.285372643499094,0.191996306882178,0,0,0,0,0,0.499595404465729,0.0863429277737401,0,0,0,0,0,0,0,0.0145811689754295,0,0,0,0,0,0,0,0,0,0,0.0635568714167334,0,-0.0183987927443494,0,0,0,0.0457453449980249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18282676015694,0
X600036.CH.EQUITY,0,0,0,0,0,0.155474888212489,0,0,0.0624003976931163,-0.103508359160553,0,-0.0999545329427611,0.145698806948493,0,0,0.154765984998929,0,0,0,0.16188588380736,0,0,0,0,0,0,0.399811678659715,0.0316951964902431,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716314802934497,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.476671162819931,0,-0.0798027004473583,0,0.043659839617757,0,0,0,0,0,0,0,0.0403113891920615,-0.00342579992687258,0,0.0584656573193966,0,0,0.173808445541533,0,0.0947407602455824,0,0,0,0,0,0.099690186145685,0,0,0,0,0,0,0,0,0,0,0,0,0.0261170548939146,0,0,0,0.0773626682187312,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.100166320315756,0,0.223755777284668,0,-0.0297861619182822,-0.0259958079234207,0,0,0,0,0,0,0,0,0,0.190087074909874,0,0,0,0,-0.0012287391270671,0,0,0,0,0,0.145873005390228,0,0.0640576144572135,0,0,0.169556209302409,0,0,6.93889390390723e-18,0.186216597181432,0,0,0,0,0,0.217714337527976,0,-0.0896142752555726,0
X601628.CH.EQUITY,0,0,0,-0.0135873277177561,0,0,0,0,0,0,0,0,0,0,0,-0.0236580676698792,0,0,0.107303907218435,0,0,0,0,-0.148065798426594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467457334268346,0.00455621330331365,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0295086353109273
X601988.CH.EQUITY,0,0,0,0,0.525094785113265,0,0,0,-0.00800053586133558,0,0,5.42101086242752e-20,0,0,0,0,0.286915594907921,0.135136599971329,0,0.0434929162792751,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418288921779505,0,0,0,0,0,0,0,0,0,0,-0.0982234230039459,0.00138664024237008,0,0,0,0,0,0
X5.HK.EQUITY,0,0.00665682442732073,0.0636118676281803,0,0,0,0,0,0,-0.0888405461667601,0.150853383288794,0,0,0,0,0,0,0,0,0,0,0,0.188859822758708,0,0.0818126070333142,0,0,0,0,0,0,0,0,0.176041269916946,0,0.0456215466796913,0,0,0,0,0.306479023514494,0,0.216629616656408,0,0,0,0.0710346484449871,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.212598794161676,0,0.334840984781297,0,0,-0.1179851081105,0,0,0,0,0,0.00273258084110129,0,0,0,0.231435141143079,0,-0.090069277379433,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0483245003611428,0,0,0,0.204936552330651,0,0,0,0.0468375281125957,0,0,0.130487717578459,0
