,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.260090671375343,0,0.0525081037842849,0,0,0.285303331185427,0,0,0,0.128908443646019,0,0,0,0.0386626041865177,0,0,0,0,0,0,0,0,0.13948296192026,0,0.017610144010724,0,0,0,0,0.0240718347480385,0,0,0,0,0,0.123602350570955,0,0,0,0,0,0,0,0,0,0,-0.0170451278014675,0,0,0
X601318.CH.EQUITY,0,0,0.245645977219768,0,0,0,0,0,0.0732332665461534,0,0.0597737184978093,0,0.0377971385156469,0,0.181286417162714,0,0,0,0,0,0,0.0720174420775109,0,0,0,0,0,0.153700731010406,0,0,0,0,0,0,0.0377283142036055,0.0180169019053383,0,0,0,0,0.0803700003106751,0,0,0,0,0,0,0.00760546403939548,0,0,0,0
X601939.CH.EQUITY,0.501538556589755,0.276056468732835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228114029601313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958978900568553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711694204119813,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0634459527036491,0.489646393840353,0,-0.0730332223862958,0,0.0912522999291605,0,0,0,0,0,0,0,0,0,0,0.00103711614647186,0,0.116291421005832,0,0,0.100192855369115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826064320842933,0,0.00370012294853443,0
X600036.CH.EQUITY,-0.0337344694464602,0.12627354434196,0,0,0,0,0,0,3.46944695195361e-18,-0.0057408600916181,0,-0.0896282349663765,0.0927859869718261,0,0,0.189282469718081,0,0.168065794300486,0,0,0,0,0,0.340889078640739,0,0.068352580108981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858433024895032,0,0,0,0,0,0,-0.195831778714533,0
X1299.HK.EQUITY,0,0,0,-0.0891284599564976,0,0,0,0,0,0.180967319590393,0,-0.051122990835572,0,0,0,0,0,0,0,0,0.0468433393230486,0,0.154425647116064,0,0,0,0,0,0,0,0,0,0.105751036604953,0,0,0,0,0.148276816368108,0,0.134912756114892,0,0,0.114560878323783,0.044740099791188,0,0,0,0,0.204753002409304,0,0,0
X601628.CH.EQUITY,0.0810213737503621,0,0,0,0,0,0,0,0,0,0,0,-0.00523105243512196,0,0,-0.181498395563961,0,0,0,0.258695417247491,0,0,0,0,0,0,-0.113888297829204,0,0,0,0,0,0,0,0,0,0.604442138985655,0.0447439098152881,0,0,0,0,0,0,0,0,0,0,0,0,0.0047533362450648,-0.0492918820936777
X601988.CH.EQUITY,0,0,0.0746299066939819,0.490701000533842,0,0,0,0,0,0.074866030098166,0,0,0.117126320560688,0,-0.0108427608057328,0,0.151392517974272,0,0.0165188308861852,0,0,0,0.054571389212036,0,0.0331477729937,0,0.0211044300887022,0,0,0,0.0557906910434741,0,0,0,0,0.0305779374551026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.213203440630615,0.141925053692112,0,0,0,0,0,0,-0.161460918754494,0,0,0,0,0,0,0,0,0,-0.0086627437527021,0,0,0.122927349276808,-0.00654607311149476,0,0.164867972392245,0,0,0,0,0,0,0,0,0,0,-0.0889164273920946,0,0,0,0,0,0,0.294272529319094,0,0,-0.114773450272397,0.18801778407129,0,0,0.135295293002089,0
X388.HK.EQUITY,0,0,0,0,-0.123371255234277,0.387580889262466,0,0,-0.121566779426808,0,0,-0.0813759990054561,0,0,-0.00283538447773388,0,0,0,0,0.356461913851288,-0.176938605403035,0,0,0,0,0,0,0,0,0,0,0.0892899921696962,-0.0180845103665751,0,0,0,0,0,0.0947000132057306,0,0,0,0,0,0,0,0,0.0146527131160106,0,0,0.19428212964435,0.0146702811743157
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.031948429517883,0,0.0512618434831325,0.385954351824697,0,-0.00621806247552797,0.146420634964474,0,0,0,-0.0840787241126878,-0.106843891090645,0,-0.0584799835630693,0,0,0,0,0.376708376888833,0,0.0904413542010206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0.0349888117366683,-0.232460661050301,-0.0292043866560223,0.0773018629466727,0.465264081202672,0,0,0.409934617091887,0,0,0,0,0,0.234050040739052,0,0,0.301921048513143,0,0,0,0,0,0,0,0,-0.376765540586078,0.0387973017365076,0,0,0,0,0,0,0,0.0402850724721902,0,0,0,0,0,0,0,0,0,0,0,-0.0655759068703199,0.104518091511674,0
X000001.CH.EQUITY,0,0.124664007287419,0,0,0.0348602503004656,0,0,0.181470270569045,0,0,0.539238490588523,0,0,0,0,-0.0425388200751913,0,0,0,0,0,0,0.10502853024591,0,0,0,0.326022666429412,0,0,0,0,0,-0.267048157595473,0,0,0,0,-0.0357691344233287,0,0,-0.0590892255054054,0,0,0,0,0,0,-0.0899816356763991,0,0,-1.38777878078145e-17,0
