,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,-2.77555756156289e-17,0,0.347791713966978,0.0821806544715288,0,0,0,0.128461415124336,0,0,0,0,0,0,0.263244549772334,0,0,0,-0.0310719736370151,0,0,0,0,0.0367116500095686,0,0,0,0.0763892075644395,0,0,0,0,0,0,0,0.0132118724734468,0,0,0,0,0,0,0,0,0,0,0.019990938134061,0.035829980322209,0,0,0
X601939.CH.EQUITY,0.0414910194187602,0,0,0.0546224738394862,0,0,0,0,0,0,0,0.0473912877794305,0,0.193017878877324,0,0.405978899751651,0,0,0,0,0,0,0,0,0,0,0,0,0.0008130428533847,0,0,0,0,0.106890733432261,0,0,0,0,0,0,0,0,0,0,0,0,0.136897310193457,0,0,0,0,0
X601318.CH.EQUITY,0.0486136538135002,0,0,0,0,0,0.164205039749672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120749396216597,0,0,0,0,0,0,0,0,0.131921166047403,0,0.076147991578191,0.0272632991382138,0,0,0,0,0.119788971942488,0.033948696188245,0.259302155934028,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.376371080721355,0,0,0,0.402374619796096,0,0,0,0,0,0.0635991246986484,0,0,0,0,0.00350525879337546,0.0712702823037371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036002483495436,0,0,0,0,0,0,0,0,0,0,0,0.000162633001668221,0,0,0,0,0,0,0.0232586653768164,0,0
X601988.CH.EQUITY,0,0,0,0.226754857647863,0,0,0,0,0,0,0.0919337491691754,0,0,0.187724348167162,0,0,0,0,0,0,0.104221830610561,0,0,0,0,0.0232196365862533,0,0,0,0.0954565336573517,0,0,0,0,0.108283113346818,0,0,0.0936860489175498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.131317296894353,0,0,0,0,0,0,0,0,0.270798371890616,0,0,0,0,0,0,0.296784072821875,0,0,0,0,0.0664053954346552,0.708840537218295,-0.370670534737183,0,0,0,0,0.136773696822355,0,0,0,0,-0.0552392112447929,0,0.0195381500482186,0,0,0,0.431639888198553,0,0,0,0,0,0,-0.185956347863892,0,-0.198255792736343
X600036.CH.EQUITY,0.133663682355313,0,0.0815823072193101,0,0,0,0,0.0289210684031454,0,0,0,0.0815634749375826,0,-1.38777878078145e-17,0,0.0724723454321033,0,0,0,0,0,0.18892251702439,0,0,0.0159428664848916,0,0,0,0,0,0.0612343599782343,0,0,0,0,0.170239568763099,0,0,0,0,0,0,0,0,0,0,0.00581178441039481,0,0,0.0214533672775042,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.145641069440059,0.174124222127714,0,0.00299807796699263,0,0,0,0,0,0,0,0.279496780630575,0,0,0.266622049270166,0,0,0.21715379738205,0,0,0,0,0,0,0.143518033230923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0811135163652267,0,0,0,0,0,0,0.0187969989113246,0,0,0,0.260316029522922,0,0,0,0,0,0,0,0,0.24809211654812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520554082819873,0,0,0.0383836684600007,0,0,0.0940128589824149,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.0678304068509867,0,0,0,0,0,0.0825324756149947,0,0,0,-0.132050874318448,0,0,0,0,0,0,0,0,0,0,0,0.102802442678367,0,0,0,0,0.135374400345291,0,-0.347356621955518,0,0,-0.0805536390663597,0,0.236017412884541,-0.21333746716105,-0.111322947897746,0,0,0,1.3317104902769,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.30091059992487,0,-0.0147747363388219,0,0,0,0,0,0,0,0.242404917891412,0,0,0.0605378220861694,0,0,0,0,0,0,0,0,0,0,0.0245221926694755,0,0.0760898769303938,0,0,0,0,0.0406380934871291,0,0.0785942953096294,0,0,0,0,0,0.0434184554904455,0,0,0.15773778028349,0,0.0655670674787259,0,0,0,0
X601166.CH.EQUITY,0,0.163199779140512,0,0.088273140897798,0,0,0.0211330444292754,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365826908015674,0,0.102572044106344,0,0,0,0,0,0.0461522059294773,0,0,0,0,0,0,0.175690379770718,0,0,0,0.0206296379839164,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0350866070571758,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.083131570548309,0,0.509260778820179,0.00206040471836066,0.000498296236520228,0,0,0,0,0,0.171479735587189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228030107887781,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0864457898406239,0,0,0,0,0,0,0,0,0,0.432302624346346,0,0,0,0,0.0810044547971747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302966024703574,0,0.299878508789533,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721374071396835,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.115652996668578,0,0,0.290743861409064,0,0,-3.46944695195361e-18,0,0.00813745439143645,0.0264112865560628,0.0913733287159978,0,0,0.268818837900826,0,0,0.0892646074536285,0,0,0,0
X000001.CH.EQUITY,0,0.416157834656281,0,0,0,0,0.0871582931775215,0,0.0449587131950267,0,0,0.0138302825965761,0,0.0501350552367514,0,0,0.000285390510550452,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0672910132453037,0,0,0,0,0,0,0.191280193112052,0.0693140488281995,0,0,0,0,0,0,0.00631614316483338,0,0,0
X388.HK.EQUITY,0,0,6.7762635780344e-21,0,0,0,0,0.0954734382172422,0.251105009561485,0,0,0,0,0,0,0.190565007855267,0,0,0,0,0,0.0846744651983695,0,0,0,0.00776356389339352,0,0,0.0126781598489865,0,0,0,0,0.0555624370649807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264989722479599,0,0
X16.HK.EQUITY,0,0,0,0,0.161500188282698,0,0,0,0.0316314152610658,-0.0817524333957593,0,0,0,0,0,0,0.0930651334851583,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0147125158347911,-0.0798196166733673,0,0.588081300839898,0,0,0.142551955263427,0,0,0,0,0.0374805207744185,0,0,0,0,0,0,0.0480966058233679,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.00671034439416903,0,0,0.178941284788026,0,0,0,0,0.105340459304579,0.000180285368355361,0,0,0,0,0,0,0,0.106735070145549,0,0,0,0.000621352604268245,0,0,0,0,0,0,0,0,0,0,0,0,0.463926013718207,0,0,0.0882998943714642,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0.0482164131202822,0.17466757570303,0,0,0,0.118477352403558,1.73472347597681e-18,0,0,0,0.0388161554929794,0,0,0,0,0,0,0,0,0.486608822937059,0,0,0.000140304000591313,0,0,0,0,0,0,0,0,0,0,0,0,0.117141514853615,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.158945821748808,0,0,0.170707232410294,0,0,0,0,0,0.196988549970686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084104036636262,0,0,0,0,0.0837261251254636,0,0,0,0,0,0,0,0,0,0,0.33158163559684,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.369193429250677,0.0190011795103503,0.0086889415678147,0,0.0797825761786521,0,0,0,0,0,0,0,0.0309003452858018,0,0.0142865658019685,0,0,0,0,0,0,0,0,0,0,0,0.0308140308669437,0,0,0,0,0,0.0812645683778877,0,0,0,0,0,0.254022340083901,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.375944552528296,0.0423631010902892,0.203476511680046,0,0,0,0,0,0.128225215060087,0,0,0,0,0,0,0,0,0,0.882269805237319,0,0,0,0,0,0,0,0,0,0,-0.0600328475094392,0,-0.143313491916468,0,0,0,-0.347509096814339,0,0,0,0,0,0,-0.354333976832535,0,0
X601998.CH.EQUITY,0,0.0352757859733056,0,0,0,0,0.0278724945615774,0,0,0,0,0,0,0,0,0,0,0,0,-0.120097270012452,0.400095136846201,0,0,0,0.0589764331244579,0,0,0,0,0,0.365351639936917,0,0,0.0345448242069402,0,0,0,0,0,-0.0155025698314725,0,0,0,0,0,0.0496764085276113,0.168846197039748,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.201407531228295,0,0,0.0358708532744989,0,0,0,0,0,0,0,0.135081583881248,0.0672617647500352,0,0,0,0,0,0,0,0.229214879132287,0,-0.0273510720853783,0,0,0,0,-0.12555453533562,0,0,-0.0477161695861898,0.222087107596716,0,0.104885771502131,0,0,0,0,0,0,0,0.194066912847406,0.325586541305387,0,-0.224217109138279,0
X2388.HK.EQUITY,0,0,0,0,0,0.253444030282932,0,0,0,0,0,0,0,0,0,0,0.0905478298280537,0,0,0,0,0,0.319307494759423,0,-0.00870819440058805,0,0,0,0.0964735342872643,0,0,0,-3.46944695195361e-18,0,0,0.260135594278034,0,0,0,0,0.0555980812395515,-0.0511179673325679,0,0,0.0204376574068199,0,0,0,0,0.0790248191894276,0,0
