,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600999.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X12.HK.EQUITY,X600918.CH.Equity,X2882.TT.EQUITY,X823.HK.EQUITY,X601881.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0053924976366079,0,0.23189380787126,0,0,0,0,0,-0.21637977349277,0,0,0,0,0,0,0,0,0,0,0,0.470065665757348,0.475023786339607,0,0,0.104620828816221,0,0,0,0,0,-0.0825224066360973,0,0,-0.180869044226959,0,0,0,-0.618053574988612,0,0,-0.0944268536759052,0.0352134499556399,0.0321844495645428,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0731518615671247,0,0,0.125546111920614,-3.46944695195361e-18,0,0,0,0,0,0,0.250440018884043,0.170473986298254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030275553879503,0,0,0,-0.053865346280264,0,0,0.0426829265376646,0,0,0.0462046670251023,0,0.429759631089634,0,0,0.0611180856870816
X601318.CH.EQUITY,0,0,0,0,0.0243562361848062,0.263515410908052,0.138410551894354,0,0,0,0,0,0,0,0,0,0,0,0,0.223195202833636,0,0.153491329435086,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.279169411173791,0,0,0.340717420228776,0,0,0.0555774485300673,0,0,0.0254960452834388,0,0.141675489053216,0,0,-0.0276752211085659,0,0,0.050560181234413,0,0.109383560210363,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0706879381713265,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0941493897422613,0,0.0386875169565633,0,0,0,0,0,0.539806091285296,0,0.0498865220722821,0,0,0,0,0.143462187910338,0,0,0,0,0,0,0.293872847537504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.455715551516274,0.0274517004472296,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0870388870486515,0,0,0,0,0.0349652356980439,0.0623321296315505,0,0,0,0.114612051302529,0,0,0,0,0,0,0,0.126727248964647,0,0,0,0,0.0166460930352695,0,0.00161534606850365,0,0,0,0,0,0,0.387421029000498,0,0,0,0,0,0,0,0,0,0,0,0.0727815111334222,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.334533408898954,0,0,0,0,-0.114580106344487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140561377003326,0.0968567374156185,0.128245926682642,0,0.115412350241581,0,0.0264194916071658,0.0128358998237566,-0.0157337684355777,0.0162205063908406,0.121100599608752,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386689914556215,0,-0.0558445347697317,0.041071296747222,0.040687533065322,0,0,0,0,0.187346406922005,0,0,0,0,0,0.157753446789263,0.141918432247632,0,0,0,0,0.189067806486843,0,0,0.316466660180412,0,0,0,0,0.154210024222767,0
X5.HK.EQUITY,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481935587940522,0,-0.065670973126106,0,0,-0.543717714556897,0.80430455975472,0,0,0.132064518011659,0.637175979191073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181383707287826,0,0
X601658.CH.Equity,0,0,0,0.0410457624739464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294575034835959,0.0540563042365842,0,-4.33680868994202e-19,0,-0.00683587288334266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217612042954648,0,0,-0.0123319635045522,0,0,0,0,0,0
