,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0752727440868126,0.458492206589042,0,0,0,0,0,0,0.0511469949582889,0.17854647477386,0,0.189388268058989,0,-0.0160337164523121,0,0.0799482648504711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168694190677809,0,0,0,0,0.00392150295269487,0,0,0,0,-0.0348781724715965,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.074415540554349,0.257721103501685,0,0,0,0,0,0,0.0360219831644353,0.342690788350472,0,0.090030129452451,0.0765375551133696,0,0,0,0,0.0324910668417891,0.0253653637048189,0,0,0,-0.0290891237566285,0,0,0,0,0,0,0,0,0.0789725894042679,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0
X601939.CH.EQUITY,0.191095210939047,0,0,0.462901696070633,0.0570950408435238,0.0759844793632884,0,0,0,0.0470338124279385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175744136894436,0,-0.0427657260290663,-0.0144678071397392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125371616940537,0
X601288.CH.EQUITY,0,0,0.178216257473816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225859403659279,0,0,0.234977760718565,0,-0.00724467824503894,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.20690230045021,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.241034717113051,0,0.18816238793548,0,0,0,0.315626987344677,0,0,0,0,0,0,0.183924534623577,-0.192593367108549,0,0,0,0,0,0.0816918099834862,0,0,-0.0591314718634623,0,0,0,0,0.190488513183722,0,0,0,0,0,0,0,0,0,0,0,0,0.184060604474156,-0.0241520184902878,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.148049213413321,0,0,0.121716381422414,0.191527605028674,0.119094248452282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409079746649072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150266836480087,0,0,0.141170542277989,0,-0.025413684953995,0,0,0.0767427072686516,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286491319213067,0,0,0,0,0,-0.0319130196440671,0,0,0,0,0,0.784680802852097,0,0,0.0492423314978541,0,0,0.0817372138948521,0,0,0,0,0,0,0,0,0,0,0,0.0953515420267137,0.0780736462081511,-0.0254072022099293,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.28920546477985,0,0,0,0,0,0,0,0.0406173968164747,0,0,0,0,0.0844671419546885,0,0,0,0,0,0,0,0,0.0650559689942403,0,0.152045302006767,0,0.010660838592782,0.270489814277228,0.038744126989221,0.0764295573380064,0,0,0,0,0,0,0,0,-0.0936650374859295,-0.0755627356995159,0,0.0493323047389496,0,0,0,0,0
X601628.CH.EQUITY,0,0.132005871297065,0,0.0610437574303449,0,0,0,0,0,0,0,0,0,0,0,0,0.114798958490012,0,0,0,0,0,0,0,0.140403931436201,0,0,0,0,0,0,0,0,0,0,0,0.332008999052387,0.046523996556908,0,0,0.0884694027455358,0,0.0550123745498644,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.238776530596714,0,0.0622049186718046,0,0,0,0,0,0,0,0,0.353621062478195,0,-0.00898326901947365,0,0,0,0,0,0,0,0,0.357432964437952,0,0,0,0,0,0,0,0,0,0.0226353779223567,0,0,0,0,0,0,0,0,0,0.0410265615171541,0,0,-0.0102378162902394,0.107285293991223,0,0,0,-0.0544442433112081
