,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.057259875767452,0,0.139719993272476,0.178335632299432,0,0.351064577155923,0,0,0,0.000611259437001061,0,0.133058146629742,0,0,0,0,0,0,0,0,0,0.0119541964202211,0,0,0,0,0,0.104115270445374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.149720044927387,0,0,0,0,0.0429738471129237,0,0,0.215295101690951,0,0,0,0,0,0.0534108702105941,0.100621611377251,0,0.0708517704229423,0.167909285194037,0,0,0,0,0,0,0,0,0,0,-0.102188709838803,0.102413573881728,0,0,0,0,0,0.136335047858259,0,0.0631743621923683,0,0,0,0,0,0,0,0,0,0.0258600329290153,0,0,0
X601939.CH.EQUITY,0.255396010662048,0,0,0,0,0,0,0,0,0,0,0,0,0.415748829760773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201767533184612,0.102966461530656,0,0,0,0.0188587451286623,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0
X601288.CH.EQUITY,0.343964610593328,0,0.0265398220279969,0,0,0.487905618087864,0,0,0,0,0,0.00729040935257647,0,0,0.035662316378408,0,0,0.00910166330453982,-0.0255861292931969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.100397880795278,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.111003042923532,0,0,0,0,0.122006821093365,0,0,0,2.77555756156289e-17,0,0,0,0,0.092394546062132,0.747673029281744,0,0,0,0.190483037053147,0,0,0,0,0,0,0.106337449295069,0,0,0.0242523090518892,0,0,0,0,0,-0.0466230339121865,0,-0.0595396644107509,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0591610518591286,0,0,0,0,0,0,0,0,0.107845587147524,0,0,0,0,0.219887683355515,0,0.0740053346996035,0,0,0,0,0,0.220364932981363,0,0,0,0,0,0,0,0.10374426131982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136820090958609,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.117636210041392,0,0,0,0.267543576601326,0,0,0,0.166832843304878,0,0,0,0,0,0,0,0,0,0,0.0482798063058699,0,0,0,0.161331933983337,0,0.150334972627419,0,0,0,0,0.0358544196269164,0,0,0,0,0,0,0,0,0,0.0241657513831931,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119854041938216,0,0,0.141537232987155,0,0,0.278534124970497,0,0,0,0.093353418825234,0,0,0,0,0,0,0.00847041583762173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.399131910320248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109545229180076,0,0,-2.77555756156289e-17,0.116284618113533,0,0,0,0.140628943744302,-0.0362346391475232,0,0,0,0.0130138030191042,0.258808099909977,0,0,0,0,0.116153107106721,0,-0.0463643248364948,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.170766154874331,0,0,0,0,0,0.219853684008709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983439389572485,0,0,-0.148021792437625,0,0,0,0,0,0,0,0,0.78350786027839,0,0,0,0,0,0.377735148264064,-0.274242290353827,0,0,0
X601328.CH.EQUITY,0,0,0.078389674866216,0.00837961087480758,0,0,0,0,0,0,0,0,0.0277999592660928,0.433862462395428,0.0631969306515896,0,0,0,0,0,0,0,0.0282459485544232,0.175723452907263,0.13369681845974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199892180988851,0,0,0.0407253289534846,0.00786150576526111,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.284626495742733,0,0,0,0.373553831242677,0,0,-0.0682675556406148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0946339560493752,0,0.0124566936613486,0.504593102187212,0,0,0,0,0,-0.0215169283229746,0,0,0.0623947004789277,0,0,0,0,0,0.00952381710815077,0.0788993268565998,0,-0.182643553031932,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0498399476726301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14597494767283,0.563347379465608,0,0,0,0,0,0,0,0.0150160928476516,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.32426107052629,0.153198609708155,0,0,0,0.0311382734325266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527871245937067,0.137043915265409,0,0.133436143700716,0,0,0.208392464740464,0,0,0.00697946958637633,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.104265911561986,0,0,0,0,0,0,0,0.121792592447563,0,0,0,0,0,0,0.239721791976888,0,0,0,0,0.0373949921217218,-3.46944695195361e-18,0.0867092252875268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160281783166001,0,0,0
X000001.CH.EQUITY,0,0.0319719094287577,0,0,0,0.0353391641383963,0.0854608038019047,0,0,0,0,0.231108064694554,0,-1.38777878078145e-17,0.07859393307358,0,0,0,0.00349002388337019,0.096616156592981,0,0,0,0,0.2099638819923,0,0,0,0,0,0,0,0,0,0,0,0.179017683423057,0,0,0.095675694378685,0.012687030493846,0,0,0,0,0,0,0,0,0,0,0
