,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0181226238669361,-0.0376243893200529,0.213748676396885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200772976841657,0,0,0,0,0,-0.306958099202005,0,0,0,0,0,0.787230169920239,0.212585937894431,-0.175333732217791,0,0,-0.0825078247680999,0,-0.000119195916937202,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.138935240315951,0,0.209714462344818,0.0156259769404728,0,0,0,0,0.0331256303175743,0,0,0,0,0,0,0,0,0.0365891219932453,0.0684074067295169,0,0,0,0.0728538681799106,0.0331187849824745,0,0,0,0,0,0,0,0.219704741593935,0,0,0,0,0.0478813704974111,0,0.0386178764108086,0,0,0,-0.0198449779469914,0,0
X601939.CH.EQUITY,0.37442676716461,0,0,0,0,0.0489250345710946,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0.29307568571644,0,0,0,0,0,0,0,0,0,0,0.00462407434780814,0.0700987430971087,0,0,0,-0.216416270068672,-0.172151394836496,0,0,0,0.466950600965969,0,0,0,-0.0313743461905797,0.0908183525387286,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.00755820667762585,0,-0.205776623336072,0.200324749298879,0,0.399021531914047,0,0,0,0,0.173246014275443,0,0,0,0,0,0,-0.0470046882521143,0,0,0,0,0,0,0,-0.536499127038491,0,0,0,0,0,0,0,0,0,0.291551870096123,0,0,0,0.0290105043411975,0,0,0.0587531637511339,0,0,-0.0758403660442609
X5.HK.EQUITY,-0.156345039712139,-0.0309220651690501,0,0,0,0,0,0.0916545757507933,0,0,0.0461786798888579,0,0,0,0.346899762045346,0,0,0,0,0.458216473700738,0.242739148656342,0,0.099659819509994,0,0,0,3.46944695195361e-18,0,0,0,0,-0.216292722097829,0,0,0,0,0,0,0,0,0,-0.137487039663551,0.240368314231495,0,0,0,-0.0760011927252742,-0.145846773825847,0,0,0
X601988.CH.EQUITY,0,0,0.0122950821358776,0.175981589882843,0.0502094994888662,0,0,0,0,0,0.257101778407402,0,0,0,0,0,0.0843518780133163,0.0805706248057169,0,0,0,0.00828303499958252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0804750262042003,0,0.134203891861779,0,0,0,0,0.23012929500685,0.219760607246523,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.18309079425582,-0.0475652328828662,0,0,0,0,0,-0.253477405385423,0.476471219318583,0,0.35180201815029,0,0,0,0,0,0,0,0,0,0,0.0785067526400753,-0.0888926989452342,0,0,0,0.0724669275654635,0,0.065272057011425,0.102304615729277,0.137603357219538,0,-0.133844424718062,0,0,0,0,0,0,0,0,0.176607080866842,0,0,0,0.0267853572766431,0,0,0,0
X1299.HK.EQUITY,0,0.103357569308231,0,0,0.0735766617634347,0,0,0,0.0986916293587228,0,0,0,0,0.0400346684112153,0,0.176531633500964,0,0,0,0,0,0,0,0,0,0.0837952644555132,-0.0118789345270315,0,0,0,0,0,0.240421433554639,0,0,0,0,0,0,-0.0632067222364889,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0615534876083417,0,0.0727952693749105,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.320504084775575,0,0,0,0,0,0,0,0,0,0.0942768636469277,0.0620579534658401,0,0,0,0,0,0,-0.0785407350223009,0,0,0,0.0764969983003238,0,0.207640797527085,0.0313516207120141,0,0,0,0,0,-0.0277253120266125,0.116921403109962,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.0153584105165912,0,0,0.632505703085849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277819109049245,0,0,0.120765150805143,0.0598370621049628,0,0,0,0,0,0,0,0,0,-0.0185132351449201,0,0,-0.0900779761639239,0,0,0,0,0.0452658216907234,-0.135555901626377,-0.0295523516353491,0,0,0,0
