,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002142.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.454096132986267,0,0.104388352821223,0.083975825793628,0,0.0438971029180077,0,0,0,0,0,0.0398353233860218,-0.00874629534854854,0,0,0,0.0665293142665483,0.0442638395718828,0,0,0,0,0,0,0.105433425825206,0,-1.73472347597681e-18,0,0,0,0.0171057953795972,0,0,0,0,0,0,0.00984865926602688,0,0,0,0,0,0,0,0,0,0,0.0131219419110985,0
X601939.CH.EQUITY,0.181422906471834,0,0,0.256744777865156,0,0.340941311353252,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0756963549654996,0,0,0,0,0,0.119026607965744,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0.0860142702827651,0,-1.38777878078145e-17,0,0,0,0,0.00711072975982909,0.0591621603127143,0,0,0,0,0,0,0,0.114063940667684,0.0256168041404635,0,0,0,0,0,0,0,0,0,0,0,0,0.0887726838482587,0,0.167777707191176,0.0316731291877221,0,0,0,0.109687908175426,0,0,0,0,0,0,0.219715183603998,0,0,0,0,0
X601288.CH.EQUITY,0.217292218806978,0.0754333345275207,0,0,-0.0155184681942814,0.0162512283161159,0,0,0,0.156031533438584,0,0,0,0,0,0,0,0.118921078202661,0,0,0,0,0,0,0.00647189948310085,0.270853167347972,0,0.0731087209973104,0,0.0687851144772096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.135852629131526,0,0.0409845397827233,0,0.250436930678677,0.0814189787894175,0,0,0,0.376754310829498,0,0,-0.189349164962447,0,0,0,0,0,0,0,0,0,0,0,0.101344679969013,0,0,0,-5.55111512312578e-17,0,0,-0.26715177406548,0,0,0,0,0,0,0,-0.497556051302277,0,0,0,0,0,-0.322072279321776
X601988.CH.EQUITY,0.0130311820999845,0.271124688001192,0,0,0,0,0,0,0.0266390561781298,0,0,0,0.109328335423707,0,0,0,0,0,0,0,0,0,0.607799002467814,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0296322745115723,0.0494531015124038,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0136608128995126,0,0,0,0,-0.00215707149904324,0,0,0,0,0.047707372773791,0,0,0,0,0,0,0.731060088695915,0,0,0,0.139067216048739,0.00315994353095007,0,0,0,0,0,0,0,0,0,-0.00173547053739586,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.26492498389525,0,0,-0.15832862608985,0,0,0.116967434463578,0,0.0713031616190011,0,0,0,-0.130086985734452,0,0.267003373073915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532752873627275,0,0,0,0,0,0,0,0.0102639365796756,0,0,0,0.27981908820218,0,0
X601628.CH.EQUITY,0,0,0.147176096950564,0.077225700026075,0,0,0,0,0,0,0.0574399014518495,0,0,0,0,0,0.072871788421389,0.0969151390695908,0,0,0,0,0,0,0,0.0762604707641098,0,0,0,0,0,0,0,0.0335520848023812,0,0.230305352025263,0,0,0,0,0,0,0.117085115245989,0,-0.0399352764598039,0.0884120645717182,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0665032657865502,0,0.000897539091638539,0,0.046838176703627,0.00578627884635767,0,0,0,0.116052447208857,0,0,0,0,0,0,0,0,0.0128706054367548,0.200601313332649,0,0,0,0,0,0,0,0,0,0.150606537707113,0,0,0,0,0,0,0.170689039019411,0.26714663669991,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.112399807451675,0.0751510785821677,0.0538641142475816,0,0,0.0976892718172742,0.140299718647179,0,0,0,0,0.103937908119492,0,0,0,0,0,0,0,0,0,0,0.0677588930950847,0,0,0,0,0,0,0,0,0,0,0.0772665627922828,0,0,0,0,0,0,0,0,0,0,0,0.137101155056321,0,0,0,0.0460307200488966,0
X600000.CH.EQUITY,0,0,0,0,0.0714085924789263,0.0025159813274129,0.25701180412464,0.0891802202258607,0,0.100884456669101,0.0804701239512721,0,0,0,0,0,0,0,0,0,0,0,0.124048633820368,0,0,0,0,0,0,0,0,0,0,0,0,0.025506861779368,0,0,0.00166772227932329,0,0,0.00258503629214446,0,0,0,0,0,0,0.0430160975028171,0,0
