,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.213686792538889,0,0,0.0118584555146958,0,0.405073407278044,0,0,0.0132544805061418,0,0,0.0239828817731977,0,0,0,0,0,0,0,0,0,0,0.246767584057156,0,0,1.38777878078145e-17,0,0,0,0,0,0.0671532570413693,0.0640874296530774,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0912024458007847,0,0,0
X601318.CH.EQUITY,0,0,0.117930622497174,0,0,0,0,0,0.24557484950101,0,0,0,0.0332766070047702,0,0.266356960563415,0,0.041768901319832,0,0,0,0,0,0,0,0,0,0,0.217856984923836,0.179791353036346,0,0.0611488612380555,0,0,0,0,0,0,0,0,0.0173784656369719,0,0,0,0,-0.112688749997489,0,0.061396048072178,0.0208057327862849,0,0,0,0
X601939.CH.EQUITY,0.289897353808436,0.242697184324341,0,0,0,0,0,0.506260464812309,0.081490604488896,0,0,0,0,0,0,0,0,0.0301239756414245,0,0,0,0,0,0,0,0,0,0,0,-0.0218848606748967,0,0,0,0.06065929243892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182322752110738,0
X600036.CH.EQUITY,0,0,0,0,0,0.203345424968086,0,0,0.0199512336942001,-0.125537546647566,0,0,0.0353749784070773,0,0,0.118911369371934,0,0,0.0486618303168467,0,0,0,0,0,0,0.474694863833609,0,0.0385784816147088,0,0,0,0,0,0,0,0,0,0,0,0,-0.0496269359670864,0,0,0,0,0,0,0,0,0,-0.0204615946874299,0
X601288.CH.EQUITY,0.00392669860535946,0,0,0,0,0,0,0.515299830870174,0,-0.0763630309678021,0,0.0324932714682966,0,0,0,0,0,0,0.0501522302297392,0,-0.00052889707868311,0,0.0616152475859298,0,0.16427782525358,0,0,0.103149469771913,0,0,0,0,0,0.0884882129539266,0,0,0,0,0,0,0,0,0,0,0,0,0.0311949962730762,0,0,0,0.0523673478358188,0
X1299.HK.EQUITY,0,0,-0.0409448089492701,0,0,0,0,-0.0759597081890743,0,0.193801283668728,0,0,-0.0180389165746563,0,0,0,0,0,0,0,0,0,0.183505586794893,0,0,0,0,0,0,0,0,0,0,0.127005956172421,0.0599002111088838,0,0,0,0,0.156779203707426,0,0,0.177547211861881,0,0,0,0,0,0.219346463188019,0,-0.123884609181525,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963942852974127,0,0,0,0,0,0,0,0,0,-0.139818770426642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418877583876822,0.0698058100071795,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0165710627253008
X601988.CH.EQUITY,-3.46944695195361e-18,0,0,0,0.52382410081672,0,0,0,-0.00785356652159002,0,0,0,0,0,0,0,0,0.283668564955917,0.0428539402840614,0.146064305337833,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417882909605744,0,0,0,0,0,0,0,0,0,0,-0.0983054665832562,0,0,0.00140127364776013,0,0,0,0
X5.HK.EQUITY,0,0,0.00889194005226616,0,0,0,0,0,0,0,0.166680201349842,0,0,0,0,0,0,0,0,0,0,0,0.241736561948925,0.0509293593061219,0,0,0.0778501687976392,0,0,0,0,0.0157878921389167,0,0.219574518122879,0,0,0,0,0,0,0.295634268362111,0,0.142821152307293,0,0,0,0.101024755086696,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.086092790123191,0,0,-0.11249914856196,0,-0.0902458958086033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.197174817177492,0,0,0,0.115600404081804,0,0,0,0,0,0.488581050855396,0,0.0751265947903551,0,0,0.123930661880634,0,0.131391132765165,0
X601166.CH.EQUITY,0,0,0,0.0268368561199353,0,0,0,0,0,-0.074236648566537,0,0,0.416640483054465,-0.0738474920728401,0,0,0,0,0,0,-0.139476298742347,0,-0.0246419707618826,0,0,0,0,0.277107234813229,-0.0166267963824666,0,0.131210315583329,0.0203124944765871,0,0.0968827175815658,0,0,0,0.101577956197247,0,0,0,0,0,0,0,-0.0654079736283248,0.0353518452179605,0,0,0,0,0
X601658.CH.Equity,0,-0.0301720168607291,0,-0.184149577564953,0.284595253685525,0,0.099141859117908,0.170104266416887,0,0,0.345041186526983,0,0,0,0,0,0.082678469329383,0.121207127435722,0,0,0,0,0,0,0,0,0,0,-0.24016780485784,0,0,0,0,0,0.0611542036509992,0,0,-0.120234568582038,0,0,0,0,0.032576001426312,0,0,0,0,0,0,0,0.0684283064856971,0
