,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.29228347264323,0.028378312968315,0,0,0,0.461512509089106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100390300178328,0.0411558267302361,0,0,0,0,0,0,0,0,0,0,0.078997387246766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.106895294503957,0.0464612334700961,0,0.172937000451427,0,0,0.169357069543618,0,0,0,0.0846640577467688,0,0.118207289904688,0,0,0,0,0,0.263653170526232,0,0,0,0,0,0,0,0.133801821939317,0,0.111251555413671,0,0.00196649695670763,0,0,0,0.00639689384624158,-1.73472347597681e-18,0,0,0.0430988506182292,0,-0.150748525664135,0,0,0.063823564224806,0,0,0,0,0,0
X601939.CH.EQUITY,0.463977461461447,0.109538553630137,0,0,0,0,0,0.172558067726762,0,0,0,0,0,0,0,0,0.0190176639784873,0,0,0,0,-0.143679750395657,0,0,0,0,0,0,0.156666913747338,0,0,0,0.139812318718564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198758513345796,0.141686328241437,0
X600036.CH.EQUITY,0,0.0127885497770719,0,0,0,0.0547900444556902,0,0.0192315283281869,0,0,0,-0.0936520931565512,0.158558874861959,0,0,0.11001362517623,0,0.0569388216060978,0,0,0,0,0,0,0,0.0361047559107607,0.142099610803919,0,0,0.0686018201864416,0,0,0,0,0,0,0,0.000654950369779465,0.160822096970804,0,0,0,0,0,0,0,0,0,0,0.365203214179405,-0.127407635286688,0
X601288.CH.EQUITY,0,0,8.67361737988404e-19,0,0,0,0,0.542486847000083,0,0,-0.0788928726929057,0.0551777805471856,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0404074735012032,0.0754540100722405,0,0,0.116810650129563,0,0,0.11606640480786,0,0,0,0.0438575225282656,0,0,0,0,0,0,0,0,0,0,0,0,0.0512783964481885,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.209061898776407,0,0,0,0,0,0,0,0.107464527437699,0,0,0,0,0,0,0,0,0.0199388562653826,0,0,0.112246655267131,0,0,0,0,0,0,0,0,0,0.173996255293547,0,0,0,0,0,0.0957408161302567,0.163686602345139,0.0672233426105728,0,0.298365717956935,0,0,0,0.294938906551914,0,0,0,0,0
X601628.CH.EQUITY,0.079362314620212,0,0,0,0,0,0,0,0,0,0.0249518924192226,0,-0.0896175404230651,0,0,-0.234315508182472,0,0,0,0,-0.0129051872785517,0.174289500239494,0,0,0.115741616901883,0,-0.0804820695273937,0,0,0,0,0,0,0.577914070484674,0.0618610753358132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428296241487905
X601988.CH.EQUITY,0.0755507662411831,0,0.0944994508376625,0,0.355691218656531,0,0,0,0,0,0,0,0.211364953276232,0,0,0,0.144132017276358,0,0.0063925310062353,0,0,0,0.00637473754154121,0,0,0.019653483678,0,0,0,0,0.126951246879095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.123638122049172,0,0,0,0,0,0,0,0,0,0,0.00284356501546964,-0.0947723884528658,0,0,0,0,0,0,0.234305841105978,0,0.1897076827376,0.140608142979351,0,0,0,0,0,0,0,0,0.0603652327659718,0,0,0,0,0,0.198156710193963,0.0625464965965103,0,-0.0628612595736284,0.259283166854728,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0334274420224034,0,0,0,0,0,0,0.0139259531425944,0.0841996562895719,0.209481902156498,0,0,0.124675572042531,0,0,0,0,0,0,0,0,0,0,0.184056714708073,0,0.326242825758416,0.0390326093480498,0,0,0,0.0413351007129707,0,0,0,0,0,0.0164933738908762,0,0,0,0,-1.73472347597681e-18,0,-0.022276767971976,-0.00149194060962899,0,0,0,0
