,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.409911049929996,0.0322878966293885,0.0633769125863127,0,0,0,0,0,0,0.18809555686907,0,0,0,0,0,0,0,0,0,0,0.0593850417264371,-0.0266211518192631,0.0590513854965112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00926566680010888,0,0,0.00281643373044515,0,0,0.0628992708083472,0.0507585900245447,-0.100699563200616
X601939.CH.EQUITY,0.396349976938572,0,0,0.186439274610579,0,0,0,0,-0.0372851631669502,0,0.143197280614043,0,0,0,-0.080340827589644,0,0,0,0,0,0,0,0,0.178534368957999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005988973427025,0,0,0,0.0969392111060125,2.16840434497101e-19,0,0
X601318.CH.EQUITY,0,0,0,0,0.304738784913059,0.0831699950297301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18194567148926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760916599528725,0.10838344611901,0,0,0.0119512319558201,0.14347595220323,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377107532108373,0,0,0,0.214132042674606,0,0,0,0,0,0,0,0,0.146985234521991,0,0,0,0,0,0.0913881199849881,0.0343332742301153,0,0,0,0,0,0,0,0,0,0,0,0.0843348994601988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0
X601988.CH.EQUITY,0,0,0.0332052917652438,0.562164793012309,0,0,0,0,0,0.269322951196956,0,0,0,0,6.93889390390723e-18,0.0954500006601518,0.0939756594267758,0,0,0,0.027608738408904,0,0,0,0,0,0.0922166195877956,0,0,0,0,0,0,0,0,-0.541382308250147,0,0,0,0,0,0,0,0.159414445005753,0,-0.0818048954182043,-0.0972407098453437,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0453335613819803,0,-0.036959601150115,0,0,0,0,0,0,0.286364588234508,-0.0497750020875296,0,0,0,0.0710647847289258,0,0,0,0,0.175753046731658,0.0114384718735373,0,0,0,0,0,0,0,0,0.208542062158225,0,0,0,0,0,0,0,0.109872238699954,0.00663158652838448,0.0865567229203256,0,0,0,0.074963538152649,0,0.0614110968723124,0,0,-0.0391720618290122,0
X1299.HK.EQUITY,0,0,0,0,0.0353273491074905,0,0,0,0,0,0.034805836418248,0,0,0.187237369354125,0,0,0.0341622245184928,0.502059578184221,0,0,0,0,0.115531743008007,0,-8.67361737988404e-19,0,0,0,0,0.0173684734073095,0,0,0,0,0,0,0,0,0,0.0849992233668842,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.00791775689371591,0,0,0,0,0,0,0,0,0,0,0,0,-0.153382166860608,0,-0.185038205803866,0,0,0,0,0,0.515424372910133,0,-0.259004410531759,0,0,0.760371465082246,0,0,0,0,0,0,0,0,0,0.399913758328149,0,6.93889390390723e-18,0,0,0,0,-0.263940869978742,0,0,0,0,0,0,-0.0155458088970745
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.166540885175015,0,0,0,0,0.0852417228418962,0,0,0,0.305140816010293,0,0,0,0,0,0,0,0,0,0.0082390299109143,0,0,0.0563247940737652,0,0,0,0,0,0,0.263789234847414,0.0333099469127175,0,0,0,0,0.152277826175247,0,0,0.079936867373613,0
X601658.CH.Equity,0,0,0,0.135816489442069,0.154334421589554,0,0,0,0,0,0,0,0,0.125618697453216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175541249395797,0,0,0,0,0,0,0,0,0.219606246405358,0,0,0,0,0,0,0,0,0,0,0.352428467638658,0,0,0.0285788554078136
